MAF SNR Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.05 0.01 ADD_+_ADD Additive 0.472482 0.286046 0.043578 436 0.479211 0.28713 0.055 1000
0.05 0.01 ADD_+_ADD Codominant 0.573497 0.299315 0.0275229 436 0.570984 0.298277 0.0266075 451
0.05 0.01 ADD_+_ADD Dominant 0.475125 0.281168 0.0389908 436 0.486619 0.286211 0.0530531 999
0.05 0.01 ADD_+_ADD Recessive 1 0 0 436 1 0 0 698
0.05 0.01 ADD_+_ADD Weighted 0.478395 0.285702 0.0573394 436 0.473871 0.283483 0.0532129 996
0.05 0.01 ADD Additive 0.503122 0.285212 0.0614657 423 0.495378 0.291751 0.062 1000
0.05 0.01 ADD Codominant 0.602275 0.309247 0.0401891 423 0.602417 0.310434 0.0415704 433
0.05 0.01 ADD Dominant 0.50857 0.288776 0.0567376 423 0.495487 0.29608 0.059 1000
0.05 0.01 ADD Recessive 1 0 0 423 1 0 0 673
0.05 0.01 ADD Weighted 0.500508 0.282358 0.0472813 423 0.476353 0.291574 0.0660661 999
0.05 0.01 ADD_+_DOM Additive 0.486401 0.285924 0.0601504 399 0.481792 0.287631 0.0620621 999
0.05 0.01 ADD_+_DOM Codominant 0.578385 0.307504 0.037594 399 0.57599 0.308458 0.0384615 416
0.05 0.01 ADD_+_DOM Dominant 0.485656 0.287634 0.0626566 399 0.48354 0.286083 0.0631263 998
0.05 0.01 ADD_+_DOM Recessive 1 0 0 399 1 0 0 663
0.05 0.01 ADD_+_DOM Weighted 0.476718 0.284913 0.0526316 399 0.471575 0.283507 0.0532663 995
0.05 0.01 ADD_x_ADD Additive 0.368834 0.291788 0.129268 410 0.359215 0.300193 0.16016 999
0.05 0.01 ADD_x_ADD Codominant 0.481735 0.326888 0.0926829 410 0.484342 0.32866 0.0933941 439
0.05 0.01 ADD_x_ADD Dominant 0.369553 0.293526 0.129268 410 0.361775 0.298984 0.159 1000
0.05 0.01 ADD_x_ADD Recessive 0.999148 0.017232 0 410 0.999505 0.0131385 0 706
0.05 0.01 ADD_x_ADD Weighted 0.398256 0.291788 0.112195 410 0.394907 0.293408 0.125755 994
0.05 0.01 ADD_x_DOM Additive 0.396959 0.312946 0.142506 407 0.398502 0.304519 0.137137 999
0.05 0.01 ADD_x_DOM Codominant 0.493242 0.336665 0.120393 407 0.498541 0.338865 0.119159 428
0.05 0.01 ADD_x_DOM Dominant 0.399069 0.314465 0.14742 407 0.40127 0.30576 0.137137 999
0.05 0.01 ADD_x_DOM Recessive 1 0 0 407 1 0 0 698
0.05 0.01 ADD_x_DOM Weighted 0.410742 0.30362 0.130221 407 0.402157 0.295075 0.124748 994
0.05 0.01 ADD_x_HET Additive 0.3595 0.29936 0.155508 463 0.367925 0.29775 0.157 1000
0.05 0.01 ADD_x_HET Codominant 0.476333 0.335227 0.116631 463 0.468304 0.334326 0.118852 488
0.05 0.01 ADD_x_HET Dominant 0.365231 0.299689 0.164147 463 0.370441 0.301016 0.164164 999
0.05 0.01 ADD_x_HET Recessive 1 0 0 463 1 0 0 693
0.05 0.01 ADD_x_HET Weighted 0.360539 0.290699 0.149028 463 0.380461 0.296978 0.139558 996
0.05 0.01 ADD_x_SUB Additive 0.34838 0.302539 0.15493 284 0.327537 0.296531 0.208 1000
0.05 0.01 ADD_x_SUB Codominant 0.452756 0.324023 0.109155 284 0.45433 0.323791 0.109635 301
0.05 0.01 ADD_x_SUB Dominant 0.34968 0.301242 0.165493 284 0.341454 0.301354 0.194 1000
0.05 0.01 ADD_x_SUB Recessive 1 0 0 284 1 0 0 668
0.05 0.01 ADD_x_SUB Weighted 0.369333 0.293161 0.112676 284 0.379096 0.289876 0.130303 990
0.05 0.01 DOM Additive 0.499995 0.295857 0.047619 420 0.500116 0.285537 0.052 1000
0.05 0.01 DOM Codominant 0.592302 0.308807 0.0357143 420 0.592763 0.308301 0.0343249 437
0.05 0.01 DOM Dominant 0.500196 0.298203 0.047619 420 0.505654 0.289375 0.046046 999
0.05 0.01 DOM Recessive 1 0 0 420 1 0 0 711
0.05 0.01 DOM Weighted 0.512531 0.298589 0.05 420 0.482189 0.288549 0.0552764 995
0.05 0.01 DOM_+_SUB Additive 0.513797 0.286011 0.0423163 449 0.494607 0.288257 0.049049 999
0.05 0.01 DOM_+_SUB Codominant 0.621798 0.300434 0.0311804 449 0.62084 0.298962 0.0303688 461
0.05 0.01 DOM_+_SUB Dominant 0.517445 0.291984 0.0467706 449 0.501571 0.294666 0.0521042 998
0.05 0.01 DOM_+_SUB Recessive 1 0 0 449 1 0 0 706
0.05 0.01 DOM_+_SUB Weighted 0.501293 0.293723 0.0467706 449 0.469138 0.292878 0.0601805 997
0.05 0.01 DOM_x_DOM Additive 0.386019 0.293295 0.121519 395 0.397978 0.306857 0.141141 999
0.05 0.01 DOM_x_DOM Codominant 0.474559 0.324421 0.0860759 395 0.472559 0.324175 0.0853659 410
0.05 0.01 DOM_x_DOM Dominant 0.381244 0.293328 0.118987 395 0.385144 0.300768 0.134 1000
0.05 0.01 DOM_x_DOM Recessive 1 0 0 395 1 0 0 689
0.05 0.01 DOM_x_DOM Weighted 0.404622 0.300939 0.126582 395 0.409259 0.303913 0.132132 999
0.05 0.01 DOM_x_SUB Additive 0.409827 0.296422 0.123656 372 0.377941 0.297712 0.158 1000
0.05 0.01 DOM_x_SUB Codominant 0.508232 0.324473 0.0913978 372 0.503905 0.32456 0.0906736 386
0.05 0.01 DOM_x_SUB Dominant 0.413964 0.299973 0.129032 372 0.386135 0.298743 0.151151 999
0.05 0.01 DOM_x_SUB Recessive 1 0 0 372 1 0 0 693
0.05 0.01 DOM_x_SUB Weighted 0.428773 0.297162 0.0860215 372 0.404286 0.295283 0.120846 993
0.05 0.01 HET Additive 0.526418 0.286374 0.0364583 384 0.509768 0.28654 0.047 1000
0.05 0.01 HET Codominant 0.618055 0.293544 0.03125 384 0.617364 0.295541 0.0320197 406
0.05 0.01 HET Dominant 0.52366 0.280228 0.0364583 384 0.51282 0.284697 0.042 1000
0.05 0.01 HET Recessive 1 0 0 384 1 0 0 668
0.05 0.01 HET Weighted 0.503786 0.285513 0.0416667 384 0.489692 0.288698 0.0512048 996
0.05 0.01 HET_+_DOM Additive 0.461572 0.299108 0.0755149 437 0.467577 0.293371 0.07 1000
0.05 0.01 HET_+_DOM Codominant 0.564926 0.311962 0.0503432 437 0.564958 0.310399 0.0489978 449
0.05 0.01 HET_+_DOM Dominant 0.462045 0.29751 0.0778032 437 0.469316 0.29106 0.0720721 999
0.05 0.01 HET_+_DOM Recessive 1 0 0 437 1 0 0 701
0.05 0.01 HET_+_DOM Weighted 0.472459 0.295764 0.0778032 437 0.456268 0.292306 0.0741483 998
0.05 0.01 HET-HA Additive 0.474481 0.297242 0.0496183 262 0.463343 0.290839 0.0640641 999
0.05 0.01 HET-HA Codominant 0.555694 0.310864 0.0343511 262 0.554794 0.312211 0.03663 273
0.05 0.01 HET-HA Dominant 0.471543 0.30018 0.0572519 262 0.472732 0.286385 0.053 1000
0.05 0.01 HET-HA Recessive 1 0 0 262 1 0 0 716
0.05 0.01 HET-HA Weighted 0.472438 0.2946 0.0572519 262 0.432163 0.288253 0.0821643 998
0.05 0.01 HET_+_HET Additive 0.499472 0.288092 0.0519187 443 0.501811 0.288699 0.05 1000
0.05 0.01 HET_+_HET Codominant 0.585243 0.301784 0.0248307 443 0.589924 0.302686 0.0240175 458
0.05 0.01 HET_+_HET Dominant 0.494424 0.284091 0.0519187 443 0.503901 0.285412 0.046 1000
0.05 0.01 HET_+_HET Recessive 1 0 0 443 1 0 0 687
0.05 0.01 HET_+_HET Weighted 0.488129 0.28459 0.0564334 443 0.487496 0.284078 0.0480962 998
0.05 0.01 HET-HET Additive 0.375487 0.29217 0.138498 426 0.388273 0.294687 0.137275 998
0.05 0.01 HET-HET Codominant 0.453646 0.326632 0.112676 426 0.456068 0.327858 0.109865 446
0.05 0.01 HET-HET Dominant 0.371073 0.29669 0.140845 426 0.380235 0.297779 0.14257 996
0.05 0.01 HET-HET Recessive 1 0 0 426 1 0 0 683
0.05 0.01 HET-HET Weighted 0.377542 0.295096 0.126761 426 0.388261 0.298046 0.136089 992
0.05 0.01 HET_+_SUB Additive 0.514275 0.292882 0.0425532 423 0.503047 0.291065 0.052 1000
0.05 0.01 HET_+_SUB Codominant 0.593185 0.303159 0.0330969 423 0.594925 0.301673 0.0321839 435
0.05 0.01 HET_+_SUB Dominant 0.513089 0.295603 0.0520095 423 0.503203 0.29551 0.054 1000
0.05 0.01 HET_+_SUB Recessive 1 0 0 423 1 0 0 683
0.05 0.01 HET_+_SUB Weighted 0.506583 0.294832 0.0496454 423 0.482537 0.292266 0.0541625 997
0.05 0.01 HET_x_DOM Additive 0.409952 0.315022 0.137592 407 0.39091 0.302975 0.147147 999
0.05 0.01 HET_x_DOM Codominant 0.474553 0.335396 0.120393 407 0.471105 0.333934 0.117647 425
0.05 0.01 HET_x_DOM Dominant 0.395 0.310821 0.152334 407 0.383653 0.302755 0.156 1000
0.05 0.01 HET_x_DOM Recessive 1 0 0 407 1 0 0 689
0.05 0.01 HET_x_DOM Weighted 0.40588 0.313938 0.130221 407 0.382188 0.296435 0.123867 993
0.05 0.01 HET_x_HET Additive 0.379575 0.297326 0.147541 427 0.383316 0.294626 0.132132 999
0.05 0.01 HET_x_HET Codominant 0.467073 0.332668 0.119438 427 0.46912 0.333286 0.121005 438
