MAF SNR Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.05 0.01 HET-HA Additive 0.474481 0.297242 0.0496183 262 0.463343 0.290839 0.0640641 999
0.05 0.01 HET-HA Codominant 0.555694 0.310864 0.0343511 262 0.554794 0.312211 0.03663 273
0.05 0.01 HET-HA Dominant 0.471543 0.30018 0.0572519 262 0.472732 0.286385 0.053 1000
0.05 0.01 HET-HA Recessive 1 0 0 262 1 0 0 716
0.05 0.01 HET-HA Weighted 0.472438 0.2946 0.0572519 262 0.432163 0.288253 0.0821643 998
0.05 0.01 HET-HET Additive 0.375487 0.29217 0.138498 426 0.388273 0.294687 0.137275 998
0.05 0.01 HET-HET Codominant 0.453646 0.326632 0.112676 426 0.456068 0.327858 0.109865 446
0.05 0.01 HET-HET Dominant 0.371073 0.29669 0.140845 426 0.380235 0.297779 0.14257 996
0.05 0.01 HET-HET Recessive 1 0 0 426 1 0 0 683
0.05 0.01 HET-HET Weighted 0.377542 0.295096 0.126761 426 0.388261 0.298046 0.136089 992
0.05 0.01 HR-HA Additive 0.458907 0.291788 0.033195 241 0.47674 0.284215 0.0540541 999
0.05 0.01 HR-HA Codominant 0.55229 0.285978 0.0290456 241 0.55229 0.285978 0.0290456 241
0.05 0.01 HR-HA Dominant 0.464127 0.277444 0.033195 241 0.492458 0.283746 0.0510511 999
0.05 0.01 HR-HA Recessive 1 0 0 241 1 0 0 464
0.05 0.01 HR-HA Weighted 0.466639 0.271741 0.0290456 241 0.434454 0.307556 0.127789 986
0.05 0.01 HR-HET Additive 0.407477 0.294016 0.1125 400 0.393731 0.29524 0.129 1000
0.05 0.01 HR-HET Codominant 0.482439 0.331372 0.095 400 0.482937 0.331058 0.0963855 415
0.05 0.01 HR-HET Dominant 0.395341 0.30131 0.1225 400 0.38779 0.298582 0.136 1000
0.05 0.01 HR-HET Recessive 1 0 0 400 1 0 0 658
0.05 0.01 HR-HET Weighted 0.382314 0.294835 0.13 400 0.40591 0.293708 0.114458 996
0.05 0.01 HR-HR Additive 0.394528 0.301491 0.135392 421 0.378848 0.296214 0.143143 999
0.05 0.01 HR-HR Codominant 0.485023 0.335606 0.118765 421 0.48172 0.336221 0.121495 428
0.05 0.01 HR-HR Dominant 0.388771 0.307446 0.16152 421 0.380635 0.304501 0.159159 999
0.05 0.01 HR-HR Recessive 1 0 0 421 1 0 0 665
