MAF SNR Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.05 0.01 ADD_x_ADD Additive 0.368834 0.291788 0.129268 410 0.359215 0.300193 0.16016 999
0.05 0.01 ADD_x_ADD Codominant 0.481735 0.326888 0.0926829 410 0.484342 0.32866 0.0933941 439
0.05 0.01 ADD_x_ADD Dominant 0.369553 0.293526 0.129268 410 0.361775 0.298984 0.159 1000
0.05 0.01 ADD_x_ADD Recessive 0.999148 0.017232 0 410 0.999505 0.0131385 0 706
0.05 0.01 ADD_x_ADD Weighted 0.398256 0.291788 0.112195 410 0.394907 0.293408 0.125755 994
0.05 0.01 ADD_x_DOM Additive 0.396959 0.312946 0.142506 407 0.398502 0.304519 0.137137 999
0.05 0.01 ADD_x_DOM Codominant 0.493242 0.336665 0.120393 407 0.498541 0.338865 0.119159 428
0.05 0.01 ADD_x_DOM Dominant 0.399069 0.314465 0.14742 407 0.40127 0.30576 0.137137 999
0.05 0.01 ADD_x_DOM Recessive 1 0 0 407 1 0 0 698
0.05 0.01 ADD_x_DOM Weighted 0.410742 0.30362 0.130221 407 0.402157 0.295075 0.124748 994
0.05 0.01 ADD_x_HET Additive 0.3595 0.29936 0.155508 463 0.367925 0.29775 0.157 1000
0.05 0.01 ADD_x_HET Codominant 0.476333 0.335227 0.116631 463 0.468304 0.334326 0.118852 488
0.05 0.01 ADD_x_HET Dominant 0.365231 0.299689 0.164147 463 0.370441 0.301016 0.164164 999
0.05 0.01 ADD_x_HET Recessive 1 0 0 463 1 0 0 693
0.05 0.01 ADD_x_HET Weighted 0.360539 0.290699 0.149028 463 0.380461 0.296978 0.139558 996
0.05 0.01 ADD_x_SUB Additive 0.34838 0.302539 0.15493 284 0.327537 0.296531 0.208 1000
0.05 0.01 ADD_x_SUB Codominant 0.452756 0.324023 0.109155 284 0.45433 0.323791 0.109635 301
0.05 0.01 ADD_x_SUB Dominant 0.34968 0.301242 0.165493 284 0.341454 0.301354 0.194 1000
0.05 0.01 ADD_x_SUB Recessive 1 0 0 284 1 0 0 668
0.05 0.01 ADD_x_SUB Weighted 0.369333 0.293161 0.112676 284 0.379096 0.289876 0.130303 990
0.05 0.01 DOM_x_DOM Additive 0.386019 0.293295 0.121519 395 0.397978 0.306857 0.141141 999
0.05 0.01 DOM_x_DOM Codominant 0.474559 0.324421 0.0860759 395 0.472559 0.324175 0.0853659 410
0.05 0.01 DOM_x_DOM Dominant 0.381244 0.293328 0.118987 395 0.385144 0.300768 0.134 1000
0.05 0.01 DOM_x_DOM Recessive 1 0 0 395 1 0 0 689
0.05 0.01 DOM_x_DOM Weighted 0.404622 0.300939 0.126582 395 0.409259 0.303913 0.132132 999
0.05 0.01 DOM_x_SUB Additive 0.409827 0.296422 0.123656 372 0.377941 0.297712 0.158 1000
0.05 0.01 DOM_x_SUB Codominant 0.508232 0.324473 0.0913978 372 0.503905 0.32456 0.0906736 386
0.05 0.01 DOM_x_SUB Dominant 0.413964 0.299973 0.129032 372 0.386135 0.298743 0.151151 999
0.05 0.01 DOM_x_SUB Recessive 1 0 0 372 1 0 0 693
0.05 0.01 DOM_x_SUB Weighted 0.428773 0.297162 0.0860215 372 0.404286 0.295283 0.120846 993
0.05 0.01 HET_x_DOM Additive 0.409952 0.315022 0.137592 407 0.39091 0.302975 0.147147 999
0.05 0.01 HET_x_DOM Codominant 0.474553 0.335396 0.120393 407 0.471105 0.333934 0.117647 425
0.05 0.01 HET_x_DOM Dominant 0.395 0.310821 0.152334 407 0.383653 0.302755 0.156 1000
0.05 0.01 HET_x_DOM Recessive 1 0 0 407 1 0 0 689
0.05 0.01 HET_x_DOM Weighted 0.40588 0.313938 0.130221 407 0.382188 0.296435 0.123867 993
0.05 0.01 HET_x_HET Additive 0.379575 0.297326 0.147541 427 0.383316 0.294626 0.132132 999
0.05 0.01 HET_x_HET Codominant 0.467073 0.332668 0.119438 427 0.46912 0.333286 0.121005 438
0.05 0.01 HET_x_HET Dominant 0.374527 0.296098 0.159251 427 0.37869 0.296277 0.138277 998
0.05 0.01 HET_x_HET Recessive 1 0 0 427 1 0 0 702
0.05 0.01 HET_x_HET Weighted 0.391643 0.300424 0.145199 427 0.390228 0.298404 0.125 992
0.05 0.01 HET_x_SUB Additive 0.409812 0.302293 0.121212 363 0.406661 0.301515 0.136 1000
0.05 0.01 HET_x_SUB Codominant 0.49822 0.328803 0.0936639 363 0.499506 0.327996 0.0939948 383
0.05 0.01 HET_x_SUB Dominant 0.407534 0.303311 0.134986 363 0.410094 0.301829 0.127 1000
0.05 0.01 HET_x_SUB Recessive 1 0 0 363 1 0 0 704
0.05 0.01 HET_x_SUB Weighted 0.421431 0.289876 0.0991736 363 0.426631 0.289228 0.0964824 995
0.05 0.01 REC_x_ADD Additive 0.446265 0.290816 0.0806045 397 0.429083 0.297138 0.1002 998
0.05 0.01 REC_x_ADD Codominant 0.671406 0.305291 0.0176322 397 0.663845 0.309546 0.0214797 419
0.05 0.01 REC_x_ADD Dominant 0.482208 0.290096 0.0680101 397 0.465453 0.294866 0.075 1000
0.05 0.01 REC_x_ADD Recessive 1 0 0 397 1 0 0 678
0.05 0.01 REC_x_ADD Weighted 0.358019 0.285215 0.110831 397 0.399325 0.294931 0.100908 991
0.05 0.01 REC_x_DOM Additive 0.471683 0.288573 0.0576497 451 0.465905 0.289029 0.0651303 998
0.05 0.01 REC_x_DOM Codominant 0.627536 0.304819 0.0332594 451 0.630516 0.30415 0.0321888 466
0.05 0.01 REC_x_DOM Dominant 0.480911 0.285428 0.0554324 451 0.48099 0.291633 0.061 1000
0.05 0.01 REC_x_DOM Recessive 1 0 0 451 1 0 0 690
0.05 0.01 REC_x_DOM Weighted 0.426226 0.289514 0.0842572 451 0.435629 0.294336 0.0874372 995
0.05 0.01 REC_x_HET Additive 0.4857 0.290311 0.0660377 424 0.474848 0.289355 0.061 1000
0.05 0.01 REC_x_HET Codominant 0.626596 0.300283 0.0212264 424 0.623749 0.301971 0.0202247 445
0.05 0.01 REC_x_HET Dominant 0.490888 0.283837 0.0566038 424 0.487327 0.284286 0.0480962 998
0.05 0.01 REC_x_HET Recessive 1 0 0 424 1 0 0 712
0.05 0.01 REC_x_HET Weighted 0.448332 0.281516 0.0589623 424 0.441447 0.288181 0.0654582 993
0.05 0.01 REC_x_SUB Additive 0.251567 0.287128 0.321033 271 0.196938 0.246252 0.391 1000
