MAF SNR Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.05 0.01 ADD_+_ADD Additive 0.472482 0.286046 0.043578 436 0.479211 0.28713 0.055 1000
0.05 0.01 ADD_+_ADD Codominant 0.573497 0.299315 0.0275229 436 0.570984 0.298277 0.0266075 451
0.05 0.01 ADD_+_ADD Dominant 0.475125 0.281168 0.0389908 436 0.486619 0.286211 0.0530531 999
0.05 0.01 ADD Additive 0.503122 0.285212 0.0614657 423 0.495378 0.291751 0.062 1000
0.05 0.01 ADD_+_ADD Recessive 1 0 0 436 1 0 0 698
0.05 0.01 ADD_+_ADD Weighted 0.478395 0.285702 0.0573394 436 0.473871 0.283483 0.0532129 996
0.05 0.01 ADD Codominant 0.602275 0.309247 0.0401891 423 0.602417 0.310434 0.0415704 433
0.05 0.01 ADD_+_DOM Additive 0.486401 0.285924 0.0601504 399 0.481792 0.287631 0.0620621 999
0.05 0.01 ADD_+_DOM Codominant 0.578385 0.307504 0.037594 399 0.57599 0.308458 0.0384615 416
0.05 0.01 ADD_+_DOM Dominant 0.485656 0.287634 0.0626566 399 0.48354 0.286083 0.0631263 998
0.05 0.01 ADD Dominant 0.50857 0.288776 0.0567376 423 0.495487 0.29608 0.059 1000
0.05 0.01 ADD_+_DOM Recessive 1 0 0 399 1 0 0 663
0.05 0.01 ADD_+_DOM Weighted 0.476718 0.284913 0.0526316 399 0.471575 0.283507 0.0532663 995
0.05 0.01 ADD Recessive 1 0 0 423 1 0 0 673
0.05 0.01 ADD Weighted 0.500508 0.282358 0.0472813 423 0.476353 0.291574 0.0660661 999
0.05 0.01 DOM Additive 0.499995 0.295857 0.047619 420 0.500116 0.285537 0.052 1000
0.05 0.01 DOM Codominant 0.592302 0.308807 0.0357143 420 0.592763 0.308301 0.0343249 437
0.05 0.01 DOM Dominant 0.500196 0.298203 0.047619 420 0.505654 0.289375 0.046046 999
0.05 0.01 DOM Recessive 1 0 0 420 1 0 0 711
0.05 0.01 DOM_+_SUB Additive 0.513797 0.286011 0.0423163 449 0.494607 0.288257 0.049049 999
0.05 0.01 DOM_+_SUB Codominant 0.621798 0.300434 0.0311804 449 0.62084 0.298962 0.0303688 461
0.05 0.01 DOM_+_SUB Dominant 0.517445 0.291984 0.0467706 449 0.501571 0.294666 0.0521042 998
0.05 0.01 DOM_+_SUB Recessive 1 0 0 449 1 0 0 706
0.05 0.01 DOM_+_SUB Weighted 0.501293 0.293723 0.0467706 449 0.469138 0.292878 0.0601805 997
0.05 0.01 DOM Weighted 0.512531 0.298589 0.05 420 0.482189 0.288549 0.0552764 995
0.05 0.01 HET Additive 0.526418 0.286374 0.0364583 384 0.509768 0.28654 0.047 1000
0.05 0.01 HET Codominant 0.618055 0.293544 0.03125 384 0.617364 0.295541 0.0320197 406
0.05 0.01 HET_+_DOM Additive 0.461572 0.299108 0.0755149 437 0.467577 0.293371 0.07 1000
0.05 0.01 HET_+_DOM Codominant 0.564926 0.311962 0.0503432 437 0.564958 0.310399 0.0489978 449
0.05 0.01 HET_+_DOM Dominant 0.462045 0.29751 0.0778032 437 0.469316 0.29106 0.0720721 999
0.05 0.01 HET Dominant 0.52366 0.280228 0.0364583 384 0.51282 0.284697 0.042 1000
0.05 0.01 HET_+_DOM Recessive 1 0 0 437 1 0 0 701
0.05 0.01 HET_+_DOM Weighted 0.472459 0.295764 0.0778032 437 0.456268 0.292306 0.0741483 998
0.05 0.01 HET_+_HET Additive 0.499472 0.288092 0.0519187 443 0.501811 0.288699 0.05 1000
0.05 0.01 HET_+_HET Codominant 0.585243 0.301784 0.0248307 443 0.589924 0.302686 0.0240175 458
0.05 0.01 HET_+_HET Dominant 0.494424 0.284091 0.0519187 443 0.503901 0.285412 0.046 1000
0.05 0.01 HET_+_HET Recessive 1 0 0 443 1 0 0 687
0.05 0.01 HET_+_HET Weighted 0.488129 0.28459 0.0564334 443 0.487496 0.284078 0.0480962 998
0.05 0.01 HET Recessive 1 0 0 384 1 0 0 668
0.05 0.01 HET_+_SUB Additive 0.514275 0.292882 0.0425532 423 0.503047 0.291065 0.052 1000
0.05 0.01 HET_+_SUB Codominant 0.593185 0.303159 0.0330969 423 0.594925 0.301673 0.0321839 435
0.05 0.01 HET_+_SUB Dominant 0.513089 0.295603 0.0520095 423 0.503203 0.29551 0.054 1000
0.05 0.01 HET_+_SUB Recessive 1 0 0 423 1 0 0 683
0.05 0.01 HET_+_SUB Weighted 0.506583 0.294832 0.0496454 423 0.482537 0.292266 0.0541625 997
0.05 0.01 HET Weighted 0.503786 0.285513 0.0416667 384 0.489692 0.288698 0.0512048 996
0.05 0.01 NULL Additive 0.512714 0.296328 0.0523918 439 0.509339 0.292872 0.049 1000
0.05 0.01 NULL Codominant 0.59624 0.290609 0.0318907 439 0.60142 0.291486 0.0306346 457
0.05 0.01 NULL Dominant 0.500871 0.288029 0.0501139 439 0.50981 0.292788 0.05 1000
0.05 0.01 NULL Recessive 1 0 0 439 1 0 0 711
0.05 0.01 NULL Weighted 0.474065 0.289621 0.070615 439 0.472276 0.28998 0.0694165 994
0.05 0.01 REC_+_ADD Additive 0.515295 0.287416 0.0481928 415 0.5008 0.288232 0.053 1000
0.05 0.01 REC_+_ADD Codominant 0.607886 0.300098 0.0289157 415 0.609476 0.297094 0.0278422 431
0.05 0.01 REC_+_ADD Dominant 0.510375 0.281923 0.0457831 415 0.503065 0.286493 0.054 1000
0.05 0.01 REC Additive 0.505174 0.29399 0.0682415 381 0.497894 0.288178 0.0651303 998
0.05 0.01 REC_+_ADD Recessive 1 0 0 415 1 0 0 677
0.05 0.01 REC_+_ADD Weighted 0.489003 0.28263 0.0650602 415 0.487568 0.288786 0.0611836 997
0.05 0.01 REC Codominant 0.609416 0.309442 0.0367454 381 0.613648 0.308824 0.035533 394
0.05 0.01 REC_+_DOM Additive 0.476832 0.277056 0.0580046 431 0.478975 0.283123 0.06 1000
0.05 0.01 REC_+_DOM Codominant 0.578889 0.303721 0.037123 431 0.579453 0.304876 0.0376106 452
0.05 0.01 REC_+_DOM Dominant 0.475132 0.282397 0.0603248 431 0.484763 0.285072 0.059 1000
0.05 0.01 REC Dominant 0.505497 0.292332 0.0656168 381 0.494568 0.287764 0.0600601 999
0.05 0.01 REC_+_DOM Recessive 1 0 0 431 1 0 0 678
0.05 0.01 REC_+_DOM Weighted 0.46923 0.291969 0.0649652 431 0.469164 0.290248 0.0631263 998
0.05 0.01 REC_+_HET Additive 0.476936 0.276225 0.0402844 422 0.491366 0.283222 0.045 1000
0.05 0.01 REC_+_HET Codominant 0.586639 0.299507 0.0260664 422 0.587826 0.29963 0.0255814 430
0.05 0.01 REC_+_HET Dominant 0.479752 0.278884 0.042654 422 0.496354 0.284604 0.043 1000
0.05 0.01 REC_+_HET Recessive 1 0 0 422 1 0 0 671
0.05 0.01 REC_+_HET Weighted 0.469974 0.285088 0.0592417 422 0.47456 0.284096 0.0571715 997
0.05 0.01 REC_+_REC Additive 0.497259 0.287383 0.0384615 390 0.505378 0.2915 0.049 1000
0.05 0.01 REC_+_REC Codominant 0.611692 0.290441 0.0179487 390 0.613736 0.290861 0.0176768 396
0.05 0.01 REC_+_REC Dominant 0.500456 0.287563 0.0333333 390 0.506223 0.292545 0.046 1000
0.05 0.01 REC Recessive 1 0 0 381 1 0 0 612
0.05 0.01 REC_+_REC Recessive 1 0 0 390 1 0 0 658
0.05 0.01 REC_+_REC Weighted 0.482586 0.288417 0.0435897 390 0.479708 0.289298 0.0604839 992
0.05 0.01 REC_+_SUB Additive 0.481137 0.30452 0.0732323 396 0.474173 0.295033 0.0730731 999
0.05 0.01 REC_+_SUB Codominant 0.568956 0.32557 0.0631313 396 0.569509 0.326315 0.0661765 408
0.05 0.01 REC_+_SUB Dominant 0.478729 0.299948 0.0732323 396 0.472186 0.292911 0.0730731 999
0.05 0.01 REC_+_SUB Recessive 1 0 0 396 1 0 0 672
0.05 0.01 REC_+_SUB Weighted 0.460371 0.292138 0.0732323 396 0.465934 0.291963 0.079397 995
0.05 0.01 REC Weighted 0.480192 0.291991 0.0656168 381 0.480486 0.294116 0.0614919 992
0.05 0.01 SUB Additive 0.495523 0.288916 0.0457831 415 0.478906 0.287504 0.058 1000
0.05 0.01 SUB Codominant 0.59874 0.301286 0.0240964 415 0.594666 0.300626 0.0234192 427
0.05 0.01 SUB Dominant 0.499865 0.290952 0.0409639 415 0.487461 0.290015 0.0530531 999
0.05 0.01 SUB Recessive 1 0 0 415 1 0 0 686
0.05 0.01 SUB_+_SUB Additive 0.492986 0.286498 0.0688836 421 0.480225 0.289912 0.063 1000
0.05 0.01 SUB_+_SUB Codominant 0.58055 0.306355 0.0427553 421 0.584541 0.306045 0.041958 429
0.05 0.01 SUB_+_SUB Dominant 0.492833 0.290069 0.0665083 421 0.48136 0.29137 0.063 1000
0.05 0.01 SUB_+_SUB Recessive 1 0 0 421 1 0 0 686
0.05 0.01 SUB_+_SUB Weighted 0.481624 0.289398 0.064133 421 0.47451 0.295842 0.0682046 997
0.05 0.01 SUB Weighted 0.496119 0.293158 0.0409639 415 0.473426 0.283131 0.0480962 998
0.05 0.01 SUP_+_ADD Additive 0.490588 0.284395 0.0401786 448 0.489875 0.284931 0.048048 999
0.05 0.01 SUP_+_ADD Codominant 0.579192 0.305115 0.0245536 448 0.581171 0.306727 0.0238095 462
0.05 0.01 SUP_+_ADD Dominant 0.486589 0.287984 0.0379464 448 0.490521 0.28684 0.046046 999
