Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Het_Pval	Red_Var1_Het_beta	Red_Var1_Het_SE	Red_Var1_Hom_Pval	Red_Var1_Hom_beta	Red_Var1_Hom_SE	Red_Var2_Het_Pval	Red_Var2_Het_beta	Red_Var2_Het_SE	Red_Var2_Hom_Pval	Red_Var2_Hom_beta	Red_Var2_Hom_SE	Full_Var1_Het_Pval	Full_Var1_Het_beta	Full_Var1_Het_SE	Full_Var1_Hom_Pval	Full_Var1_Hom_beta	Full_Var1_Hom_SE	Full_Var2_Het_Pval	Full_Var2_Het_beta	Full_Var2_Het_SE	Full_Var2_Hom_Pval	Full_Var2_Hom_beta	Full_Var2_Hom_SE	Full_Var1_Het_Var2_Het_Pval	Full_Var1_Het_Var2_Het_beta	Full_Var1_Het_Var2_Het_SE	Full_Var1_Het_Var2_Hom_Pval	Full_Var1_Het_Var2_Hom_beta	Full_Var1_Het_Var2_Hom_SE	Full_Var1_Hom_Var2_Het_Pval	Full_Var1_Hom_Var2_Het_beta	Full_Var1_Hom_Var2_Het_SE	Full_Var1_Hom_Var2_Hom_Pval	Full_Var1_Hom_Var2_Hom_beta	Full_Var1_Hom_Var2_Hom_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.06025	rs2	1:2	2:0.05825	0	1000	0	0.189957	-0.200578	0.153031	0.973091	-0.0331276	0.982076	0.668383	-0.0656384	0.153229	0.026991	3.07075	1.38844	0.18496	-0.210404	0.158719	0.567612	-0.70061	1.22576	0.684918	-0.0646211	0.159259	0.999989	-30.2104	2.19446e+06	0.84958	0.113411	0.597989	nan	nan	nan	0.999989	-29.4451	2.19446e+06	0.999978	61.1064	2.24611e+06	6.51361e-05	1.5199879271676764e-05	1
2	rs1	1:1	2:0.065	rs2	1:2	2:0.0595	0	1000	0	0.625768	0.0719439	0.147519	0.994092	-0.00605716	0.818015	0.0163068	-0.368431	0.153387	0.999949	30.2026	467967	0.711055	0.0577123	0.155794	0.992657	-0.00752827	0.818032	0.0185461	-0.384006	0.163092	0.999989	30.1954	2.19469e+06	0.776822	0.136444	0.481347	nan	nan	nan	nan	nan	nan	1	0.00752827	2.24634e+06	1	1.8525208815844962e-06	1
3	rs1	1:1	2:0.05325	rs2	1:2	2:0.04975	0	1000	0	0.221805	-0.194323	0.159054	0.0530946	3.05439	1.57919	0.73278	0.0561824	0.16455	0.893381	-0.176935	1.32014	0.272281	-0.180946	0.164822	0.997956	0.00362538	1.41507	0.679268	0.0707647	0.171151	0.999984	-30.1993	1.55172e+06	0.72376	-0.222666	0.63	nan	nan	nan	nan	nan	nan	0.999971	60.4022	1.64048e+06	0.000436949	8.5039398982189596e-05	1
4	rs1	1:1	2:0.06175	rs2	1:2	2:0.0565	0	1000	0	0.741968	-0.0486361	0.147719	0.99995	29.1638	468652	0.140939	-0.23227	0.15776	0.216011	1.3846	1.11913	0.453207	-0.116332	0.155093	0.999985	30.1942	1.55188e+06	0.0633916	-0.310982	0.167516	0.218348	1.37759	1.11915	0.152616	0.737066	0.515304	nan	nan	nan	1	0.310982	2.68794e+06	0.999999	-1.37759	1.63583e+06	1	8.2677233876893297e-06	1
5	rs1	1:1	2:0.0575	rs2	1:2	2:0.05825	0	1000	0	0.456164	0.117323	0.157444	0.00992784	1.90829	0.740126	0.193324	-0.206599	0.158824	0.706313	0.226327	0.600638	0.510007	0.108674	0.164951	0.649641	0.415293	0.914216	0.171659	-0.227302	0.166291	0.716581	-0.277854	0.765369	0.478054	0.416138	0.586576	0.999985	-30.0239	1.55172e+06	0.916112	-0.178163	1.69144	0.999952	30.0753	503497	0.000472699	7.8132005000952631e-05	1
6	rs1	1:1	2:0.06	rs2	1:2	2:0.0565	0	1000	0	0.690766	-0.0597141	0.150105	0.068199	1.30844	0.71747	0.144147	-0.225435	0.154352	0.218852	0.904637	0.735726	0.502465	-0.10449	0.155812	0.72407	0.270203	0.765396	0.0910897	-0.271713	0.160807	0.643637	-0.422944	0.914238	0.390793	0.512875	0.597631	0.999989	30.7129	2.19469e+06	0.999989	30.1869	2.19469e+06	0.99996	30.3382	608699	0.0030584	0.001906648394651711	1
7	rs1	1:1	2:0.0565	rs2	1:2	2:0.05725	0	1000	0	0.727769	-0.0542186	0.155758	0.0703011	1.72438	0.952711	0.181465	-0.208466	0.156007	0.368103	0.746742	0.829684	0.616087	-0.0813234	0.162191	0.992139	-0.00986444	1.00123	0.147221	-0.235671	0.162597	0.649614	-0.41533	0.914221	0.596212	0.30713	0.579648	nan	nan	nan	nan	nan	nan	0.999953	30.6182	517294	0.000490827	0.00011422934767324477	1
8	rs1	1:1	2:0.05775	rs2	1:2	2:0.06625	0	1000	0	0.707127	-0.0608506	0.161958	0.981531	0.0189372	0.818019	0.55104	0.0876492	0.147012	0.999941	30.2195	407575	0.858087	-0.0308283	0.172408	0.628228	0.44269	0.91423	0.426357	0.1233	0.155008	0.999981	30.2401	1.26711e+06	0.611104	-0.255917	0.503279	nan	nan	nan	0.999989	-30.7317	2.19446e+06	1	-0.44269	1.33821e+06	1	3.2434994068353262e-07	1
9	rs1	1:1	2:0.06325	rs2	1:2	2:0.064	0	1000	0	0.585489	-0.0799335	0.146564	0.999946	31.4125	460906	0.371082	-0.130958	0.146412	0.21443	-1.38941	1.11916	0.30637	-0.156054	0.152565	0.999978	30.1914	1.09735e+06	0.17476	-0.206964	0.152509	0.211692	-1.39777	1.11917	0.0748758	1.04469	0.586503	nan	nan	nan	nan	nan	nan	0.999999	1.39777	1.21316e+06	1	1.7281972759519704e-06	1
10	rs1	1:1	2:0.0585	rs2	1:2	2:0.05475	0	1000	0	0.754229	0.048848	0.15603	0.389906	0.615302	0.715645	0.131294	0.241539	0.160064	0.0365188	1.91118	0.913956	0.555661	0.0945292	0.16041	0.75417	-0.239673	0.765373	0.103324	0.268409	0.164774	0.545408	0.741156	1.22575	0.446877	-0.538073	0.707403	0.999989	-30.9906	2.19446e+06	nan	nan	nan	0.999953	29.7494	503497	0.000249046	5.4057836678111926e-05	1
11	rs1	1:1	2:0.057	rs2	1:2	2:0.0565	0	1000	0	0.412887	-0.125998	0.153877	0.201671	0.944616	0.739828	0.282259	-0.164705	0.153177	0.0886222	1.47192	0.864458	0.677347	-0.0680321	0.163505	0.714222	0.280275	0.765377	0.435576	-0.126596	0.162368	0.345099	1.0912	1.15577	0.453728	-0.372395	0.497048	0.999989	-31.2335	2.19446e+06	nan	nan	nan	0.999962	28.824	608699	0.00271731	0.0016879999311640859	1
12	rs1	1:1	2:0.05425	rs2	1:2	2:0.05325	0	1000	0	0.0627819	-0.295945	0.159048	0.253382	0.99303	0.869422	0.696182	0.0622466	0.159411	0.253382	0.99303	0.869422	0.0405297	-0.345508	0.16868	0.335984	-1.11199	1.15575	0.940404	0.0126014	0.168553	0.335984	-1.11199	1.15575	0.409632	0.424893	0.515308	nan	nan	nan	nan	nan	nan	0.999953	32.4135	548674	0.00310183	6.8610068410634995e-05	1
13	rs1	1:1	2:0.05675	rs2	1:2	2:0.0555	0	1000	0	0.514394	0.103038	0.158032	0.409638	0.800416	0.970754	0.199349	0.205508	0.160127	0.0363881	2.59622	1.24069	0.349967	0.155009	0.165846	0.956251	0.0549253	1.00122	0.162557	0.234897	0.168201	0.999981	30.2578	1.26711e+06	0.543057	-0.33498	0.550776	0.999981	-60.5608	2.53401e+06	nan	nan	nan	1	-0.0549253	1.35459e+06	6.87859e-06	3.6872836517432006e-06	1
14	rs1	1:1	2:0.0605	rs2	1:2	2:0.06475	0	1000	0	0.872145	-0.0246954	0.15345	0.0231486	1.65696	0.729624	0.796635	0.0383747	0.14891	0.29052	0.649649	0.614627	0.932575	-0.0138385	0.163566	0.685262	0.310211	0.7654	0.722194	0.0560518	0.157658	0.504731	-0.488297	0.732009	0.67522	-0.202006	0.48212	0.999989	30.7276	2.19469e+06	nan	nan	nan	0.999951	30.4035	490749	0.000489467	8.5420491814147681e-05	1
