Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.463	rs2	1:2	2:0.26475	0	1000	1	1.05353e-59	2.96751	0.1821	3.78001e-43	2.50626	0.181989	0.195504	0.400182	0.309148	0.0354295	-1.25504	0.596667	3.90618e-24	7.75064	0.764821	0	0	5.52781e-53
2	rs1	1:1	2:0.45175	rs2	1:2	2:0.25675	0	1000	1	7.90838e-56	2.67828	0.170146	6.87343e-49	2.4989	0.170043	0.668265	0.126725	0.29572	0.349865	-0.324202	0.346796	1.62928e-28	7.42826	0.670626	0	0	2.59961e-58
3	rs1	1:1	2:0.45175	rs2	1:2	2:0.266	0	1000	1	2.06777e-56	2.66316	0.16828	3.58734e-48	2.43348	0.166868	0.093152	-0.678705	0.404231	0.256715	-0.375932	0.331454	4.93065e-32	8.03642	0.682191	0	0	1.51203e-66
4	rs1	1:1	2:0.45775	rs2	1:2	2:0.25875	0	1000	1	3.1565e-50	2.54973	0.17109	1.96987e-54	2.70141	0.173877	0.0389566	0.531047	0.25721	0.494988	-0.26283	0.385158	1.32764e-28	6.24628	0.562985	0	0	1.02576e-46
5	rs1	1:1	2:0.453	rs2	1:2	2:0.26425	0	1000	1	7.65994e-57	2.65792	0.16729	3.9229e-48	2.42861	0.166603	0.73796	-0.107959	0.322694	0.36085	-0.303774	0.332449	7.32971e-34	6.83631	0.563589	0	0	3.08798e-57
6	rs1	1:1	2:0.46825	rs2	1:2	2:0.27475	0	1000	1	7.14888e-61	2.70726	0.164478	9.60907e-55	2.56276	0.164466	0.764927	-0.0965431	0.322868	0.231439	-0.433987	0.362665	1.81697e-34	6.74103	0.550574	0	0	1.04894e-57
7	rs1	1:1	2:0.4555	rs2	1:2	2:0.25525	0	1000	1	8.13067e-42	2.38442	0.175997	7.54305e-57	2.82819	0.177996	0.913529	-0.0350913	0.323159	0.408624	0.262364	0.31751	1.0194e-29	6.16832	0.544801	0	0	1.06951e-45
8	rs1	1:1	2:0.45575	rs2	1:2	2:0.2655	0	1000	1	7.97202e-48	2.51357	0.173007	3.91293e-57	2.78529	0.174844	0.24021	0.33237	0.282998	0.31181	0.311486	0.307965	9.53149e-29	6.00313	0.53963	0	0	1.2461e-44
9	rs1	1:1	2:0.459	rs2	1:2	2:0.26875	0	1000	1	1.96596e-51	2.53702	0.168157	9.6343e-53	2.56174	0.167599	0.0920199	-0.730726	0.433707	0.714186	0.108178	0.295374	3.06777e-30	6.55495	0.573641	0	0	1.74136e-52
10	rs1	1:1	2:0.455	rs2	1:2	2:0.25725	0	1000	1	1.3124e-44	2.38543	0.170239	2.66195e-58	2.80012	0.173949	0.0316982	0.542784	0.25267	0.245387	0.359439	0.309428	8.23082e-28	5.37792	0.492007	0	0	1.6362e-39
11	rs1	1:1	2:0.459	rs2	1:2	2:0.26325	0	1000	1	2.50649e-47	2.58072	0.178597	1.34372e-53	2.74259	0.177943	0.371681	-0.36421	0.4077	0.124605	0.449566	0.292738	1.02941e-27	6.22961	0.570986	0	0	1.54633e-44
12	rs1	1:1	2:0.442	rs2	1:2	2:0.2605	0	1000	1	2.56864e-58	2.91628	0.18114	4.84874e-33	2.0949	0.17495	0.605076	-0.200356	0.387449	0.875493	-0.0458407	0.292565	6.53843e-30	6.41753	0.564873	0	0	9.06526e-48
13	rs1	1:1	2:0.45275	rs2	1:2	2:0.2605	0	1000	1	4.48084e-46	2.40082	0.168478	5.65279e-50	2.50626	0.168614	0.106883	-0.613683	0.380611	0.303731	-0.356638	0.346767	2.53091e-33	6.95612	0.578325	0	0	1.2549e-57
