Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.51075	rs2	1:2	2:0.28125	0	1000	1	3.33857e-59	5.19267	0.320034	1.57096e-55	5.11474	0.325829	0.59173	-0.554594	1.03405	0.966192	0.0319437	0.753658	3.37453e-13	9.85032	1.35334	0	0	1.23718e-32
2	rs1	1:1	2:0.5085	rs2	1:2	2:0.28225	0	1000	1	8.80487e-65	4.58675	0.269874	1.39281e-57	4.44522	0.277919	0.413231	-0.840639	1.0274	0.89241	0.084126	0.621981	3.01771e-13	8.96745	1.2295	0	0	4.15568e-35
3	rs1	1:1	2:0.51875	rs2	1:2	2:0.2865	0	1000	0	1.5564e-57	5.35345	0.334847	6.68159e-56	5.29031	0.335855	0.999909	-26.2255	230023	0.999907	-26.2251	223950	0.999849	60.8361	321036	0	0	1
4	rs1	1:1	2:0.5175	rs2	1:2	2:0.28025	0	1000	1	6.72854e-54	5.93801	0.384154	4.2028e-55	5.6823	0.363434	0.0411245	1.21425	0.594558	0.853079	-0.194517	1.05036	2.05752e-11	8.23127	1.2282	0	0	2.99368e-21
5	rs1	1:1	2:0.51775	rs2	1:2	2:0.28225	0	1000	1	3.4604e-55	5.70764	0.364766	1.40621e-56	5.6742	0.357994	0.701767	0.293866	0.767404	0.725474	-0.366491	1.04368	2.5739e-12	9.30581	1.32955	0	0	2.66042e-26
6	rs1	1:1	2:0.51275	rs2	1:2	2:0.28925	0	1000	1	1.27282e-60	5.5199	0.336073	2.18037e-50	5.19854	0.348251	0.455096	0.574822	0.769563	0.318387	0.647847	0.64929	1.64767e-13	7.50869	1.01817	0	0	8.94604e-22
7	rs1	1:1	2:0.51925	rs2	1:2	2:0.285	0	1000	0	6.33669e-54	5.97231	0.386276	5.18622e-54	6.09096	0.393622	0.999908	-25.9922	225141	0.766433	-0.310896	1.04663	0.999872	36.0223	225141	0	0	1
8	rs1	1:1	2:0.52	rs2	1:2	2:0.28925	0	1000	1	4.95196e-52	5.93674	0.391143	3.14959e-49	5.79865	0.393171	0.94006	0.0797337	1.06038	0.966339	-0.0447204	1.05971	4.3614e-09	8.7212	1.48576	0	0	2.15443e-18
9	rs1	1:1	2:0.51125	rs2	1:2	2:0.283	0	1000	1	7.21606e-59	5.24668	0.32431	9.4322e-55	5.27454	0.338471	0.682609	-0.424232	1.03748	0.139241	0.842874	0.57004	1.27156e-12	8.80367	1.24041	0	0	6.16941e-28
10	rs1	1:1	2:0.51375	rs2	1:2	2:0.28275	0	1000	1	2.0672e-58	5.30526	0.329253	1.14025e-55	5.40406	0.343816	0.679323	-0.429563	1.03913	0.121693	0.887739	0.573583	2.01412e-12	8.63887	1.22825	0	0	9.83798e-27
11	rs1	1:1	2:0.52175	rs2	1:2	2:0.2835	0	1000	1	1.06663e-53	5.30413	0.343807	7.99673e-59	5.40798	0.334412	0.774051	0.220187	0.766988	0.758855	-0.320492	1.044	5.62745e-11	8.47503	1.29324	0	0	1.76565e-23
12	rs1	1:1	2:0.5155	rs2	1:2	2:0.28025	0	1000	0	3.2614e-51	5.70635	0.379065	3.83844e-49	5.73762	0.389385	0.999918	-25.8733	251731	0.960168	-0.0524902	1.051	0.999889	34.9538	251731	0	0	1
13	rs1	1:1	2:0.5205	rs2	1:2	2:0.28975	0	1000	0	1.16011e-53	6.44709	0.418038	5.23299e-53	5.93397	0.387217	0.111762	1.07488	0.675884	0.999902	-25.7267	209221	0.999871	33.8264	209221	0	0	1
14	rs1	1:1	2:0.51225	rs2	1:2	2:0.284	0	1000	1	3.02117e-61	5.21351	0.315746	4.09886e-58	5.00248	0.311281	0.186885	0.744763	0.564279	0.960474	-0.0373312	0.753273	1.50405e-16	8.37941	1.01493	0	0	2.63019e-30
15	rs1	1:1	2:0.5195	rs2	1:2	2:0.28275	0	1000	1	8.68121e-52	5.15412	0.340407	7.50389e-57	5.4509	0.343053	0.716718	-0.378654	1.04356	0.510896	0.505549	0.768962	1.2227e-10	8.34292	1.29619	0	0	1.41711e-22
16	rs1	1:1	2:0.51525	rs2	1:2	2:0.28275	0	1000	1	8.6731e-56	4.94509	0.314269	6.1117e-61	5.18421	0.314783	0.962609	0.0354184	0.755511	0.353211	0.591456	0.637085	3.08041e-15	8.05406	1.0211	0	0	1.27484e-27
17	rs1	1:1	2:0.52125	rs2	1:2	2:0.2855	0	1000	0	6.09219e-49	6.3912	0.434662	7.79828e-49	6.59449	0.448999	0.999909	-25.5849	225146	0.89538	0.140256	1.06658	0.999876	35.015	225146	0	0	1
18	rs1	1:1	2:0.52225	rs2	1:2	2:0.2835	0	1000	1	1.8232e-51	5.46011	0.361784	7.92929e-62	5.59081	0.336953	0.117936	0.916914	0.586451	0.874084	-0.166	1.04749	4.06842e-11	7.94525	1.20354	0	0	1.26905e-21
19	rs1	1:1	2:0.5165	rs2	1:2	2:0.2805	0	1000	1	1.75397e-53	5.32403	0.345817	1.01409e-58	5.45568	0.337667	0.829059	0.164238	0.760681	0.724942	-0.365758	1.03949	2.30825e-12	9.30304	1.32626	0	0	4.46089e-28
20	rs1	1:1	2:0.51625	rs2	1:2	2:0.28325	0	1000	1	1.1132e-53	5.1819	0.335943	2.09984e-59	5.46881	0.336464	0.560776	-0.602927	1.03651	0.715444	0.276806	0.759299	9.44665e-13	9.54562	1.33723	0	0	7.295e-30
21	rs1	1:1	2:0.51525	rs2	1:2	2:0.28275	0	1000	0	1.99843e-57	4.99825	0.312936	3.39103e-56	4.95469	0.313696	0.999912	-26.3866	239450	0.999911	-26.3865	235297	0.999855	61.0813	335710	0	0	1
22	rs1	1:1	2:0.52075	rs2	1:2	2:0.2805	0	1000	1	2.90908e-52	5.46047	0.35894	1.32593e-57	5.576	0.34855	0.669388	0.329328	0.771284	0.851669	-0.195827	1.04727	6.83314e-11	8.48513	1.30055	0	0	2.28426e-22
23	rs1	1:1	2:0.51575	rs2	1:2	2:0.2785	0	1000	1	5.8626e-54	4.99792	0.32315	1.82703e-59	5.13457	0.315734	0.906157	0.0891022	0.755823	0.666716	-0.446142	1.03595	4.529e-12	9.04974	1.30784	0	0	8.59436e-29
24	rs1	1:1	2:0.5135	rs2	1:2	2:0.2845	0	1000	1	2.20785e-57	5.22256	0.327107	2.90566e-55	5.21059	0.332764	0.66412	-0.450443	1.03733	0.80955	0.182806	0.758511	3.48205e-12	9.15431	1.31589	0	0	2.23807e-28
25	rs1	1:1	2:0.51925	rs2	1:2	2:0.285	0	1000	1	2.97644e-58	4.81821	0.299445	3.00957e-62	5.01308	0.30108	0.423209	-0.82715	1.03282	0.980212	-0.0186921	0.753608	4.72856e-12	8.88129	1.28463	0	0	4.39585e-30
26	rs1	1:1	2:0.51525	rs2	1:2	2:0.28475	0	1000	0	1.89386e-60	5.40669	0.329664	1.71428e-52	5.45743	0.357926	0.999914	-26.0734	242301	0.117815	0.909499	0.581517	0.999889	33.785	242301	0	0	1
27	rs1	1:1	2:0.51125	rs2	1:2	2:0.28475	0	1000	1	2.61674e-61	5.12035	0.309941	5.49035e-56	5.04383	0.319956	0.576994	-0.576737	1.03398	0.555686	0.37303	0.633047	4.17247e-13	9.11517	1.25729	0	0	4.68266e-31
28	rs1	1:1	2:0.51425	rs2	1:2	2:0.278	0	1000	1	1.82386e-54	4.93967	0.317842	1.27704e-57	4.98998	0.311873	0.314726	0.643137	0.639711	0.666944	0.326903	0.759628	1.2045e-13	7.46984	1.00722	0	0	7.9594e-24
29	rs1	1:1	2:0.51825	rs2	1:2	2:0.2845	0	1000	0	7.82166e-55	5.30999	0.340484	9.79945e-55	5.20989	0.334374	0.705219	-0.393904	1.04129	0.999911	-26.1416	233957	0.999881	34.8495	233957	0	0	1
30	rs1	1:1	2:0.515	rs2	1:2	2:0.28275	0	1000	0	4.01929e-54	5.51063	0.355742	3.07668e-52	5.15652	0.339041	0.150275	0.9376	0.651763	0.999913	-26.0468	239432	0.999888	33.7594	239432	0	0	1
31	rs1	1:1	2:0.51825	rs2	1:2	2:0.28725	0	1000	0	4.86655e-51	6.36731	0.423717	6.97224e-48	6.1944	0.426087	0.999915	-25.7006	240904	0.999908	-25.701	222837	0.999852	60.7232	328163	0	0	1
32	rs1	1:1	2:0.5195	rs2	1:2	2:0.2825	0	1000	1	1.98954e-56	4.93771	0.311957	1.7392e-63	5.18037	0.307987	0.404415	-0.860971	1.03263	0.522285	-0.661358	1.03365	1.98816e-11	9.90029	1.47614	0	0	1.24659e-32
33	rs1	1:1	2:0.5125	rs2	1:2	2:0.28375	0	1000	1	9.07762e-56	5.62736	0.357693	3.5819e-50	5.57225	0.374116	0.961693	-0.0503324	1.04797	0.182846	0.872831	0.655257	3.15885e-11	8.36334	1.25974	0	0	5.31782e-22
