Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.52675	rs2	1:2	2:0.3	0	1000	0	0.999045	47.4514	39655.2	0.999383	18.9472	24501.5	0.999988	1.93847	126552	0.99989	-30.7966	223037	0.999856	32.0715	177994	1	0	1
2	rs1	1:1	2:0.528	rs2	1:2	2:0.30375	0	1000	0	0.998964	52.5683	40490.8	0.999327	51.404	60978.1	0.999989	1.70824	121871	0.999829	-52.609	245292	0.999751	54.6737	175012	1	0	1
3	rs1	1:1	2:0.52525	rs2	1:2	2:0.295	0	1000	0	0.999015	52.4342	42483.5	0.99919	51.9109	51148.5	0.999989	1.50332	113456	0.999846	-52.3254	271251	0.999757	54.7272	179747	1	0	1
4	rs1	1:1	2:0.5255	rs2	1:2	2:0.297	0	1000	0	0.999001	52.432	41857	0.999195	51.4552	50985	0.999988	1.70062	111468	0.999854	-52.8022	288815	0.999764	54.7687	185050	1	0	1
5	rs1	1:1	2:0.52575	rs2	1:2	2:0.30125	0	1000	0	0.999008	52.7164	42388	0.999257	51.6965	55504	0.999989	1.60107	117322	0.99983	-52.9305	248069	0.999747	54.929	173354	1	0	1
6	rs1	1:1	2:0.5235	rs2	1:2	2:0.296	0	1000	0	0.999314	30.7265	35743.4	0.99965	20.1678	45918	0.999989	1.82131	135003	0.999911	-29.2125	261497	0.999863	31.3894	183155	1	0	1
7	rs1	1:1	2:0.524	rs2	1:2	2:0.30375	0	1000	0	0.998999	52.2661	41650.6	0.999172	51.4095	49525.9	0.999989	1.64415	115680	0.99983	-50.9575	238837	0.999745	53.8926	168739	1	0	1
8	rs1	1:1	2:0.52825	rs2	1:2	2:0.3015	0	1000	0	0.999008	52.7715	42430.6	0.999259	51.6864	55667.8	0.999989	1.60322	116108	0.999833	-53.1754	254117	0.999748	55.0513	174599	1	0	1
9	rs1	1:1	2:0.5255	rs2	1:2	2:0.294	0	1000	0	0.999006	52.7597	42367.3	0.9992	52.0008	51858.1	0.999991	1.33837	123154	0.999832	-52.489	249337	0.999754	54.9859	178274	1	0	1
10	rs1	1:1	2:0.52725	rs2	1:2	2:0.303	0	1000	0	0.999313	30.8444	35821.4	0.999647	20.3772	46122.9	0.999988	1.88183	130774	0.999907	-29.1988	250537	0.999858	31.3361	175720	1	0	1
11	rs1	1:1	2:0.526	rs2	1:2	2:0.30275	0	1000	0	0.999016	52.3274	42441	0.999206	51.5117	51747.1	0.999988	1.67134	113322	0.999837	-51.8979	253436	0.999749	54.3365	172434	1	0	1
12	rs1	1:1	2:0.5285	rs2	1:2	2:0.29875	0	1000	0	0.999013	52.9343	42777.4	0.999192	52.2383	51614.8	0.99999	1.42217	111548	0.999834	-52.9081	254543	0.999744	55.0926	172039	1	0	1
13	rs1	1:1	2:0.5205	rs2	1:2	2:0.2995	0	1000	0	0.998973	52.0073	40399.5	0.999222	50.91	52225.8	0.999988	1.79932	121274	0.999838	-51.2469	252234	0.999758	53.8977	177590	1	0	1
14	rs1	1:1	2:0.521	rs2	1:2	2:0.29775	0	1000	0	0.999351	54.416	66866.7	0.99998	1.92151	74921.8	0.999989	1.88458	138900	0.999832	-53.1948	253073	0.99977	54.8091	190331	1	0	1
15	rs1	1:1	2:0.52725	rs2	1:2	2:0.296	0	1000	0	0.999039	52.7609	43827.2	0.999229	52.3231	54130.8	0.99999	1.43756	110522	0.999843	-53.2265	270743	0.999752	55.2366	177713	1	0	1
16	rs1	1:1	2:0.5245	rs2	1:2	2:0.303	0	1000	0	0.998985	52.7071	41441.8	0.999202	51.5358	51525.6	0.999989	1.63095	116828	0.999826	-52.3847	239962	0.999744	54.6243	170024	1	0	1
17	rs1	1:1	2:0.525	rs2	1:2	2:0.301	0	1000	0	0.999087	58.2022	50844.7	0.998979	28.9506	22616.6	0.999987	1.68001	103194	0.999888	-31.2115	223346	0.999836	32.4879	158256	1	0	1
18	rs1	1:1	2:0.5245	rs2	1:2	2:0.30375	0	1000	0	0.999012	52.9305	42729.3	0.999246	52.1305	55136	0.999989	1.56737	112066	0.999824	-52.9484	240348	0.999738	54.9553	167065	1	0	1
19	rs1	1:1	2:0.5285	rs2	1:2	2:0.29775	0	1000	0	0.999089	57.9728	50760.1	0.999081	28.7624	24976.9	0.999988	1.67428	108493	0.999888	-30.7579	219018	0.999844	32.2826	165207	1	0	1
