Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.1915	rs2	1:2	2:0.335	0	1000	1	7.23633e-28	1.68824	0.154286	1.4799e-31	1.80966	0.15484	0.791886	-0.0565704	0.214394	0.65579	0.0925256	0.20758	8.30563e-30	5.21409	0.459793	0	0	3.26729e-46
2	rs1	1:1	2:0.17425	rs2	1:2	2:0.3165	0	1000	1	1.55958e-28	1.81609	0.1639	1.81839e-24	1.62695	0.159374	0.927265	0.0201905	0.221178	0.757021	0.0636596	0.205755	7.71706e-26	5.31494	0.505673	0	0	6.88846e-43
3	rs1	1:1	2:0.18	rs2	1:2	2:0.318	0	1000	1	8.13613e-30	1.74982	0.15428	7.2768e-22	1.45545	0.151456	0.941664	-0.0153442	0.209683	0.282231	-0.228236	0.212249	7.45083e-33	4.83037	0.404602	0	0	1.43052e-44
4	rs1	1:1	2:0.19025	rs2	1:2	2:0.33125	0	1000	1	5.41027e-34	1.86842	0.153719	9.8013e-24	1.53952	0.153284	0.449233	0.151813	0.200627	0.108833	-0.371103	0.231439	3.56595e-32	5.31158	0.449844	0	0	6.29492e-49
5	rs1	1:1	2:0.18275	rs2	1:2	2:0.33175	0	1000	1	4.20562e-34	1.90243	0.156252	7.09317e-25	1.54129	0.149649	0.940846	0.0161173	0.217194	0.96955	0.0075098	0.196732	7.47512e-29	5.30134	0.475619	0	0	4.89293e-47
6	rs1	1:1	2:0.18925	rs2	1:2	2:0.32825	0	1000	1	3.35293e-27	1.62268	0.150215	6.86679e-33	1.85639	0.155407	0.82771	0.0429565	0.197375	0.86588	-0.0368879	0.218409	4.76657e-28	5.49818	0.500743	0	0	9.56372e-49
7	rs1	1:1	2:0.1785	rs2	1:2	2:0.322	0	1000	1	1.51015e-27	1.68967	0.155366	4.33655e-27	1.63868	0.152029	0.943476	0.0152333	0.214852	0.305919	0.199075	0.194443	9.42468e-29	4.42995	0.398179	0	0	6.72246e-38
8	rs1	1:1	2:0.18325	rs2	1:2	2:0.32	0	1000	1	9.70207e-24	1.47158	0.146505	3.60207e-34	1.80696	0.148257	0.384184	-0.178318	0.204913	0.308734	0.194794	0.191372	2.03727e-30	4.9617	0.432867	0	0	3.68621e-46
9	rs1	1:1	2:0.18925	rs2	1:2	2:0.33075	0	1000	1	1.3254e-27	1.60826	0.147719	8.5487e-33	1.77248	0.14861	0.935521	0.0162929	0.201394	0.32726	0.191579	0.195559	3.48698e-30	4.66699	0.408818	0	0	1.51543e-42
10	rs1	1:1	2:0.193	rs2	1:2	2:0.32675	0	1000	1	4.76703e-32	1.71047	0.145162	2.58596e-24	1.49395	0.146838	0.305857	0.191981	0.18749	0.147207	-0.321961	0.222124	2.00364e-33	4.52071	0.375246	0	0	1.88537e-43
