Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.1915	rs2	1:2	2:0.335	0	1000	1	0.969749	0.0644587	0.260059	4.46122e-23	6.18617	0.609755	0.889453	-0.129555	0.267651	0.735261	-2.73511	3.48752	0.387907	19.2932	14.019	0	0	1.23159e-09
2	rs1	1:1	2:0.17425	rs2	1:2	2:0.3165	0	1000	1	0.530087	0.28315	0.251311	7.34206e-21	5.87529	0.610154	0.998161	0.0165668	0.273065	0.885155	0.450268	0.911568	0.412514	48.8338	36.6957	0	0	2.40857e-08
3	rs1	1:1	2:0.18	rs2	1:2	2:0.318	0	1000	1	0.962177	0.0607996	0.218946	1.63792e-11	7.09622	1.00689	0.970059	0.0544913	0.220996	0.937311	-0.969423	2.69409	0.189504	13.1991	7.23666	0	0	0.000354618
4	rs1	1:1	2:0.19025	rs2	1:2	2:0.33125	0	1000	1	0.615459	0.224681	0.228038	6.7748e-12	7.10701	0.990958	0.596446	0.234438	0.230604	0.989251	0.277621	1.88833	0.280124	12.8734	8.06945	0	0	0.000846633
5	rs1	1:1	2:0.18275	rs2	1:2	2:0.33175	0	1000	1	0.751583	0.20559	0.272037	2.12905e-17	6.43164	0.73402	0.982865	0.0537009	0.288834	0.887179	-4.21516	8.61462	0.89097	57.101	118.834	0	0	2.92115e-07
6	rs1	1:1	2:0.18925	rs2	1:2	2:0.32825	0	1000	1	0.605536	0.24681	0.246406	3.05293e-22	6.02065	0.604849	0.982883	0.0485059	0.261034	0.924029	-5.72935	14.4127	0.699442	112.461	133.004	0	0	9.21655e-10
7	rs1	1:1	2:0.1785	rs2	1:2	2:0.322	0	1000	1	0.367743	0.182236	0.128837	1.28418e-29	5.15791	0.447164	0.973536	-0.0320789	0.138506	0.521976	-1.56409	1.37166	0.0432698	8.48698	3.38651	0	0	7.73017e-15
8	rs1	1:1	2:0.18325	rs2	1:2	2:0.32	0	1000	1	0.707253	-0.166621	0.200192	3.49132e-12	7.33111	1.00928	0.525936	-0.229959	0.202849	0.770252	1.0159	1.406	0.362741	10.6419	7.47261	0	0	0.000733756
9	rs1	1:1	2:0.18925	rs2	1:2	2:0.33075	0	1000	0	0.143548	2.47009	1.25365	7.25542e-23	5.96101	0.590357	0.0577213	3.98897	1.67017	6.77301e-12	343.412	47.883	2.29074e-11	-3975.03	567.867	0	1	1
10	rs1	1:1	2:0.193	rs2	1:2	2:0.32675	0	1000	1	0.124019	0.353761	0.173141	2.30948e-30	5.10082	0.43662	0.378359	0.245255	0.17591	0.574428	-1.77615	1.68679	4.5472e-05	8.80903	1.96992	0	0	1.08186e-11
11	rs1	1:1	2:0.18575	rs2	1:2	2:0.32925	0	1000	1	0.876856	-0.130504	0.25456	1.95705e-23	6.25011	0.611183	0.530045	-0.294486	0.261356	0.963403	-6.65327	24.3646	0.849479	25.73	45.046	0	0	5.15016e-10
12	rs1	1:1	2:0.1915	rs2	1:2	2:0.33475	0	1000	1	0.442669	2.67833	2.09792	6.37141e-17	6.33495	0.733533	0.713877	1.77863	2.16634	0.984524	-7.19066	40.7124	0.932824	239.163	641.306	0	0	3.87694e-07
13	rs1	1:1	2:0.17925	rs2	1:2	2:0.325	0	1000	1	0.529848	0.295187	0.261902	1.44111e-21	5.98015	0.610417	0.842706	0.156112	0.266838	0.831936	0.686719	1.13202	0.000120784	7.92418	1.86552	0	0	6.84923e-05
14	rs1	1:1	2:0.18475	rs2	1:2	2:0.31975	0	1000	0	0.993608	-0.224358	1.98108	1.9909e-17	6.51551	0.742942	0.96169	-0.663053	2.37221	0.00177365	-57.3285	16.1062	0.000350409	784.99	196.784	0	1	1
15	rs1	1:1	2:0.186	rs2	1:2	2:0.3365	0	1000	1	0.823834	-0.12738	0.204608	1.06705e-23	6.2821	0.610779	0.640578	-0.196464	0.208161	0.801302	-2.11958	3.18443	0.0168153	9.20837	3.22142	0	0	2.32978e-06
16	rs1	1:1	2:0.17675	rs2	1:2	2:0.3175	0	1000	0	0.190629	2.8065	1.54146	8.24532e-17	6.21438	0.722072	0.997539	86.5314	1232.66	1	687078	9.56125e+13	1	-7.65816e+06	1.06572e+15	0	1	1
17	rs1	1:1	2:0.1895	rs2	1:2	2:0.3275	0	1000	1	0.912448	0.0713658	0.166713	0.725911	30.4304	38.0185	0.880686	0.0863904	0.171378	0.795285	26.604	39.3063	0.936637	50.3567	139.173	0	0	0.711688
18	rs1	1:1	2:0.188	rs2	1:2	2:0.336	0	1000	1	0.559247	0.207642	0.192598	1.02085e-28	5.5389	0.487856	0.999855	0.00339262	0.199498	0.833564	-0.657892	1.09031	0.369023	11.72	8.30016	0	0	8.61677e-13
19	rs1	1:1	2:0.18775	rs2	1:2	2:0.31775	0	1000	1	0.644044	-0.157699	0.16811	4.08445e-12	7.36828	1.01743	0.551232	-0.185126	0.169619	0.83562	0.846928	1.41319	0.855741	11.0104	19.7252	0	0	0.000463466
20	rs1	1:1	2:0.1815	rs2	1:2	2:0.315	0	1000	1	0.962619	-0.0596504	0.216099	5.79905e-18	6.51472	0.731218	0.641121	-0.219797	0.233105	0.995615	0.11507	1.22742	0.564587	269.102	251.671	0	0	8.69777e-07
21	rs1	1:1	2:0.18525	rs2	1:2	2:0.33075	0	1000	1	0.313178	3.19931	2.09956	4.88703e-25	5.55965	0.525441	0.614492	2.15132	2.17994	0.992868	0.110183	0.920922	0.0233036	104.37	38.0641	0	0	1.46292e-09
22	rs1	1:1	2:0.19025	rs2	1:2	2:0.3285	0	1000	1	0.968036	-0.0558379	0.21906	4.99369e-12	7.32326	1.01511	0.696702	-0.198701	0.233718	0.823661	0.878976	1.41112	0.321135	72.5318	48.1221	0	0	0.000172863
23	rs1	1:1	2:0.1855	rs2	1:2	2:0.327	0	1000	1	0.541697	0.181451	0.16387	2.83676e-25	5.63689	0.530171	0.893373	0.0795095	0.167434	0.669863	-2.98702	3.33675	0.270096	12.6351	7.80902	0	0	1.45505e-11
24	rs1	1:1	2:0.192	rs2	1:2	2:0.334	0	1000	1	0.790598	-0.143515	0.209354	4.92108e-19	6.67646	0.727116	0.466241	-0.264181	0.21385	0.820695	-1.48371	2.36014	0.106822	13.8163	6.53255	0	0	5.5639e-07
25	rs1	1:1	2:0.1785	rs2	1:2	2:0.31575	0	1000	1	0.998574	-0.00973699	0.18229	5.44586e-29	5.5244	0.484224	0.665757	-0.170962	0.18953	0.995622	-0.0773532	0.82576	0.536055	11.4018	10.2102	0	0	2.0487e-12
26	rs1	1:1	2:0.181	rs2	1:2	2:0.32375	0	1000	1	0.994134	0.0235634	0.217226	6.5708e-18	6.45271	0.7254	0.991415	-0.0288953	0.22004	0.615899	0.975741	0.991049	0.165323	10.5803	5.57654	0	0	8.66586e-06
27	rs1	1:1	2:0.183	rs2	1:2	2:0.32425	0	1000	1	0.907601	-0.110995	0.252065	0.957255	32.2758	109.192	0.980305	-0.052154	0.261479	0.996587	9.30628	112.538	0.74929	456.687	601.082	0	0	0.424148
28	rs1	1:1	2:0.18675	rs2	1:2	2:0.32375	0	1000	1	0.466618	0.327718	0.265422	1.7545e-25	5.60562	0.525003	0.774592	0.194029	0.271472	0.913653	0.352385	0.829179	0.0949107	14.3828	6.62749	0	0	1.18574e-09
29	rs1	1:1	2:0.1785	rs2	1:2	2:0.31425	0	1000	1	0.646279	-0.229156	0.245252	1.84505e-18	6.64819	0.735661	0.231368	-0.464476	0.271466	0.818535	-3.4348	5.42765	0.320412	63.2269	41.9071	0	0	7.46998e-08
30	rs1	1:1	2:0.181	rs2	1:2	2:0.32475	0	1000	1	0.76958	0.132478	0.183043	2.68107e-17	6.39144	0.731632	0.923816	0.0737782	0.185326	0.633504	0.95277	0.997144	0.157766	8.36994	4.35528	0	0	9.46203e-06
31	rs1	1:1	2:0.186	rs2	1:2	2:0.322	0	1000	1	0.662235	0.141035	0.155343	1.54135e-17	6.39369	0.726638	0.999987	-0.000855923	0.166459	0.96852	0.299843	1.1855	0.227764	25.4878	14.8173	0	0	9.10969e-07
32	rs1	1:1	2:0.18625	rs2	1:2	2:0.32	0	1000	1	0.98553	0.0301803	0.176763	8.67106e-12	7.20643	1.00968	0.988935	-0.0266613	0.178723	0.982982	-0.430247	2.32212	0.0463994	9.34799	3.77226	0	0	0.000755581
33	rs1	1:1	2:0.18325	rs2	1:2	2:0.328	0	1000	1	0.219536	0.440841	0.253153	1.71367e-24	5.52484	0.528102	0.518353	0.302913	0.264234	0.949342	0.272569	0.845314	0.751882	18.7896	24.8797	0	0	8.11751e-10
34	rs1	1:1	2:0.1895	rs2	1:2	2:0.32875	0	1000	1	0.99344	-0.0325675	0.283863	7.2057e-12	7.28891	1.01754	0.946223	-0.0950765	0.285949	0.936351	-3.87032	10.6717	0.631742	24.2977	25.3521	0	0	0.000132951
35	rs1	1:1	2:0.18875	rs2	1:2	2:0.3325	0	1000	1	0.242697	-0.498971	0.296509	9.48636e-13	7.586	1.0195	0.180212	-0.554557	0.299553	0.962862	-4.95429	18.0078	0.79937	27.1746	40.6061	0	0	8.66899e-05
36	rs1	1:1	2:0.18125	rs2	1:2	2:0.31775	0	1000	1	0.295735	0.237371	0.152068	7.42878e-21	5.82379	0.604883	0.818997	0.103764	0.164198	0.888466	0.445235	0.915498	0.655399	61.2375	66.6167	0	0	4.04642e-08
37	rs1	1:1	2:0.18925	rs2	1:2	2:0.3285	0	1000	0	0.0632993	3.82732	1.62905	6.46526e-11	6.90455	1.00795	0.918003	0.419573	1.01431	2.37526e-06	359.802	70.6979	4.45545e-06	-3980.56	801.861	0	1	1
38	rs1	1:1	2:0.1855	rs2	1:2	2:0.328	0	1000	1	0.429585	0.288501	0.221932	3.69734e-25	5.63033	0.5308	0.799018	0.152062	0.226998	0.949279	-0.342234	1.06069	0.0380919	11.836	4.62984	0	0	3.00477e-10
39	rs1	1:1	2:0.193	rs2	1:2	2:0.33725	0	1000	1	0.920452	0.0734211	0.180324	8.25277e-12	7.26478	1.01686	0.986973	0.0306811	0.18946	0.994798	-7.90391	77.386	0.988666	92.7194	614.088	0	0	0.000125366
40	rs1	1:1	2:0.18275	rs2	1:2	2:0.32725	0	1000	1	0.980589	-0.0383529	0.1937	3.17164e-18	6.60098	0.73533	0.814858	-0.128931	0.201484	0.988865	0.183273	1.22469	0.969465	15.0367	60.3779	0	0	1.44608e-06
41	rs1	1:1	2:0.18675	rs2	1:2	2:0.32875	0	1000	1	0.854124	-0.147192	0.262108	7.97067e-19	6.63644	0.726927	0.784197	-0.190728	0.273534	0.643976	0.930331	0.99163	0.762795	30.2043	41.0447	0	0	3.06253e-06
42	rs1	1:1	2:0.191	rs2	1:2	2:0.31775	0	1000	1	0.507816	-0.198593	0.170589	0.306135	30.8962	20.08	0.577614	-0.180022	0.171825	0.237437	35.6827	21.0419	0.634474	-20.8289	21.8356	0	0	0.551581
43	rs1	1:1	2:0.17825	rs2	1:2	2:0.3155	0	1000	1	0.545008	0.239486	0.217364	5.52769e-11	6.99194	1.01731	0.761464	0.169546	0.229657	0.977741	-6.04999	28.5131	0.916628	87.7682	210.344	0	0	0.000145208
44	rs1	1:1	2:0.1795	rs2	1:2	2:0.324	0	1000	1	0.0789107	0.424303	0.188275	5.96316e-16	6.07579	0.725618	0.0938636	0.425378	0.195551	0.791535	-1.83826	2.68836	0.477369	34.7856	28.6039	0	0	5.39909e-07
45	rs1	1:1	2:0.1875	rs2	1:2	2:0.32175	0	1000	1	0.847457	0.104534	0.181686	1.32758e-17	6.42888	0.729232	0.986791	0.0299567	0.183701	0.863651	-3.67891	6.7945	0.375369	14.9687	10.6928	0	0	3.76815e-07
46	rs1	1:1	2:0.18175	rs2	1:2	2:0.328	0	1000	1	0.880642	-0.13177	0.26135	3.59753e-23	6.25011	0.614772	0.499742	-0.317723	0.269748	0.981237	-0.223826	1.15	0.618147	15.6185	15.9235	0	0	5.47571e-09
47	rs1	1:1	2:0.178	rs2	1:2	2:0.32125	0	1000	0	0.595213	1.56875	1.54001	2.41849e-22	5.93533	0.59488	1	482.128	4.70099e+17	1	-138551	6.88734e+25	1	1.6133e+06	8.00815e+26	0	1	1
48	rs1	1:1	2:0.18675	rs2	1:2	2:0.3405	0	1000	1	0.948615	-0.0881705	0.271449	4.52576e-25	6.36844	0.601466	0.457991	-0.357627	0.286164	0.419001	1.13931	0.86377	0.0172187	11.1535	3.91326	0	0	2.47417e-07
49	rs1	1:1	2:0.18525	rs2	1:2	2:0.326	0	1000	1	0.187233	3.36069	1.83592	2.40026e-21	5.8509	0.600424	0.301258	2.67453	1.72656	0.734558	-2.74808	3.49862	0.477861	160.425	132.008	0	0	3.26353e-09
50	rs1	1:1	2:0.178	rs2	1:2	2:0.3215	0	1000	1	0.675557	-0.181811	0.205278	3.49932e-12	7.32547	1.00855	0.655056	-0.189185	0.205676	0.44245	12.08	9.45928	0.879924	-4.66367	9.22028	0	0	0.608858
