Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Het_Pval	Red_Var1_Het_beta	Red_Var1_Het_SE	Red_Var1_Hom_Pval	Red_Var1_Hom_beta	Red_Var1_Hom_SE	Red_Var2_Het_Pval	Red_Var2_Het_beta	Red_Var2_Het_SE	Red_Var2_Hom_Pval	Red_Var2_Hom_beta	Red_Var2_Hom_SE	Full_Var1_Het_Pval	Full_Var1_Het_beta	Full_Var1_Het_SE	Full_Var1_Hom_Pval	Full_Var1_Hom_beta	Full_Var1_Hom_SE	Full_Var2_Het_Pval	Full_Var2_Het_beta	Full_Var2_Het_SE	Full_Var2_Hom_Pval	Full_Var2_Hom_beta	Full_Var2_Hom_SE	Full_Var1_Het_Var2_Het_Pval	Full_Var1_Het_Var2_Het_beta	Full_Var1_Het_Var2_Het_SE	Full_Var1_Het_Var2_Hom_Pval	Full_Var1_Het_Var2_Hom_beta	Full_Var1_Het_Var2_Hom_SE	Full_Var1_Hom_Var2_Het_Pval	Full_Var1_Hom_Var2_Het_beta	Full_Var1_Hom_Var2_Het_SE	Full_Var1_Hom_Var2_Hom_Pval	Full_Var1_Hom_Var2_Hom_beta	Full_Var1_Hom_Var2_Hom_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.239	rs2	1:2	2:0.45275	0	1000	0	0.277917	0.322979	0.297674	0.999982	-28.2739	1.26697e+06	0.130281	-0.610968	0.403814	8.30821e-24	7.66715	0.762149	0.515214	0.205923	0.316444	0.999982	-28.2853	1.26697e+06	0.224723	-0.493159	0.406205	0.999985	-28.2853	1.55172e+06	0.999971	-27.998	775859	0.999969	60.1999	1.55353e+06	nan	nan	nan	nan	nan	nan	1	0	1
2	rs1	1:1	2:0.24325	rs2	1:2	2:0.4585	0	1000	0	0.950894	0.0191687	0.311258	0.999986	-28.2145	1.55172e+06	0.950608	0.0192807	0.311265	6.03244e-17	8.72966	1.04364	0.953457	0.0189228	0.32421	0.999986	-28.2145	1.55172e+06	0.724844	0.110662	0.314386	0.99999	-28.2145	2.19446e+06	0.999971	-28.3441	775859	0.999978	60.3869	2.19573e+06	nan	nan	nan	nan	nan	nan	1	0	1
3	rs1	1:1	2:0.24725	rs2	1:2	2:0.46475	0	1000	0	0.506777	-0.220349	0.331918	0.591715	0.602134	1.12264	0.772583	-0.0895072	0.309716	8.27976e-33	7.87452	0.660073	0.215449	-0.473535	0.382278	0.603835	0.582518	1.12262	0.975684	-0.00953351	0.312775	0.999982	-28.2341	1.26697e+06	0.999965	-27.751	633487	0.999962	60.8793	1.26916e+06	nan	nan	nan	nan	nan	nan	0	0	1
4	rs1	1:1	2:0.24875	rs2	1:2	2:0.463	0	1000	0	0.479991	0.197303	0.279341	0.999979	-28.1227	1.09457e+06	0.187253	-0.453422	0.343827	0.999658	31.9856	74612.4	0.416378	0.235275	0.289491	0.999982	-28.2184	1.26697e+06	0.279111	-0.393011	0.363119	0.999988	32.1874	2.19469e+06	0.660133	-0.496846	1.12989	1	-0.235276	2.19596e+06	1	0.393011	2.53395e+06	nan	nan	nan	1	0	1
5	rs1	1:1	2:0.2475	rs2	1:2	2:0.4625	0	1000	0	0.0934847	0.45367	0.270477	0.999986	-28.0651	1.55172e+06	0.080236	0.485166	0.277346	5.27448e-25	7.75961	0.751331	0.194491	0.37805	0.291389	0.999986	-28.0756	1.55172e+06	0.0539512	0.553743	0.287326	0.999986	-28.0756	1.55172e+06	0.434769	-0.883985	1.13178	0.999969	60.0277	1.5535e+06	nan	nan	nan	nan	nan	nan	1	0	1
6	rs1	1:1	2:0.246	rs2	1:2	2:0.45975	0	1000	0	0.631862	-0.135099	0.28198	0.99999	-28.3228	2.19446e+06	0.658782	0.11445	0.259174	1.7457e-26	8.06467	0.757253	0.55133	-0.184994	0.310514	0.99999	-28.3279	2.19446e+06	0.447032	0.204347	0.268746	0.999985	-28.3279	1.55172e+06	0.34779	-1.0347	1.10205	0.999969	60.5908	1.55355e+06	nan	nan	nan	nan	nan	nan	1	0	1
7	rs1	1:1	2:0.2455	rs2	1:2	2:0.458	0	1000	0	0.539308	-0.189271	0.308329	0.999979	-28.3082	1.09723e+06	0.613548	-0.161711	0.32021	2.32108e-44	7.04311	0.504099	0.0505453	-0.787772	0.402886	0.999979	-28.3516	1.09723e+06	0.827527	-0.0705272	0.323705	0.956224	0.059526	1.0844	0.999963	-27.4933	586495	0.999651	32.7824	75057	nan	nan	nan	nan	nan	nan	1	0	1
8	rs1	1:1	2:0.2415	rs2	1:2	2:0.45625	0	1000	0	0.583676	-0.183092	0.334095	0.511175	0.761249	1.15866	0.00513074	-1.66008	0.593158	5.50493e-17	8.79853	1.05052	0.406721	-0.288454	0.347671	0.515757	0.753	1.15864	0.00590828	-1.63474	0.593841	0.99999	-28.3513	2.19446e+06	0.999981	-26.4281	1.09723e+06	0.999978	60.6942	2.19574e+06	nan	nan	nan	nan	nan	nan	0	0	1
9	rs1	1:1	2:0.24325	rs2	1:2	2:0.46675	0	1000	0	0.121301	0.450773	0.290946	0.401922	0.97199	1.15963	0.955549	0.0163161	0.292718	3.61135e-24	7.69827	0.759079	0.532827	0.204344	0.327634	0.269585	1.35702	1.22917	0.925274	-0.0292704	0.312076	0.999986	-28.1527	1.55172e+06	0.496287	0.622334	0.914735	0.999969	60.2014	1.55351e+06	0.999989	-29.4805	2.19446e+06	nan	nan	nan	0	0	1
10	rs1	1:1	2:0.24675	rs2	1:2	2:0.46125	0	1000	0	0.875407	0.0458661	0.292525	0.999979	-28.2457	1.09705e+06	0.704621	0.108138	0.285257	5.53284e-17	8.69727	1.03851	0.38918	-0.29908	0.347321	0.999982	-28.2507	1.26697e+06	0.717267	-0.116759	0.322437	0.99999	-28.2507	2.19446e+06	0.0401314	1.55712	0.758685	0.999978	60.7049	2.19574e+06	1	0.116759	2.53395e+06	nan	nan	nan	1	0	1
11	rs1	1:1	2:0.24925	rs2	1:2	2:0.45975	0	1000	0	0.444483	0.208677	0.272907	0.99999	-28.2201	2.19446e+06	0.147596	-0.550933	0.380458	1.95835e-25	7.84452	0.752656	0.539805	0.176702	0.288208	0.99999	-28.2241	2.19446e+06	0.418447	-0.311182	0.384594	0.295477	1.28568	1.22892	0.999957	-28.0896	517240	0.999672	30.7193	74665	nan	nan	nan	nan	nan	nan	1	0	1
12	rs1	1:1	2:0.251	rs2	1:2	2:0.47	0	1000	0	0.019652	0.623902	0.267433	0.999982	-28.0005	1.26697e+06	0.965675	-0.0139082	0.323196	7.32266e-31	7.26383	0.628865	0.503543	0.211444	0.316095	0.999982	-28.0566	1.26697e+06	0.47621	-0.274064	0.384699	0.999982	-28.0566	1.26697e+06	0.0913039	1.29263	0.765524	0.999962	60.1943	1.26913e+06	nan	nan	nan	nan	nan	nan	1	0	1
13	rs1	1:1	2:0.248	rs2	1:2	2:0.46425	0	1000	0	0.796103	-0.0901423	0.348857	0.999977	-28.1562	981393	0.049914	-1.0215	0.520985	1.16895e-31	7.81781	0.66777	0.265677	-0.452538	0.406566	0.999977	-28.1825	981393	0.0817059	-0.910801	0.523187	0.999982	-28.1825	1.26697e+06	0.999966	-26.8192	633487	0.999962	60.8583	1.26913e+06	nan	nan	nan	nan	nan	nan	1	0	1
14	rs1	1:1	2:0.2515	rs2	1:2	2:0.46925	0	1000	0	0.0504918	0.545327	0.278829	0.999988	32.4773	2.19469e+06	0.606213	0.168341	0.326567	1.74629e-16	8.51773	1.03391	0.0821245	0.525222	0.302114	0.999988	32.4744	2.19469e+06	0.470269	0.256616	0.355403	0.99999	-27.9314	2.19446e+06	0.604531	-0.456229	0.880928	0.999978	59.8806	2.1957e+06	nan	nan	nan	nan	nan	nan	1	0	1
