Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.239	rs2	1:2	2:0.45275	0	1000	1	2.3254e-52	2.72599	0.179019	1.68784e-43	2.47313	0.178828	0.600841	0.165101	0.315565	0.201379	-0.518477	0.40581	2.31728e-29	6.94501	0.617337	0	0	4.39417e-51
2	rs1	1:1	2:0.24325	rs2	1:2	2:0.4585	0	1000	1	5.39086e-53	2.6247	0.171295	2.14467e-55	2.687	0.171389	0.989979	-0.0040667	0.323802	0.752756	0.0989655	0.314169	2.89713e-31	6.57444	0.565294	0	0	1.45581e-51
3	rs1	1:1	2:0.24725	rs2	1:2	2:0.46475	0	1000	1	9.5658e-55	2.58036	0.165593	5.21819e-57	2.63303	0.165473	0.272567	-0.398312	0.363035	0.895661	-0.0409497	0.312249	6.47868e-34	6.68821	0.550921	0	0	2.07974e-56
4	rs1	1:1	2:0.24875	rs2	1:2	2:0.463	0	1000	1	4.02814e-59	2.66756	0.164524	5.10022e-53	2.52262	0.164594	0.481857	0.203187	0.288897	0.407777	-0.287651	0.347483	4.93521e-33	6.12362	0.511462	0	0	3.15107e-51
5	rs1	1:1	2:0.2475	rs2	1:2	2:0.4625	0	1000	1	3.99781e-55	2.67221	0.170877	7.10573e-64	2.88982	0.171268	0.220473	0.356543	0.290992	0.0648036	0.529646	0.286821	5.35098e-29	5.93011	0.530616	0	0	5.87572e-45
6	rs1	1:1	2:0.246	rs2	1:2	2:0.45975	0	1000	1	1.34382e-53	2.4271	0.157473	6.18971e-58	2.52486	0.157361	0.530333	-0.194751	0.310361	0.491247	0.184739	0.268388	4.04044e-35	5.73873	0.464109	0	0	1.41208e-51
7	rs1	1:1	2:0.2455	rs2	1:2	2:0.458	0	1000	1	7.38051e-44	2.28828	0.164754	3.09881e-59	2.6814	0.165213	0.0396714	-0.827777	0.40239	0.844892	-0.061102	0.312319	1.70914e-33	6.85221	0.568157	0	0	2.33896e-58
8	rs1	1:1	2:0.2415	rs2	1:2	2:0.45625	0	1000	1	1.91857e-59	2.76028	0.169766	1.32856e-44	2.37222	0.169307	0.494825	-0.22783	0.333741	0.00559996	-1.6449	0.593755	2.67739e-27	9.09381	0.840227	0	0	2.07223e-71
9	rs1	1:1	2:0.24325	rs2	1:2	2:0.46675	0	1000	1	2.21565e-68	2.99747	0.171527	3.08211e-46	2.43054	0.170252	0.41522	0.258412	0.31717	0.876842	-0.0483186	0.311785	1.84848e-31	6.52913	0.559556	0	0	1.54122e-51
10	rs1	1:1	2:0.24675	rs2	1:2	2:0.46125	0	1000	1	1.70003e-54	2.57081	0.165371	1.41779e-57	2.64504	0.165382	0.341151	-0.330171	0.346857	0.692992	-0.12723	0.322267	1.99785e-34	6.86976	0.561441	0	0	2.22421e-58
11	rs1	1:1	2:0.24925	rs2	1:2	2:0.45975	0	1000	1	1.16774e-48	2.45529	0.167485	8.91539e-57	2.67174	0.16826	0.563341	0.166446	0.288025	0.550329	-0.2184	0.365665	1.23445e-30	5.90198	0.51296	0	0	8.59443e-47
12	rs1	1:1	2:0.251	rs2	1:2	2:0.47	0	1000	1	3.82445e-61	2.83566	0.171884	3.56117e-57	2.73943	0.171901	0.571253	0.178654	0.315528	0.424515	-0.306853	0.384233	2.28998e-31	6.75751	0.580035	0	0	7.13284e-53
