Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.239	rs2	1:2	2:0.45275	0	1000	0	0.999982	-28.263	1.26697e+06	3.57311e-29	8.00019	0.713558	0.999982	-28.263	1.26697e+06	3.57311e-29	8.00019	0.713558	nan	nan	nan	1	0	1
2	rs1	1:1	2:0.24325	rs2	1:2	2:0.4585	0	1000	0	0.999986	-28.2181	1.55172e+06	3.20086e-18	8.74518	1.00472	0.999986	-28.2181	1.55172e+06	3.20086e-18	8.74518	1.00472	nan	nan	nan	1	0	1
3	rs1	1:1	2:0.24725	rs2	1:2	2:0.46475	0	1000	1	0.57342	0.631634	1.12187	2.54702e-39	7.68436	0.585721	0.57342	0.631634	1.12187	2.54702e-39	7.68436	0.585721	nan	nan	nan	0	0	1
4	rs1	1:1	2:0.24875	rs2	1:2	2:0.463	0	1000	0	0.999979	-28.2044	1.09723e+06	0.999656	32.2014	74621.9	0.999979	-28.2044	1.09723e+06	0.999656	32.2014	74621.9	nan	nan	nan	1	0	1
5	rs1	1:1	2:0.2475	rs2	1:2	2:0.4625	0	1000	0	0.999986	-28.1743	1.55172e+06	7.54726e-30	8.10275	0.713995	0.999986	-28.1743	1.55172e+06	7.54726e-30	8.10275	0.713995	nan	nan	nan	1	0	1
6	rs1	1:1	2:0.246	rs2	1:2	2:0.45975	0	1000	0	0.99999	-28.322	2.19446e+06	1.01882e-28	7.9306	0.713275	0.99999	-28.322	2.19446e+06	1.01882e-28	7.9306	0.713275	nan	nan	nan	1	0	1
7	rs1	1:1	2:0.2455	rs2	1:2	2:0.458	0	1000	0	0.999979	-28.275	1.09723e+06	1.17788e-60	6.8884	0.419273	0.999979	-28.275	1.09723e+06	1.17788e-60	6.8884	0.419273	nan	nan	nan	1	0	1
8	rs1	1:1	2:0.2415	rs2	1:2	2:0.45625	0	1000	1	0.45595	0.863493	1.15822	4.04316e-18	8.71787	1.00464	0.45595	0.863493	1.15822	4.04316e-18	8.71787	1.00464	nan	nan	nan	0	0	1
9	rs1	1:1	2:0.24325	rs2	1:2	2:0.46675	0	1000	1	0.422619	0.928933	1.15844	7.81474e-30	8.10059	0.713996	0.422619	0.928933	1.15844	7.8122e-30	8.10059	0.713995	nan	nan	nan	0	0	1
10	rs1	1:1	2:0.24675	rs2	1:2	2:0.46125	0	1000	0	0.999979	-28.2346	1.09723e+06	3.76068e-18	8.72636	1.00467	0.999979	-28.2346	1.09723e+06	3.76068e-18	8.72636	1.00467	nan	nan	nan	1	0	1
