Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.239	rs2	1:2	2:0.45275	0	1000	0	0.44528	-2.26281	1.77887	1.36787e-23	7.65388	0.745904	0.590821	-1.84819	1.80152	0.999269	0.0722516	1.88986	0.999999	-1728.74	1.0312e+06	0	0	1
2	rs1	1:1	2:0.24325	rs2	1:2	2:0.4585	0	1000	1	0.918667	-0.681956	1.65563	4.4356e-16	8.65651	1.02949	0.984102	-0.280503	1.56681	0.977588	-3.76684	17.6915	0.78764	-123.862	179.261	0	0	9.33496e-05
3	rs1	1:1	2:0.24725	rs2	1:2	2:0.46475	0	1000	0	0.805628	-0.0311379	0.0473602	8.70193e-32	7.8678	0.65785	0.476504	-0.0661383	0.0543184	0.928359	-3.97286	10.3035	0.996475	112.14	1334.48	0	1	1
4	rs1	1:1	2:0.24875	rs2	1:2	2:0.463	0	1000	1	0.590177	-1.679	1.63491	0.415669	32.1833	24.2886	0.572312	-1.85393	1.75483	0.463296	30.6215	24.6853	0.955338	-89.6306	296.503	0	0	0.77952
5	rs1	1:1	2:0.2475	rs2	1:2	2:0.4625	0	1000	1	0.225025	-3.0263	1.75218	4.49184e-24	7.76598	0.748949	0.608767	-1.7335	1.73992	0.970455	0.44587	1.82056	0.0338905	-71.7696	27.5848	0	0	2.10585e-06
6	rs1	1:1	2:0.246	rs2	1:2	2:0.45975	0	1000	1	0.984721	0.282857	1.61187	5.72076e-26	7.97978	0.740119	0.79023	1.02732	1.49713	0.920097	-1.86098	4.56001	0.195923	-106.629	59.0558	0	0	1.55747e-07
7	rs1	1:1	2:0.2455	rs2	1:2	2:0.458	0	1000	0	0.962241	-0.366219	1.31993	5.00177e-51	6.83239	0.448913	0.899426	0.503643	1.09385	0.993488	0.123189	1.07771	0.999987	-5208.7	1.02949e+06	0	1	1
8	rs1	1:1	2:0.2415	rs2	1:2	2:0.45625	0	1000	0	0.868804	-0.0352347	0.0664361	8.12646e-18	8.77706	0.989359	0.796158	-0.0467746	0.0692738	0.104921	3.43217	1.61631	1	20.4804	23274.5	0	0	1
9	rs1	1:1	2:0.24325	rs2	1:2	2:0.46675	0	1000	1	0.292143	0.0985489	0.0628194	4.72085e-23	7.68988	0.758388	0.809082	0.0459676	0.0706184	0.990341	-24.9821	179.302	0.804598	75.2996	114.192	0	0	1.80414e-07
10	rs1	1:1	2:0.24675	rs2	1:2	2:0.46125	0	1000	1	0.780926	-1.05671	1.50262	4.72931e-16	8.60331	1.02409	0.999236	0.0526818	1.34777	0.962045	-7.42918	26.7055	0.19316	-747.317	412.105	0	0	1.86855e-05
11	rs1	1:1	2:0.24925	rs2	1:2	2:0.45975	0	1000	0	0.690968	-1.55105	1.80389	3.65417e-25	7.84191	0.739219	0.735979	-1.47784	1.88738	0.459451	1.45482	1.16649	0.999998	-2154.14	1.11727e+06	0	0	1
12	rs1	1:1	2:0.251	rs2	1:2	2:0.47	0	1000	0	0.0609672	-4.01779	1.69861	7.15772e-30	7.26382	0.626987	0.658135	-1.62395	1.77538	0.782185	-352.66	503.119	0.122755	-12549.7	6127.16	0	1	1
13	rs1	1:1	2:0.248	rs2	1:2	2:0.46425	0	1000	0	0.865714	-0.765869	1.42612	7.73898e-35	7.63672	0.609305	0.989868	-0.181455	1.27147	0.914646	0.565338	1.33834	0.999999	-1031.15	840360	0	0	1
14	rs1	1:1	2:0.2515	rs2	1:2	2:0.46925	0	1000	1	0.0367576	4.39996	1.7118	1.35092e-15	8.46501	1.02296	0.060801	3.86607	1.63367	0.98562	-0.793515	4.66222	0.268117	95.7503	59.0122	0	0	0.000228517
15	rs1	1:1	2:0.247	rs2	1:2	2:0.46975	0	1000	1	0.26771	0.918675	0.565867	4.46614e-30	7.36041	0.633103	0.72922	0.481979	0.606486	0.910863	-1.55735	3.604	0.116735	27.3225	13.1827	0	0	1.41907e-09
16	rs1	1:1	2:0.25025	rs2	1:2	2:0.47125	0	1000	1	0.595471	-1.85409	1.82088	4.44404e-25	8.03427	0.758673	0.917082	-0.70732	1.69999	0.975009	-0.695076	3.08947	0.0539831	-78.8647	32.6395	0	0	4.68692e-07
17	rs1	1:1	2:0.2505	rs2	1:2	2:0.4735	0	1000	1	0.846474	-0.906499	1.57006	2.72326e-34	7.75848	0.624038	0.991375	0.162443	1.23415	0.977483	0.339543	1.59095	0.00478399	-71.0636	21.7401	0	0	5.74925e-09
18	rs1	1:1	2:0.24775	rs2	1:2	2:0.472	0	1000	1	0.334663	-2.71067	1.83201	2.23535e-30	7.4247	0.635388	0.341153	-2.29177	1.56267	0.956684	-0.716704	2.40831	0.0463542	-79.9076	32.2405	0	0	1.1287e-09
19	rs1	1:1	2:0.247	rs2	1:2	2:0.457	0	1000	1	0.964542	-0.39332	1.46374	0.92613	32.32	82.4982	0.967811	-0.373355	1.45953	0.913861	36.9963	87.164	0.97945	137.451	674.493	0	0	0.89254
20	rs1	1:1	2:0.24525	rs2	1:2	2:0.467	0	1000	1	0.111808	-3.73056	1.78213	1.90281e-37	6.70329	0.515478	0.186951	-2.66025	1.45262	0.957461	-0.48674	1.65076	0.000636226	-69.2183	18.0413	0	0	2.09076e-13
21	rs1	1:1	2:0.243	rs2	1:2	2:0.4605	0	1000	1	0.00430895	-5.36661	1.62594	1.31776e-21	7.34645	0.749182	0.193157	-3.28205	1.80987	0.943196	-1.13589	3.32133	0.116227	-197.178	95.0386	0	0	1.76922e-07
22	rs1	1:1	2:0.24775	rs2	1:2	2:0.475	0	1000	1	0.405109	-2.47291	1.83953	3.03427e-24	7.89127	0.75827	0.640928	-1.84184	1.9527	0.934837	-1.99844	5.4438	0.769343	-225.651	311.595	0	0	1.82044e-07
23	rs1	1:1	2:0.24175	rs2	1:2	2:0.45625	0	1000	1	0.729351	1.02753	1.29333	0.782839	33.7657	48.2538	0.75568	0.978344	1.30705	0.681557	43.8859	50.1184	0.860431	197.424	360.059	0	0	0.681214
24	rs1	1:1	2:0.247	rs2	1:2	2:0.461	0	1000	1	0.767667	1.13851	1.56564	0.966819	33.3674	128.442	0.759773	1.15841	1.56276	0.930573	51.1225	134.762	0.968415	236.553	933.68	0	0	0.824686
25	rs1	1:1	2:0.2505	rs2	1:2	2:0.46325	0	1000	1	0.102067	-3.59073	1.68073	1.36479e-23	7.63776	0.744317	0.214655	-3.03762	1.73156	0.117002	2.07996	1.00408	0.828091	-627.818	1022.14	0	0	3.94012e-06
26	rs1	1:1	2:0.24225	rs2	1:2	2:0.45775	0	1000	1	0.86516	-0.980385	1.82153	1.37117e-24	7.87538	0.751254	0.997719	-0.116734	1.72736	0.579201	1.27718	1.22208	0.535178	-83.368	74.5573	0	0	1.02616e-06
27	rs1	1:1	2:0.24525	rs2	1:2	2:0.46475	0	1000	1	0.972304	0.0361921	0.152703	1.61474e-35	7.42241	0.586386	0.493228	-0.214833	0.180694	0.766896	0.786366	1.07933	0.164009	5.85061	3.07685	0	0	1.08957e-11
28	rs1	1:1	2:0.244	rs2	1:2	2:0.45825	0	1000	1	0.77544	-1.15473	1.61909	6.80768e-16	8.57869	1.02647	0.89642	-0.70833	1.51467	0.345749	2.06315	1.41561	0.344468	-71.703	49.1127	0	0	0.000572009
29	rs1	1:1	2:0.25075	rs2	1:2	2:0.458	0	1000	1	0.278919	0.0255864	0.0160113	8.54722e-24	7.69953	0.747024	0.545283	0.0182793	0.0165977	0.930863	-1.80159	4.75942	0.296469	0.879227	0.563836	0	0	3.24086e-07
30	rs1	1:1	2:0.25225	rs2	1:2	2:0.4625	0	1000	0	0.738907	-0.0563312	0.0724122	5.7795e-27	8.29314	0.754449	0.562806	-0.0838684	0.0782199	0.915781	0.657016	1.56629	0.999999	47.5214	32534.4	0	0	1
31	rs1	1:1	2:0.249	rs2	1:2	2:0.46375	0	1000	1	0.512899	-0.120301	0.104105	0.366553	33.0367	23.3184	0.603856	-0.105524	0.10506	0.257449	39.8018	24.1606	0.622735	-8.22801	8.45392	0	0	0.511693
32	rs1	1:1	2:0.24125	rs2	1:2	2:0.45575	0	1000	1	0.304816	0.200055	0.129783	5.4847e-23	7.63132	0.753713	0.614649	0.134193	0.136014	0.927606	-2.5379	6.54637	0.830221	8.26287	13.5452	0	0	2.50975e-07
33	rs1	1:1	2:0.249	rs2	1:2	2:0.4665	0	1000	0	0.868402	-0.911287	1.71544	4.21688e-43	7.10175	0.508379	0.914457	0.590826	1.39706	0.831813	-2.43216	4.00769	0.999996	-4344.68	1.47953e+06	0	0	1
34	rs1	1:1	2:0.2485	rs2	1:2	2:0.4625	0	1000	0	0.994485	-0.063246	0.60138	3.74042e-26	8.09409	0.747992	0.911524	-0.275852	0.640867	0.256026	1.81448	1.09919	0.999999	400.994	280999	0	0	1
35	rs1	1:1	2:0.247	rs2	1:2	2:0.47075	0	1000	1	0.612152	-1.8174	1.8344	5.80448e-25	7.9388	0.751448	0.829781	-1.1011	1.80246	0.918823	0.694119	1.68684	0.0110143	-64.5005	21.4798	0	0	2.19396e-06
36	rs1	1:1	2:0.2425	rs2	1:2	2:0.4515	0	1000	1	0.244722	-2.86774	1.70915	0.990671	26.9846	197.094	0.193033	-3.22075	1.77571	0.994316	-21.878	204.909	0.785815	-3651.14	5258.65	0	0	0.453402
37	rs1	1:1	2:0.244	rs2	1:2	2:0.461	0	1000	1	0.89116	-0.699034	1.45613	5.62459e-26	7.99917	0.741809	0.999309	-0.046531	1.25127	0.976844	-0.583473	2.69549	0.035778	-80.6546	31.2511	0	0	4.46969e-07
38	rs1	1:1	2:0.24825	rs2	1:2	2:0.46875	0	1000	1	0.500973	0.109799	0.093386	2.28202e-35	7.17574	0.568126	0.989213	-0.0153693	0.104354	0.902999	-3.46176	7.66319	0.753486	6.10778	8.11784	0	0	1.89139e-12
39	rs1	1:1	2:0.24075	rs2	1:2	2:0.4535	0	1000	1	0.794095	1.06441	1.56751	1.23301e-16	8.71158	1.01778	0.994783	-0.1533	1.4988	0.94628	0.732586	2.20449	0.0122751	-71.0583	23.9533	0	0	0.000540082
40	rs1	1:1	2:0.24725	rs2	1:2	2:0.47	0	1000	0	0.000360402	-6.20767	1.55892	6.23702e-22	7.31707	0.740448	0.000781606	-6.1165	1.61699	0.997738	-0.155562	2.31135	0.999998	-1794.35	943240	0	0	1
41	rs1	1:1	2:0.2465	rs2	1:2	2:0.45875	0	1000	1	0.696182	-1.52614	1.79324	3.47764e-16	8.57009	1.01572	0.218383	-2.59409	1.48707	0.689747	1.56688	1.81795	0.00625994	-58.4944	18.3629	0	0	0.000607077
42	rs1	1:1	2:0.24575	rs2	1:2	2:0.4595	0	1000	1	0.852252	-0.837089	1.48037	8.36669e-26	7.96285	0.740976	0.98321	-0.239796	1.30307	0.937222	-2.81957	7.83004	0.427816	-109.003	83.6477	0	0	1.56136e-07
43	rs1	1:1	2:0.2415	rs2	1:2	2:0.463	0	1000	1	0.626076	-1.71032	1.76729	3.66001e-24	7.85989	0.756567	0.893969	-0.7457	1.57499	0.930359	-1.76875	4.6551	0.362225	-95.9683	67.3403	0	0	2.32549e-07
44	rs1	1:1	2:0.25325	rs2	1:2	2:0.463	0	1000	1	0.173514	-3.18844	1.70357	1.22122e-40	6.81753	0.502859	0.786183	-1.0323	1.48825	0.833651	-2.06471	3.42278	0.15071	-101.194	52.0157	0	0	3.75927e-14
45	rs1	1:1	2:0.243	rs2	1:2	2:0.4645	0	1000	1	0.162646	0.166498	0.0873604	2.377e-33	6.94105	0.566284	0.846294	0.0555755	0.0961955	0.828118	0.684673	1.1148	0.532834	3.95534	3.52497	0	0	6.00395e-11
46	rs1	1:1	2:0.247	rs2	1:2	2:0.4665	0	1000	1	0.339989	0.82923	0.564522	3.15415e-30	7.40743	0.635514	0.895602	0.284979	0.606862	0.907243	-2.50299	5.67266	0.346221	31.3341	21.5134	0	0	8.27989e-10
47	rs1	1:1	2:0.24525	rs2	1:2	2:0.46	0	1000	1	0.981761	-0.269836	1.40633	0.928995	32.257	84.0463	0.999911	-0.0208629	1.56032	0.952995	26.8396	86.4938	0.952049	-355.152	1132.88	0	0	0.736507
48	rs1	1:1	2:0.245	rs2	1:2	2:0.45925	0	1000	1	0.91935	-0.735817	1.79426	1.32416e-37	7.25721	0.556881	0.650966	1.41543	1.52754	0.880625	-1.16317	2.30682	0.242933	-174.007	103.437	0	0	9.89858e-13
49	rs1	1:1	2:0.2475	rs2	1:2	2:0.46775	0	1000	1	0.998141	-0.111816	1.83314	4.96235e-17	8.97464	1.03572	0.857588	0.932008	1.68137	0.995388	-0.341331	3.54971	0.365141	-208.085	146.592	0	0	6.30979e-05
50	rs1	1:1	2:0.24575	rs2	1:2	2:0.46775	0	1000	1	0.988346	0.0163107	0.106526	7.45421e-17	8.90821	1.03367	0.946713	-0.0369835	0.111754	0.153344	2.82457	1.45857	0.0406663	2.68433	1.06068	0	0	0.00249421
51	rs1	1:1	2:0.24425	rs2	1:2	2:0.462	0	1000	1	0.902814	0.613558	1.35686	3.97965e-17	8.86836	1.02046	0.658909	1.2902	1.41249	0.353176	2.04196	1.4153	0.608355	-82.5641	82.8131	0	0	0.000327668
52	rs1	1:1	2:0.246	rs2	1:2	2:0.4565	0	1000	0	0.324418	-0.119447	0.0796057	0.781934	32.2188	45.9346	0.441913	-0.102233	0.0799947	0.896328	21.6663	46.3088	0.963839	200.506	738.768	0	1	1
53	rs1	1:1	2:0.24875	rs2	1:2	2:0.46125	0	1000	1	0.384117	0.181536	0.13123	0.566899	33.5041	31.4465	0.443448	0.176464	0.138372	0.60063	35.2417	34.9022	0.993031	-4.70333	39.768	0	0	0.906505
54	rs1	1:1	2:0.24375	rs2	1:2	2:0.47	0	1000	1	0.981525	0.0301122	0.155923	5.37009e-16	8.79228	1.04848	0.991299	-0.0213916	0.161809	0.342438	2.07482	1.41721	0.97957	7.31878	36.0206	0	0	0.000355382
55	rs1	1:1	2:0.24975	rs2	1:2	2:0.4645	0	1000	1	0.951712	-0.378723	1.20375	1.61531e-27	8.12803	0.731749	0.972891	0.255565	1.09006	0.99912	-0.0935735	2.22958	0.0410431	-80.9084	32.0162	0	0	4.6696e-07
56	rs1	1:1	2:0.24875	rs2	1:2	2:0.4695	0	1000	1	0.00572279	-5.29973	1.64921	1.45294e-43	6.23712	0.444067	0.552006	-1.9198	1.76107	0.795197	-2.47155	3.65074	0.258277	-99.8805	60.7017	0	0	1.61445e-17
57	rs1	1:1	2:0.2475	rs2	1:2	2:0.46825	0	1000	1	0.78907	0.69832	1.01451	6.60682e-18	9.03849	1.01616	0.606086	1.00653	1.00579	0.312265	2.16168	1.41683	0.793799	-86.3271	127.027	0	0	0.000303741
58	rs1	1:1	2:0.2525	rs2	1:2	2:0.46675	0	1000	1	0.232449	-2.99223	1.75162	5.37445e-31	7.41796	0.628287	0.69765	-1.46992	1.73222	0.910446	-2.55909	5.90776	0.49111	-107.999	90.5616	0	0	8.88689e-10
59	rs1	1:1	2:0.238	rs2	1:2	2:0.4625	0	1000	1	0.0486831	0.310028	0.126098	1.89549e-34	6.47673	0.519726	0.694631	0.120751	0.141449	0.875728	-3.49788	6.78979	0.384845	7.35847	5.32464	0	0	6.55506e-14
60	rs1	1:1	2:0.24725	rs2	1:2	2:0.46375	0	1000	0	0.6102	-0.0790336	0.0795146	4.61001e-17	9.14048	1.05383	0.558993	-0.0901881	0.083621	0.975461	-0.983137	4.41036	0.989783	192.701	1344.57	0	1	1
61	rs1	1:1	2:0.245	rs2	1:2	2:0.45725	0	1000	1	0.384834	0.113303	0.0819859	0.961369	33.3483	118.802	0.424379	0.113301	0.0865355	0.966001	33.344	126.772	1	0.0109189	112.739	0	0	1
62	rs1	1:1	2:0.243	rs2	1:2	2:0.45675	0	1000	1	0.583278	-1.79022	1.72409	8.73974e-31	7.37793	0.627087	0.91879	-0.616939	1.49896	0.755163	0.867827	1.15798	0.882522	-98.4974	197.017	0	0	4.54325e-09
63	rs1	1:1	2:0.24275	rs2	1:2	2:0.46325	0	1000	1	0.152658	-3.43485	1.7716	1.25305e-33	6.91764	0.561984	0.803836	-1.19396	1.80671	0.845773	0.646969	1.11778	0.858149	-191.172	345.617	0	0	4.98601e-11
64	rs1	1:1	2:0.2435	rs2	1:2	2:0.46225	0	1000	1	0.412991	0.176939	0.133046	5.94731e-38	6.76857	0.516955	0.999462	-0.00496375	0.151319	0.890858	-0.907173	1.88691	0.0143768	5.79752	1.99037	0	0	6.53515e-14
65	rs1	1:1	2:0.24975	rs2	1:2	2:0.46275	0	1000	1	0.813904	-1.04247	1.62445	7.61724e-26	8.01166	0.744913	0.965665	-0.389926	1.47507	0.934602	-2.09838	5.70536	0.260467	-99.3476	60.567	0	0	1.89946e-07
66	rs1	1:1	2:0.24325	rs2	1:2	2:0.4555	0	1000	1	0.996953	0.114898	1.47074	9.05144e-17	8.73011	1.01567	0.973784	0.329753	1.43059	0.327868	2.09359	1.40188	0.611086	-80.4624	81.0713	0	0	0.00043905
67	rs1	1:1	2:0.24475	rs2	1:2	2:0.46725	0	1000	1	0.329244	-2.72821	1.83027	2.22686e-38	6.85761	0.52078	0.942731	0.499762	1.45518	0.932206	-7.76327	20.7184	0.161695	-553.78	290.097	0	0	2.58034e-15
68	rs1	1:1	2:0.24025	rs2	1:2	2:0.451	0	1000	0	0.789293	0.774765	1.12624	0.935423	31.1847	85.3456	0.901546	0.542096	1.19066	0.999994	0.286999	85.9598	0.740095	-7067.79	9109.66	0	1	1
69	rs1	1:1	2:0.24625	rs2	1:2	2:0.46575	0	1000	1	0.998782	0.0772192	1.56388	0.480182	32.4055	26.7533	0.99994	-0.0175245	1.60334	0.433921	35.8721	27.7604	0.834867	132.318	220.235	0	0	0.720397
