Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.5285	rs2	1:2	2:0.285	0	1000	0	0.999499	51.5432	82036.4	0.999712	20.8356	57816.3	0.999583	36.3578	69639.1	1	-3.5385e-12	983861	0.999981	24.048	1.0252e+06	1	0	1
2	rs1	1:1	2:0.5225	rs2	1:2	2:0.292	0	1000	0	0.999502	51.0751	81879.3	0.999721	20.1917	57690.5	0.999575	37.0477	69534.2	1	3.05867e-10	1.26888e+06	0.999986	23.3581	1.29962e+06	1	0	1
3	rs1	1:1	2:0.52575	rs2	1:2	2:0.28575	0	1000	0	0.999506	50.9647	82368.2	0.99971	21.149	58126.1	0.999591	35.6835	69674.2	1	-2.02485e-09	1.09944e+06	0.999983	24.7223	1.1529e+06	1	0	1
4	rs1	1:1	2:0.523	rs2	1:2	2:0.291	0	1000	0	0.999502	51.2301	82040.1	0.999723	20.0479	57840.7	0.999575	37.0562	69569.1	1	3.21183e-09	1.09943e+06	0.999984	23.3496	1.14002e+06	1	0	1
5	rs1	1:1	2:0.52525	rs2	1:2	2:0.28825	0	1000	0	0.999509	50.602	82245.6	0.999693	22.3076	57965.4	0.999601	34.8558	69779.8	1	-8.00932e-09	1.55329e+06	0.999987	25.55	1.58073e+06	1	0	1
6	rs1	1:1	2:0.52525	rs2	1:2	2:0.2895	0	1000	0	0.999514	49.9122	81949.6	0.999707	21.2206	57755.9	0.999587	35.9534	69534.2	1	-1.02599e-08	2.19556e+06	0.999991	24.4524	2.21472e+06	1	0	1
7	rs1	1:1	2:0.52975	rs2	1:2	2:0.2855	0	1000	0	0.99951	50.4403	82089.3	0.999716	20.6385	57895.1	0.999583	36.3683	69534.2	1	1.97348e-09	1.55328e+06	0.999988	24.0375	1.58525e+06	1	0	1
8	rs1	1:1	2:0.52425	rs2	1:2	2:0.28275	0	1000	0	0.999519	49.5712	82220.7	0.999713	20.8576	58019.9	0.999587	35.9712	69534.2	1	-3.59677e-09	2.19556e+06	0.999991	24.4346	2.22282e+06	1	0	1
9	rs1	1:1	2:0.52625	rs2	1:2	2:0.28425	0	1000	0	0.999517	49.6595	82075.5	0.999726	19.8544	57902.3	0.999574	37.0657	69464.5	1	-5.78986e-10	2.19556e+06	0.999992	23.3401	2.22035e+06	1	0	1
10	rs1	1:1	2:0.52225	rs2	1:2	2:0.2855	0	1000	0	0.999513	50.1886	82264.9	0.99972	20.3726	58064	0.999583	36.3798	69534.2	1	-1.3754e-09	1.55328e+06	0.999988	24.026	1.59463e+06	1	0	1
11	rs1	1:1	2:0.5275	rs2	1:2	2:0.28525	0	1000	0	0.99951	50.4403	82089.3	0.999716	20.6385	57895.1	0.999583	36.3683	69534.2	1	-1.85295e-09	1.55328e+06	0.999988	24.0375	1.58525e+06	1	0	1
12	rs1	1:1	2:0.52025	rs2	1:2	2:0.28675	0	1000	0	0.999582	36.362	69464.5	0.999936	24.0438	298660	0.999582	36.362	69464.5	0.999936	24.0438	298660	nan	nan	nan	1	0	1
13	rs1	1:1	2:0.5235	rs2	1:2	2:0.2865	0	1000	0	0.9995	51.6194	82363.7	0.999712	20.9603	58111.3	0.999589	35.967	69744.6	1	9.18533e-10	832356	0.999978	24.4387	895704	1	0	1
14	rs1	1:1	2:0.52575	rs2	1:2	2:0.2895	0	1000	0	0.999506	50.8907	82173.7	0.999706	21.3764	57945.1	0.999591	35.6731	69639.1	1	-4.95611e-10	1.26889e+06	0.999985	24.7327	1.30629e+06	1	0	1
15	rs1	1:1	2:0.5255	rs2	1:2	2:0.2905	0	1000	0	0.999501	51.4219	82186.6	0.999709	21.1098	57952.8	0.999588	35.9597	69674.2	1	-2.8074e-09	983863	0.999981	24.4461	1.03074e+06	1	0	1
16	rs1	1:1	2:0.527	rs2	1:2	2:0.28575	0	1000	0	0.999509	50.4966	82000.7	0.999724	20.0066	57819.9	0.999575	37.0583	69499.3	1	2.16998e-09	1.55327e+06	0.999988	23.3475	1.58338e+06	1	0	1
17	rs1	1:1	2:0.52625	rs2	1:2	2:0.28575	0	1000	0	0.999516	49.7846	82020.3	0.999715	20.6795	57837.3	0.999582	36.3662	69499.3	1	6.1425e-09	2.19556e+06	0.999991	24.0396	2.21739e+06	1	0	1
18	rs1	1:1	2:0.52	rs2	1:2	2:0.28825	0	1000	0	0.999515	60.4058	99397.6	1	-3.63709e-12	291353	0.999517	60.4058	99689.4	1	-1.67972e-11	1.26888e+06	1	1.94404e-11	1.30371e+06	1	0	1
19	rs1	1:1	2:0.52125	rs2	1:2	2:0.28625	0	1000	0	0.999509	50.4795	82056.9	0.999715	20.6804	57863.2	0.999583	36.3662	69534.2	1	3.47242e-11	1.55328e+06	0.999988	24.0396	1.58398e+06	1	0	1
20	rs1	1:1	2:0.52975	rs2	1:2	2:0.28575	0	1000	0	0.999515	60.4058	99325.2	1	6.05738e-13	318111	0.999515	60.4058	99425.1	1	6.49436e-11	2.19556e+06	1	-6.79421e-11	2.21897e+06	1	0	1
21	rs1	1:1	2:0.52125	rs2	1:2	2:0.29	0	1000	0	0.9995	51.382	81938.8	0.999711	20.9035	57727.9	0.999583	36.3535	69604.1	1	5.45783e-09	1.09944e+06	0.999983	24.0523	1.13422e+06	1	0	1
22	rs1	1:1	2:0.528	rs2	1:2	2:0.28875	0	1000	0	0.999587	35.9555	69499.3	0.999934	24.4503	295933	0.999587	35.9555	69499.3	0.999934	24.4503	295933	nan	nan	nan	1	0	1
23	rs1	1:1	2:0.52625	rs2	1:2	2:0.2865	0	1000	0	0.999514	49.8933	81925.2	0.999713	20.7959	57743.8	0.999583	36.3599	69499.3	1	7.33579e-10	2.19556e+06	0.999991	24.0459	2.21506e+06	1	0	1
24	rs1	1:1	2:0.52575	rs2	1:2	2:0.29025	0	1000	0	0.999591	35.6614	69534.2	0.99993	24.7444	281002	0.999591	35.6614	69534.2	0.99993	24.7444	281002	nan	nan	nan	1	0	1
25	rs1	1:1	2:0.52275	rs2	1:2	2:0.28675	0	1000	0	0.999506	50.8673	82109.1	0.999715	20.6606	57905.4	0.999583	36.3673	69569.1	1	1.97923e-09	1.26888e+06	0.999985	24.0385	1.30704e+06	1	0	1
26	rs1	1:1	2:0.52575	rs2	1:2	2:0.28525	0	1000	0	0.999521	49.471	82325.6	0.999711	21.0389	58109.3	0.999591	35.6877	69569.1	1	4.61325e-06	2.19557e+06	0.999991	24.7181	2.22583e+06	1	0	1
