Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.457	rs2	1:2	2:0.2485	0	1000	1	9.04012e-71	2.35389	0.132344	5.23027e-12	1.42952	0.207202	0.953726	0.0190941	0.329048	0.723187	-0.117276	0.331099	1.50753e-16	3.96484	0.480243	0	0	1.43568e-27
2	rs1	1:1	2:0.45375	rs2	1:2	2:0.2495	0	1000	1	5.534e-79	2.50297	0.13302	7.09831e-08	1.06567	0.197762	0.462121	0.241264	0.328091	0.492838	-0.21981	0.320515	5.9867e-16	3.53726	0.437261	0	0	2.13875e-23
3	rs1	1:1	2:0.46125	rs2	1:2	2:0.25125	0	1000	1	1.63104e-67	2.2008	0.126768	7.75371e-18	1.72074	0.200012	0.986627	0.00526385	0.314039	0.328975	0.28422	0.291156	3.29899e-17	3.54701	0.420488	0	0	5.80269e-26
4	rs1	1:1	2:0.45875	rs2	1:2	2:0.2475	0	1000	1	4.47682e-73	2.3093	0.127718	2.23735e-11	1.35522	0.202586	0.357451	-0.316558	0.343998	0.11244	-0.624381	0.393355	1.28423e-18	4.5999	0.522294	0	0	3.25779e-35
5	rs1	1:1	2:0.45775	rs2	1:2	2:0.249	0	1000	1	9.13218e-80	2.37817	0.125751	1.51958e-09	1.1672	0.193172	0.906055	-0.037368	0.316634	0.174549	-0.477634	0.351789	3.09065e-19	3.96801	0.44259	0	0	3.83796e-31
6	rs1	1:1	2:0.45425	rs2	1:2	2:0.2485	0	1000	1	2.3262e-79	2.36975	0.125634	1.1479e-08	1.11574	0.195494	0.771166	0.0846087	0.290902	0.0814806	-0.638844	0.366697	1.65796e-19	3.97076	0.439544	0	0	4.72101e-32
7	rs1	1:1	2:0.4575	rs2	1:2	2:0.244	0	1000	1	2.00743e-68	2.29745	0.131427	7.04901e-10	1.3155	0.213383	0.314206	0.277738	0.275962	0.0913782	-0.733201	0.434316	5.08466e-18	3.65328	0.422273	0	0	3.21372e-27
8	rs1	1:1	2:0.4705	rs2	1:2	2:0.256	0	1000	1	1.68016e-80	2.38675	0.125613	8.32724e-10	1.24981	0.2036	0.930164	0.0261655	0.298561	0.00915784	-1.26569	0.485663	1.69426e-20	4.18921	0.451422	0	0	2.08682e-34
9	rs1	1:1	2:0.46125	rs2	1:2	2:0.2505	0	1000	1	2.219e-71	2.26666	0.126879	9.45348e-14	1.50972	0.202693	0.584199	0.156749	0.286424	0.599836	-0.176757	0.336914	2.54853e-18	3.63828	0.41676	0	0	8.48293e-28
10	rs1	1:1	2:0.45825	rs2	1:2	2:0.25475	0	1000	1	2.56966e-81	2.37837	0.124528	1.79244e-08	1.10978	0.197086	0.36202	-0.331998	0.364224	0.0728536	-0.621439	0.346448	1.56782e-19	4.07804	0.451114	0	0	6.15892e-31
11	rs1	1:1	2:0.45475	rs2	1:2	2:0.24825	0	1000	1	2.98693e-73	2.22416	0.122857	1.34565e-11	1.32951	0.196567	0.15683	-0.521783	0.368539	0.152144	-0.490503	0.34253	3.32954e-20	4.4379	0.481973	0	0	5.65173e-37
12	rs1	1:1	2:0.47325	rs2	1:2	2:0.25425	0	1000	1	7.48825e-80	2.35546	0.124481	5.17087e-13	1.42263	0.19702	0.419058	0.224368	0.277663	0.198916	-0.482266	0.375408	9.7583e-20	3.58398	0.394207	0	0	3.66617e-29
13	rs1	1:1	2:0.456	rs2	1:2	2:0.24875	0	1000	1	9.87257e-68	2.20653	0.126887	4.92102e-15	1.56229	0.199554	0.245324	-0.44078	0.3794	0.684368	0.119284	0.293435	1.71729e-17	4.04976	0.4758	0	0	2.90351e-29
14	rs1	1:1	2:0.4555	rs2	1:2	2:0.24425	0	1000	1	5.01692e-70	2.33891	0.132217	1.39261e-11	1.41342	0.209127	0.111802	0.420165	0.264231	0.481675	-0.251829	0.35791	5.20223e-16	3.64986	0.450229	0	0	4.35997e-26
15	rs1	1:1	2:0.46375	rs2	1:2	2:0.2475	0	1000	1	1.98868e-70	2.17135	0.122385	3.41647e-14	1.50556	0.198584	0.614507	-0.146662	0.291198	0.0802806	-0.721533	0.412526	2.04393e-21	4.16818	0.438628	0	0	3.80793e-36
16	rs1	1:1	2:0.45575	rs2	1:2	2:0.24725	0	1000	1	1.1737e-70	2.16099	0.121598	5.85983e-12	1.36356	0.198105	0.41199	-0.266594	0.324958	0.208137	-0.420515	0.334085	2.57631e-20	3.79295	0.410702	0	0	4.95304e-31
17	rs1	1:1	2:0.469	rs2	1:2	2:0.25025	0	1000	1	3.69888e-71	2.45884	0.137857	6.23554e-12	1.4952	0.21751	0.140001	0.443193	0.300309	0.495961	-0.274348	0.402944	2.2104e-15	3.53056	0.445276	0	0	9.70947e-23
18	rs1	1:1	2:0.454	rs2	1:2	2:0.25025	0	1000	1	5.90231e-79	2.41723	0.128487	1.32286e-06	0.993698	0.205467	0.988906	0.00425946	0.306336	0.00688347	-1.26216	0.467045	7.95721e-20	4.30316	0.472161	0	0	1.60599e-33
19	rs1	1:1	2:0.4655	rs2	1:2	2:0.258	0	1000	1	5.92999e-82	2.34974	0.122538	5.67173e-09	1.1321	0.194313	0.0372142	-0.966502	0.463904	0.00746005	-1.20291	0.449587	2.09614e-19	5.06735	0.562531	0	0	5.37853e-41
20	rs1	1:1	2:0.461	rs2	1:2	2:0.25	0	1000	1	6.8577e-74	2.39504	0.131708	2.09557e-13	1.49807	0.204025	0.185921	0.391066	0.295648	0.559568	0.174889	0.299732	2.71451e-15	3.33351	0.421783	0	0	3.8364e-22
21	rs1	1:1	2:0.459	rs2	1:2	2:0.2455	0	1000	1	1.78333e-59	1.98798	0.122233	3.0939e-17	1.70607	0.20207	0.196303	-0.428738	0.3318	0.483453	-0.245903	0.350909	1.76473e-20	3.95769	0.426674	0	0	1.03617e-33
22	rs1	1:1	2:0.457	rs2	1:2	2:0.2505	0	1000	1	8.52899e-77	2.38045	0.128343	4.36426e-07	1.03105	0.204073	0.241727	-0.440792	0.376526	0.00546157	-1.43256	0.515592	1.61255e-19	4.70002	0.520095	0	0	5.58368e-36
23	rs1	1:1	2:0.461	rs2	1:2	2:0.24875	0	1000	1	1.90992e-78	2.23944	0.119432	2.623e-11	1.27418	0.191137	0.254441	-0.362832	0.318377	0.0168178	-0.999382	0.418035	2.06621e-22	4.57982	0.470281	0	0	6.35753e-42
24	rs1	1:1	2:0.45	rs2	1:2	2:0.24525	0	1000	1	1.29194e-66	2.12022	0.122971	5.60981e-15	1.51274	0.193633	0.123306	-0.575334	0.373341	0.907341	0.0333655	0.286664	9.7156e-19	4.22023	0.477492	0	0	1.60215e-33
25	rs1	1:1	2:0.458	rs2	1:2	2:0.24875	0	1000	1	1.42959e-66	2.21546	0.128538	1.4567e-13	1.52582	0.206441	0.396148	-0.317054	0.373655	0.937395	-0.0251608	0.320338	4.02786e-17	3.83428	0.455806	0	0	1.7216e-27
26	rs1	1:1	2:0.46075	rs2	1:2	2:0.2475	0	1000	1	2.43843e-77	2.42812	0.130441	2.16752e-08	1.17898	0.210605	0.416199	0.235154	0.289231	0.0184424	-1.11149	0.471649	1.88141e-18	4.03659	0.460578	0	0	1.1986e-29
27	rs1	1:1	2:0.45875	rs2	1:2	2:0.24475	0	1000	1	3.42262e-65	2.21578	0.129949	8.01319e-14	1.56336	0.209283	0.480146	-0.248168	0.351479	0.635794	-0.165316	0.349071	4.35943e-18	4.01937	0.463649	0	0	5.79925e-30
28	rs1	1:1	2:0.455	rs2	1:2	2:0.24825	0	1000	1	3.52372e-68	2.1813	0.125013	2.9603e-13	1.45444	0.199342	0.669722	-0.138615	0.324983	0.855253	-0.0564953	0.309698	2.22883e-18	3.60522	0.412258	0	0	1.18224e-27
