Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Het_Pval	Red_Var1_Het_beta	Red_Var1_Het_SE	Red_Var1_Hom_Pval	Red_Var1_Hom_beta	Red_Var1_Hom_SE	Red_Var2_Het_Pval	Red_Var2_Het_beta	Red_Var2_Het_SE	Red_Var2_Hom_Pval	Red_Var2_Hom_beta	Red_Var2_Hom_SE	Full_Var1_Het_Pval	Full_Var1_Het_beta	Full_Var1_Het_SE	Full_Var1_Hom_Pval	Full_Var1_Hom_beta	Full_Var1_Hom_SE	Full_Var2_Het_Pval	Full_Var2_Het_beta	Full_Var2_Het_SE	Full_Var2_Hom_Pval	Full_Var2_Hom_beta	Full_Var2_Hom_SE	Full_Var1_Het_Var2_Het_Pval	Full_Var1_Het_Var2_Het_beta	Full_Var1_Het_Var2_Het_SE	Full_Var1_Het_Var2_Hom_Pval	Full_Var1_Het_Var2_Hom_beta	Full_Var1_Het_Var2_Hom_SE	Full_Var1_Hom_Var2_Het_Pval	Full_Var1_Hom_Var2_Het_beta	Full_Var1_Hom_Var2_Het_SE	Full_Var1_Hom_Var2_Hom_Pval	Full_Var1_Hom_Var2_Hom_beta	Full_Var1_Hom_Var2_Hom_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.457	rs2	1:2	2:0.2485	0	1000	0	0.892284	-0.04531	0.334602	6.42489e-16	8.54094	1.05692	0.266349	0.32115	0.288932	0.676066	-1.02108	2.44372	0.658995	-0.161533	0.366039	0.156145	2.01069	1.41782	0.618576	0.156799	0.314939	0.999986	-28.1922	1.55172e+06	0.331038	0.916812	0.943198	nan	nan	nan	0.999683	30.0461	75634.2	0.999971	58.3951	1.62073e+06	0	0	1
2	rs1	1:1	2:0.45375	rs2	1:2	2:0.2495	0	1000	0	0.590763	0.168882	0.314064	0.999657	32.1241	74771.6	0.811881	0.0743778	0.312512	0.963557	0.0490555	1.07366	0.468895	0.237652	0.328123	0.999662	32.0618	75724.2	0.662512	0.142342	0.326138	0.958902	0.0553306	1.07373	0.550735	-0.681339	1.14192	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
3	rs1	1:1	2:0.46125	rs2	1:2	2:0.25125	0	1000	0	0.827371	-0.0679503	0.311591	6.51217e-23	7.42336	0.753247	0.00231017	0.76391	0.250696	0.977162	0.062227	2.17372	0.691816	-0.138427	0.349218	0.266551	1.36565	1.22916	0.0301191	0.596517	0.27508	0.99999	-28.1441	2.19446e+06	0.614397	0.396735	0.787473	nan	nan	nan	0.999681	30.2995	75859.7	0.999979	59.0401	2.23627e+06	0	0	1
4	rs1	1:1	2:0.45875	rs2	1:2	2:0.2475	0	1000	0	0.479585	-0.234727	0.332018	8.35503e-17	8.9081	1.0699	0.695686	-0.130736	0.334234	0.53529	-1.47611	2.38101	0.389375	-0.298739	0.347067	0.99999	-28.2716	2.19446e+06	0.406628	-0.302316	0.364306	0.999982	-28.2716	1.26697e+06	0.442397	0.922893	1.20145	nan	nan	nan	0.999978	60.7081	2.19577e+06	0.999973	88.6774	2.57494e+06	0	0	1
5	rs1	1:1	2:0.45775	rs2	1:2	2:0.249	0	1000	0	0.796614	-0.0827723	0.321156	9.12179e-26	8.08227	0.770117	0.845314	-0.0627095	0.32142	0.845622	0.204864	1.05217	0.990923	0.00368777	0.324169	0.999985	-28.2533	1.55172e+06	0.608688	-0.178634	0.34893	0.884303	0.157838	1.08467	0.999969	-28.0784	731487	nan	nan	nan	0.999969	60.5844	1.55356e+06	0.999971	60.248	1.63567e+06	0	0	1
6	rs1	1:1	2:0.45425	rs2	1:2	2:0.2485	0	1000	0	0.519701	0.189968	0.295069	1.83556e-36	7.22571	0.572967	0.648893	0.130505	0.286634	0.502424	-0.977595	1.45762	0.520488	0.196817	0.306286	0.999979	-28.2884	1.09723e+06	0.552141	-0.198496	0.333856	0.999977	-28.2884	981393	0.887008	-0.163294	1.14922	nan	nan	nan	0.999956	60.6043	1.09986e+06	0.999955	88.6942	1.55581e+06	0	0	1
7	rs1	1:1	2:0.4575	rs2	1:2	2:0.244	0	1000	0	0.437095	0.223712	0.287878	6.8116e-31	7.53098	0.651643	0.76789	0.0925536	0.313596	0.153024	2.00609	1.40391	0.452628	0.230065	0.306329	0.45708	0.861844	1.15891	0.515486	-0.250562	0.385291	0.1667	1.96046	1.41766	0.903439	0.10915	0.899699	nan	nan	nan	0.999668	31.5521	75814.5	0.999954	29.3411	503497	0	0	1
8	rs1	1:1	2:0.4705	rs2	1:2	2:0.256	0	1000	0	0.75952	0.0925555	0.302358	2.61339e-42	7.19788	0.528045	0.754839	0.091783	0.293927	0.848505	-0.353149	1.84869	0.652675	0.141909	0.31532	0.999977	-28.1373	981393	0.346737	-0.342349	0.363839	0.999986	-28.1373	1.55172e+06	0.696837	-0.442014	1.13455	nan	nan	nan	0.999951	60.7481	984246	0.999963	88.5431	1.9075e+06	0	0	1
9	rs1	1:1	2:0.46125	rs2	1:2	2:0.2505	0	1000	0	0.891556	-0.0423024	0.310282	2.27699e-25	7.94785	0.763621	0.756772	0.0936031	0.302216	0.999937	28.6294	364722	0.871637	0.0506437	0.313429	0.288879	1.30341	1.22895	0.989847	0.00412372	0.324072	0.999988	32.1994	2.19469e+06	0.999969	-28.2611	731487	nan	nan	nan	0.999675	30.8919	75950.5	1	-1.30341	2.23354e+06	1	0	1
10	rs1	1:1	2:0.45825	rs2	1:2	2:0.25475	0	1000	0	0.117215	-0.5941	0.379237	0.999555	49.9334	89550.5	0.692985	-0.11473	0.290596	0.999721	-22.1324	63381.4	0.230006	-0.459366	0.382695	0.999971	60.4058	1.64587e+06	0.897753	-0.0376778	0.293213	0.999985	-28.2758	1.55172e+06	0.999964	-27.7787	608634	1	0.459366	2.68766e+06	0.999986	-28.2381	1.64759e+06	nan	nan	nan	1	0	1
11	rs1	1:1	2:0.45475	rs2	1:2	2:0.24825	0	1000	0	0.133237	-0.570309	0.379837	1.04103e-35	7.01818	0.562646	0.281213	0.289023	0.26821	0.778262	-0.514442	1.82695	0.0767067	-0.767255	0.433447	0.665273	0.485508	1.12219	0.706513	-0.117125	0.311054	0.999985	-28.3311	1.55172e+06	0.183553	1.25211	0.941508	nan	nan	nan	0.999666	31.7063	75814.5	0.999971	59.9203	1.64587e+06	0	0	1
12	rs1	1:1	2:0.47325	rs2	1:2	2:0.25425	0	1000	0	0.52685	0.181346	0.286566	8.73338e-38	7.47355	0.581653	0.887017	0.0442683	0.311575	0.0318671	2.14981	1.00174	0.29484	0.304511	0.290685	0.99998	-28.086	1.09723e+06	0.57017	-0.207675	0.365752	0.0353335	2.11689	1.00588	0.99996	-28.1828	566608	nan	nan	nan	0.999956	60.6135	1.09977e+06	0.999962	58.2889	1.23492e+06	0	0	1
13	rs1	1:1	2:0.456	rs2	1:2	2:0.24875	0	1000	0	0.145341	-0.552945	0.379721	2.47549e-16	8.51409	1.03875	0.586358	0.160269	0.294546	0.999936	29.2682	366995	0.248032	-0.441778	0.382444	0.99999	-28.2582	2.19446e+06	0.643537	0.141094	0.304898	0.999983	32.1476	1.55188e+06	0.999969	-27.9575	731487	nan	nan	nan	0.999978	60.2647	2.19578e+06	0.999992	28.2582	2.72483e+06	1	0	1
14	rs1	1:1	2:0.4555	rs2	1:2	2:0.24425	0	1000	0	0.0372268	0.556387	0.267074	7.80306e-30	7.258	0.639722	0.0894546	0.472964	0.278495	0.829062	-0.396997	1.83876	0.155777	0.414725	0.29218	0.437334	0.900233	1.15904	0.875387	0.0529354	0.337557	0.999986	-28.2041	1.55172e+06	0.148131	1.12572	0.778416	nan	nan	nan	0.999672	31.2486	75950.5	0.999971	59.5056	1.62747e+06	0	0	1
15	rs1	1:1	2:0.46375	rs2	1:2	2:0.2475	0	1000	0	0.68377	-0.121994	0.299502	7.20976e-35	7.07238	0.574131	0.271128	0.319104	0.289971	0.665511	-0.625436	1.44671	0.43747	-0.248762	0.320374	0.999979	-28.2731	1.09723e+06	0.617735	-0.174363	0.349381	0.999985	-28.2731	1.55172e+06	0.133101	1.43661	0.95647	1	0.248762	2.19446e+06	0.999956	60.5802	1.09985e+06	0.999964	88.6789	1.95478e+06	0	0	1
16	rs1	1:1	2:0.45575	rs2	1:2	2:0.24725	0	1000	0	0.3487	-0.289088	0.308487	1.79729e-30	7.17081	0.625001	0.156268	0.35861	0.252945	0.999969	24.9299	633554	0.581966	-0.183998	0.334228	7.65641e-28	7.16428	0.65504	0.121008	0.415448	0.267935	0.713575	1.26222e+14	3.43873e+14	0.495518	-0.581733	0.853532	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
17	rs1	1:1	2:0.469	rs2	1:2	2:0.25025	0	1000	0	0.184353	0.384466	0.289623	0.999546	50.5074	88791.7	0.554945	0.199833	0.33849	0.999721	-22.0018	62894.1	0.138148	0.445387	0.300385	0.999546	50.5072	88788.4	0.42131	0.286322	0.356056	0.999721	-21.9938	62894.1	0.527009	-0.725689	1.14719	-nan	0	0	nan	nan	nan	nan	nan	nan	1	0	1
18	rs1	1:1	2:0.454	rs2	1:2	2:0.25025	0	1000	0	0.994458	-0.0021633	0.311471	5.68371e-27	8.46017	0.786711	0.148672	-0.496776	0.343971	0.645696	-1.05896	2.30333	0.858634	0.0559648	0.314208	0.999985	-28.3299	1.55172e+06	0.0857657	-0.652687	0.379873	0.999985	-28.3299	1.55172e+06	0.99997	-27.7331	731487	nan	nan	nan	0.999969	61.0585	1.55359e+06	0.999968	88.7356	2.23793e+06	0	0	1
19	rs1	1:1	2:0.4655	rs2	1:2	2:0.258	0	1000	0	0.0240196	-1.05594	0.46789	9.71443e-33	7.79699	0.654304	0.745365	-0.101092	0.311286	0.481969	-1.10032	1.56486	0.0458449	-0.939373	0.470435	0.999982	-28.2519	1.26697e+06	0.32477	-0.341536	0.346841	0.999977	-28.2519	981393	0.999962	-26.971	566608	nan	nan	nan	0.999962	60.7473	1.26921e+06	0.999957	88.6577	1.66163e+06	0	0	1
20	rs1	1:1	2:0.461	rs2	1:2	2:0.25	0	1000	0	0.720028	0.112071	0.31268	0.999555	49.6715	89144	0.187025	0.371992	0.281933	0.999726	-21.7078	63105.7	0.426939	0.251462	0.316527	0.999988	32.3082	2.19469e+06	0.0901923	0.484219	0.285779	0.999986	-28.0975	1.55172e+06	0.99997	-28.8332	775859	nan	nan	nan	1	-0.484219	2.19598e+06	0.999992	28.0975	2.74328e+06	1	0	1
21	rs1	1:1	2:0.459	rs2	1:2	2:0.2455	0	1000	0	0.134137	-0.501289	0.334642	1.69505e-38	6.19035	0.477097	0.00929236	0.686792	0.264038	0.100483	2.27105	1.38267	0.197068	-0.466876	0.361934	0.999975	-28.3131	895885	0.544387	0.192045	0.316806	0.999988	32.0927	2.19469e+06	0.743225	0.292805	0.893827	0.999985	-59.9389	3.1036e+06	0.999947	60.2137	899138	0.999991	28.3131	2.40784e+06	0	0	1
22	rs1	1:1	2:0.457	rs2	1:2	2:0.2505	0	1000	0	0.286126	-0.385871	0.361757	1.20607e-25	8.18174	0.781562	0.687473	-0.129364	0.321573	0.446824	-1.35502	1.78124	0.174777	-0.5506	0.405744	0.999985	-28.305	1.55172e+06	0.200937	-0.488527	0.381994	0.999979	-28.305	1.09723e+06	0.191972	1.23232	0.944474	1	0.5506	2.45348e+06	0.999969	60.8943	1.55357e+06	0.999964	88.7107	1.95478e+06	0	0	1
23	rs1	1:1	2:0.461	rs2	1:2	2:0.24875	0	1000	0	0.800315	-0.0758763	0.299979	1.19721e-43	6.70634	0.48406	0.381919	0.23929	0.273673	0.597752	-0.786171	1.48999	0.4153	-0.27144	0.333218	0.999975	-28.3184	895885	0.182637	-0.482582	0.362115	0.999979	-28.3184	1.09723e+06	0.0612634	1.53995	0.822804	nan	nan	nan	0.999946	60.8884	899065	0.999954	88.7241	1.54177e+06	0	0	1
24	rs1	1:1	2:0.45	rs2	1:2	2:0.24525	0	1000	0	0.147717	-0.522187	0.360715	3.32229e-28	6.97376	0.633252	0.0136639	0.62583	0.253786	0.648958	-0.661096	1.45229	0.0946192	-0.675373	0.404047	0.999982	-28.3468	1.26697e+06	0.18937	0.364399	0.277649	0.999982	-28.3468	1.26697e+06	0.259541	1.06842	0.947616	1	0.675373	2.53395e+06	0.999962	60.0414	1.26928e+06	0.999962	88.7526	1.85186e+06	0	0	1
25	rs1	1:1	2:0.458	rs2	1:2	2:0.24875	0	1000	0	0.293326	-0.381736	0.363263	6.7061e-30	7.17406	0.631586	0.0732822	0.485576	0.271109	0.999946	28.9562	425841	0.487068	-0.267479	0.384874	0.999982	-28.206	1.26697e+06	0.298407	0.310486	0.298585	0.999988	32.1998	2.19469e+06	0.547658	-0.685179	1.13955	nan	nan	nan	0.999962	60.0953	1.26922e+06	0.999991	28.206	2.58368e+06	1	0	1
