Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.457	rs2	1:2	2:0.2485	0	1000	1	5.22584e-54	2.72612	0.176178	3.7529e-52	2.66671	0.175487	0.844406	-0.0687516	0.350307	0.67239	0.132988	0.314489	2.74828e-29	6.91858	0.615812	0	0	1.23457e-51
2	rs1	1:1	2:0.45375	rs2	1:2	2:0.2495	0	1000	1	1.10608e-55	2.81979	0.179378	1.42025e-44	2.48877	0.177686	0.468895	0.237652	0.328123	0.666818	0.135373	0.314442	6.91164e-29	6.08489	0.545576	0	0	5.43528e-44
3	rs1	1:1	2:0.46125	rs2	1:2	2:0.25125	0	1000	1	9.69889e-50	2.53266	0.170806	3.7831e-63	2.86749	0.170949	0.846196	-0.0650961	0.335591	0.0334599	0.584396	0.274813	5.77517e-30	6.0008	0.527689	0	0	4.09056e-46
4	rs1	1:1	2:0.45875	rs2	1:2	2:0.2475	0	1000	1	3.45618e-51	2.56379	0.170353	4.00837e-56	2.69841	0.170958	0.372398	-0.309434	0.346903	0.353614	-0.337408	0.363742	4.21502e-31	7.72909	0.666412	0	0	1.10717e-61
5	rs1	1:1	2:0.45775	rs2	1:2	2:0.249	0	1000	1	4.49295e-55	2.66522	0.170511	4.6688e-51	2.55921	0.170273	0.951127	-0.0198427	0.323742	0.648821	-0.152316	0.334467	2.73325e-32	6.68263	0.564891	0	0	1.82751e-53
6	rs1	1:1	2:0.45425	rs2	1:2	2:0.2485	0	1000	1	1.05029e-59	2.76923	0.169931	3.43587e-46	2.41043	0.168933	0.630574	0.146807	0.305263	0.449221	-0.251984	0.332998	3.22281e-32	6.69131	0.566287	0	0	5.15299e-54
7	rs1	1:1	2:0.4575	rs2	1:2	2:0.244	0	1000	1	7.92757e-48	2.55222	0.175663	6.02401e-50	2.62849	0.176888	0.379168	0.261787	0.297678	0.689647	-0.146385	0.366572	4.94825e-29	6.03587	0.539744	0	0	2.03598e-44
8	rs1	1:1	2:0.4705	rs2	1:2	2:0.256	0	1000	1	8.35641e-63	2.78394	0.166435	1.55286e-53	2.56389	0.16645	0.781365	0.0872507	0.31437	0.3192	-0.362152	0.363569	6.19796e-33	6.41009	0.536236	0	0	4.802e-53
9	rs1	1:1	2:0.46125	rs2	1:2	2:0.2505	0	1000	1	3.6347e-54	2.61151	0.168517	2.09401e-57	2.69621	0.168838	0.734845	0.103012	0.304149	0.788681	0.0841664	0.314026	5.47108e-32	6.37257	0.541353	0	0	3.29529e-51
10	rs1	1:1	2:0.45825	rs2	1:2	2:0.25475	0	1000	1	1.09022e-60	2.70143	0.16438	5.60805e-49	2.40608	0.163574	0.230006	-0.459366	0.382695	0.84786	-0.0561969	0.292921	1.25916e-33	6.56286	0.543033	0	0	6.88942e-56
11	rs1	1:1	2:0.45475	rs2	1:2	2:0.24825	0	1000	1	1.61034e-53	2.58357	0.167753	8.36519e-51	2.50096	0.166827	0.102851	-0.659625	0.404383	0.657028	-0.137959	0.310705	3.99747e-33	7.22443	0.602526	0	0	4.07717e-60
12	rs1	1:1	2:0.47325	rs2	1:2	2:0.25425	0	1000	1	6.13728e-59	2.69319	0.16637	3.32797e-61	2.74418	0.166254	0.361716	0.264505	0.289996	0.932512	-0.0285101	0.336662	3.08825e-32	5.95049	0.503439	0	0	1.44722e-48
13	rs1	1:1	2:0.456	rs2	1:2	2:0.24875	0	1000	1	2.89126e-48	2.49976	0.17124	8.50823e-57	2.71615	0.171025	0.235798	-0.453207	0.382274	0.343457	0.274626	0.289887	4.92579e-31	6.68181	0.576778	0	0	1.70487e-52
14	rs1	1:1	2:0.4555	rs2	1:2	2:0.24425	0	1000	1	3.94826e-54	2.72128	0.175661	3.32171e-51	2.65471	0.176363	0.124651	0.43761	0.284987	0.935465	0.027293	0.33707	7.19979e-28	6.49795	0.593814	0	0	1.96655e-47
15	rs1	1:1	2:0.46375	rs2	1:2	2:0.2475	0	1000	1	2.52159e-46	2.37264	0.166034	3.93575e-65	2.85426	0.167473	0.371543	-0.285803	0.319838	0.569552	-0.198461	0.348966	1.42211e-33	7.22738	0.598514	0	0	1.21373e-60
16	rs1	1:1	2:0.45575	rs2	1:2	2:0.24725	0	1000	1	1.08033e-48	2.40394	0.163924	6.49057e-54	2.53155	0.163752	0.461105	-0.245806	0.333509	0.476491	0.200441	0.281536	3.38343e-32	5.72425	0.484612	0	0	1.43915e-47
17	rs1	1:1	2:0.469	rs2	1:2	2:0.25025	0	1000	1	5.81923e-51	2.70662	0.180256	2.15038e-60	2.97323	0.181373	0.138148	0.445387	0.300385	0.49361	0.24315	0.355182	2.14675e-27	6.10081	0.562636	0	0	2.62001e-42
18	rs1	1:1	2:0.454	rs2	1:2	2:0.25025	0	1000	1	7.39412e-62	2.80388	0.168945	2.95188e-42	2.28478	0.167724	0.920597	0.0312722	0.313723	0.0764771	-0.672489	0.379615	2.63319e-33	7.06814	0.587798	0	0	1.46205e-58
19	rs1	1:1	2:0.4655	rs2	1:2	2:0.258	0	1000	1	8.44704e-57	2.63064	0.165637	4.36595e-52	2.51261	0.165454	0.0386217	-0.972162	0.470053	0.25888	-0.390807	0.34614	1.44844e-31	7.37785	0.631172	0	0	1.25762e-61
20	rs1	1:1	2:0.461	rs2	1:2	2:0.25	0	1000	1	2.77374e-58	2.7857	0.173081	1.49873e-56	2.73574	0.172645	0.290061	0.32557	0.307725	0.105974	0.461229	0.285316	8.57969e-29	6.00646	0.539474	0	0	7.58188e-45
21	rs1	1:1	2:0.459	rs2	1:2	2:0.2455	0	1000	1	1.35871e-35	2.13109	0.17114	2.76738e-63	2.91053	0.173323	0.143561	-0.52812	0.361069	0.387533	0.266153	0.308012	2.0424e-31	6.26262	0.537106	0	0	2.83302e-49
22	rs1	1:1	2:0.457	rs2	1:2	2:0.2505	0	1000	1	2.12626e-52	2.62411	0.172261	1.35622e-46	2.46027	0.171648	0.156071	-0.574991	0.405377	0.161817	-0.533479	0.381332	8.06757e-32	7.28192	0.620332	0	0	6.69238e-58
23	rs1	1:1	2:0.461	rs2	1:2	2:0.24875	0	1000	1	9.9824e-56	2.56305	0.162978	5.15203e-55	2.54764	0.16308	0.316721	-0.332684	0.332279	0.147697	-0.523404	0.361539	1.38631e-35	7.30034	0.58634	0	0	3.49058e-64
24	rs1	1:1	2:0.45	rs2	1:2	2:0.24525	0	1000	1	1.18189e-43	2.35657	0.170085	3.23649e-58	2.73774	0.170202	0.0790026	-0.708896	0.403584	0.23668	0.327585	0.276834	1.43997e-30	7.03315	0.611981	0	0	8.29687e-56
25	rs1	1:1	2:0.458	rs2	1:2	2:0.24875	0	1000	1	7.2773e-48	2.54252	0.174925	2.85673e-53	2.67964	0.174411	0.426266	-0.305701	0.38424	0.198295	0.375024	0.291524	8.21893e-29	6.05008	0.543206	0	0	7.17685e-45
26	rs1	1:1	2:0.46075	rs2	1:2	2:0.2475	0	1000	1	6.28283e-59	2.71825	0.167933	3.09428e-51	2.53178	0.168144	0.415893	0.235314	0.289237	0.209321	-0.479573	0.381997	4.26105e-32	6.67683	0.566188	0	0	3.24347e-54
27	rs1	1:1	2:0.45875	rs2	1:2	2:0.24475	0	1000	1	5.46684e-44	2.47308	0.177785	2.26649e-56	2.8229	0.178439	0.354514	-0.354931	0.383349	0.416925	0.257329	0.316999	1.92236e-29	6.55535	0.581848	0	0	3.62457e-48
28	rs1	1:1	2:0.455	rs2	1:2	2:0.24825	0	1000	1	4.62463e-45	2.40755	0.170917	9.56222e-57	2.71279	0.170893	0.350178	-0.339723	0.363634	0.127016	0.424883	0.278434	2.9743e-30	6.02878	0.52747	0	0	9.40956e-47
29	rs1	1:1	2:0.467	rs2	1:2	2:0.2535	0	1000	1	1.45456e-55	2.74831	0.175024	9.23288e-59	2.82691	0.174902	0.981761	-0.00802631	0.351092	0.285819	0.328446	0.307724	7.43872e-30	6.40601	0.56442	0	0	6.31559e-48
