Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.457	rs2	1:2	2:0.2485	0	1000	0	7.7409e-18	8.81939	1.02511	0.64627	-1.19228	2.59784	3.47373e-18	8.73644	1.00479	0.999986	-28.2034	1.55172e+06	0.999975	51.6693	1.62073e+06	0	0	1
2	rs1	1:1	2:0.45375	rs2	1:2	2:0.2495	0	1000	0	0.999657	32.1757	74780.4	0.979502	0.0275668	1.0729	0.999661	32.1764	75724.2	0.979502	0.0275668	1.0729	1	-0.0275668	484871	1	0	1
3	rs1	1:1	2:0.46125	rs2	1:2	2:0.25125	0	1000	0	4.53237e-29	8.07467	0.721557	0.881501	-0.372235	2.4971	2.33769e-29	8.02997	0.713827	0.99999	-28.2108	2.19446e+06	0.999981	52.3758	2.23627e+06	0	0	1
4	rs1	1:1	2:0.45875	rs2	1:2	2:0.2475	0	1000	0	1.19022e-17	8.81428	1.03044	0.54789	-1.39671	2.32427	4.40248e-18	8.7087	1.00471	0.999982	-28.2264	1.26697e+06	0.999969	51.6971	1.34709e+06	0	0	1
5	rs1	1:1	2:0.45775	rs2	1:2	2:0.249	0	1000	0	2.18325e-29	8.03357	0.713765	0.834207	0.219697	1.04963	2.86526e-29	8.01629	0.713751	0.867593	0.18071	1.08394	0.999963	23.9784	517294	0	0	1
6	rs1	1:1	2:0.45425	rs2	1:2	2:0.2485	0	1000	0	1.23349e-45	7.3211	0.516329	0.47509	-1.05756	1.48072	4.08008e-46	7.25625	0.508975	0.999977	-28.2878	981393	0.999962	53.1495	1.10302e+06	0	0	1
7	rs1	1:1	2:0.4575	rs2	1:2	2:0.244	0	1000	0	1.79479e-38	7.59181	0.585307	0.159753	1.97387	1.40399	1.94662e-38	7.58859	0.585339	0.167711	1.95499	1.41707	0.999964	22.6143	503497	0	0	1
8	rs1	1:1	2:0.4705	rs2	1:2	2:0.256	0	1000	0	8.26372e-56	7.26726	0.461756	0.826512	-0.409865	1.87001	4.51654e-56	7.23488	0.458586	0.999986	-28.1143	1.55172e+06	0.999974	53.1709	1.63567e+06	0	0	1
9	rs1	1:1	2:0.46125	rs2	1:2	2:0.2505	0	1000	0	2.14043e-29	8.03596	0.713867	0.999938	28.6531	370124	2.14043e-29	8.03596	0.713867	0.999988	32.2034	2.19469e+06	0.999997	-8.03596	2.23354e+06	1	0	1
10	rs1	1:1	2:0.45825	rs2	1:2	2:0.25475	0	1000	0	0.999554	50.0953	89554.7	0.99972	-22.2352	63387.3	0.99966	32.1804	75455.2	0.999982	-28.2254	1.26697e+06	0.999984	28.2254	1.38274e+06	1	0	1
