Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.464	rs2	1:2	2:0.24975	0	1000	1	7.80499e-75	2.40488	0.131391	2.10539e-08	1.20671	0.215364	0.558821	-0.216387	0.370149	0.0339363	-0.918925	0.433286	2.41461e-18	4.19518	0.480216	0	0	1.31256e-30
2	rs1	1:1	2:0.46425	rs2	1:2	2:0.24725	0	1000	1	1.1412e-73	2.31443	0.127472	1.87617e-20	1.77104	0.191068	0.0326134	0.564045	0.263966	0.00248701	0.726345	0.240121	3.23424e-14	2.93528	0.386802	0	0	4.24646e-20
3	rs1	1:1	2:0.46425	rs2	1:2	2:0.24325	0	1000	1	6.79164e-73	2.41831	0.133917	2.30598e-14	1.59502	0.208982	0.0233449	0.591204	0.260702	0.584918	0.173488	0.317618	2.15851e-12	3.63837	0.518004	0	0	7.17171e-24
4	rs1	1:1	2:0.46575	rs2	1:2	2:0.248	0	1000	1	1.06344e-79	2.42538	0.128302	5.42738e-11	1.33517	0.203572	0.154417	0.381435	0.267843	0.201195	-0.48078	0.376152	2.23087e-18	3.66922	0.419581	0	0	2.67505e-28
5	rs1	1:1	2:0.46925	rs2	1:2	2:0.24975	0	1000	1	6.042e-80	2.52006	0.133101	5.86962e-11	1.37785	0.210455	0.119626	0.443726	0.285108	0.243505	-0.456519	0.391435	1.01062e-16	3.73577	0.449902	0	0	4.59635e-26
6	rs1	1:1	2:0.463	rs2	1:2	2:0.24375	0	1000	1	4.30831e-67	2.20645	0.127503	9.672e-15	1.60376	0.20711	0.228611	-0.456716	0.37935	0.667482	-0.147081	0.342363	2.57889e-18	4.08315	0.467791	0	0	5.92835e-30
7	rs1	1:1	2:0.46325	rs2	1:2	2:0.2495	0	1000	1	2.13226e-77	2.56698	0.137847	4.8389e-09	1.27279	0.217474	0.305921	0.332107	0.32438	0.321252	-0.3699	0.372925	9.59534e-16	3.78166	0.470829	0	0	4.48029e-24
8	rs1	1:1	2:0.47125	rs2	1:2	2:0.2485	0	1000	1	4.38458e-73	2.39343	0.132362	5.29921e-15	1.63915	0.209621	0.873469	0.0537291	0.337381	0.948609	0.0218464	0.338948	9.03482e-17	3.74362	0.450126	0	0	2.42829e-25
9	rs1	1:1	2:0.4655	rs2	1:2	2:0.2425	0	1000	1	2.90434e-73	2.5173	0.139038	1.99323e-06	1.09418	0.230155	0.134301	0.431518	0.288187	0.00263666	-2.46769	0.820594	5.23451e-14	4.50904	0.599134	0	0	3.62559e-28
10	rs1	1:1	2:0.4625	rs2	1:2	2:0.244	0	1000	1	4.60939e-74	2.31706	0.127267	9.0386e-11	1.32624	0.204597	0.223581	-0.455002	0.373853	0.0626913	-0.803037	0.431422	1.15861e-19	4.58914	0.505806	0	0	4.6267e-36
