Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Het_Pval	Red_Var1_Het_beta	Red_Var1_Het_SE	Red_Var1_Hom_Pval	Red_Var1_Hom_beta	Red_Var1_Hom_SE	Red_Var2_Het_Pval	Red_Var2_Het_beta	Red_Var2_Het_SE	Red_Var2_Hom_Pval	Red_Var2_Hom_beta	Red_Var2_Hom_SE	Full_Var1_Het_Pval	Full_Var1_Het_beta	Full_Var1_Het_SE	Full_Var1_Hom_Pval	Full_Var1_Hom_beta	Full_Var1_Hom_SE	Full_Var2_Het_Pval	Full_Var2_Het_beta	Full_Var2_Het_SE	Full_Var2_Hom_Pval	Full_Var2_Hom_beta	Full_Var2_Hom_SE	Full_Var1_Het_Var2_Het_Pval	Full_Var1_Het_Var2_Het_beta	Full_Var1_Het_Var2_Het_SE	Full_Var1_Het_Var2_Hom_Pval	Full_Var1_Het_Var2_Hom_beta	Full_Var1_Het_Var2_Hom_SE	Full_Var1_Hom_Var2_Het_Pval	Full_Var1_Hom_Var2_Het_beta	Full_Var1_Hom_Var2_Het_SE	Full_Var1_Hom_Var2_Hom_Pval	Full_Var1_Hom_Var2_Hom_beta	Full_Var1_Hom_Var2_Hom_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.464	rs2	1:2	2:0.24975	0	1000	0	0.689722	-0.13961	0.349697	6.72577e-37	7.19108	0.566677	0.291994	0.296743	0.281605	0.99999	-28.1046	2.19446e+06	0.835291	-0.0806079	0.387685	7.39876e-36	7.16097	0.572845	0.2671	0.331371	0.298596	0.99999	-28.1003	2.19446e+06	0.745293	-0.288199	0.887168	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
2	rs1	1:1	2:0.46425	rs2	1:2	2:0.24725	0	1000	1	0.141553	0.407651	0.277307	5.54696e-23	7.33982	0.743556	0.0001547	0.946871	0.25027	0.0826544	1.5151	0.873009	0.0546337	0.551631	0.287042	2.26146e-22	7.24636	0.744797	4.14813e-05	1.06245	0.259192	0.0785643	1.53613	0.873259	0.192431	-1.46424	1.12338	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0.329413
3	rs1	1:1	2:0.46425	rs2	1:2	2:0.24325	0	1000	0	0.169388	0.410712	0.29888	2.44386e-24	7.75018	0.761339	0.0899062	0.509962	0.300704	0.999982	-28.028	1.26697e+06	0.116782	0.471958	0.300912	5.12461e-24	7.69645	0.761469	0.0589897	0.572025	0.302936	0.999982	-28.0201	1.26697e+06	0.999982	-29.0641	1.26697e+06	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
4	rs1	1:1	2:0.46575	rs2	1:2	2:0.248	0	1000	0	0.382845	0.258157	0.295826	4.95308e-32	7.51741	0.638154	0.324536	0.28367	0.287937	0.999982	-28.0781	1.26697e+06	0.437883	0.245597	0.316583	1.75355e-31	7.52768	0.644885	0.375525	0.271868	0.306789	0.999982	-28.0796	1.26697e+06	0.909078	0.101756	0.891021	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
5	rs1	1:1	2:0.46925	rs2	1:2	2:0.24975	0	1000	0	0.223241	0.362395	0.297544	2.59493e-17	8.82991	1.04329	0.629778	0.151021	0.313297	0.999982	-28.1373	1.26424e+06	0.408971	0.261623	0.316848	0.125368	2.17401	1.41849	0.849011	-0.0666993	0.350348	0.999986	-28.0289	1.55172e+06	0.265501	1.0628	0.954479	1	-0.261623	2.68766e+06	0.999673	30.2696	73899.2	nan	nan	nan	1	0	1
6	rs1	1:1	2:0.463	rs2	1:2	2:0.24375	0	1000	0	0.101618	-0.620941	0.379303	4.76651e-16	8.41964	1.03725	0.217964	0.356657	0.289503	0.99999	-28.1933	2.19446e+06	0.259833	-0.430894	0.38241	1.0254e-15	8.32515	1.03756	0.113898	0.463981	0.293489	0.99999	-28.1806	2.19446e+06	0.999963	-28.2137	608634	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
7	rs1	1:1	2:0.46325	rs2	1:2	2:0.2495	0	1000	0	0.305623	0.327799	0.319976	1.26271e-17	8.94278	1.0463	0.981964	-0.00728147	0.322092	0.16318	1.99169	1.42829	0.259888	0.372049	0.330224	0.99999	-28.0531	2.19446e+06	0.960535	-0.0166306	0.336089	0.99999	-28.0531	2.19446e+06	0.999973	-28.4085	829429	0.999985	60.0337	3.1036e+06	0.999978	60.4224	2.19571e+06	nan	nan	nan	0	0	1
8	rs1	1:1	2:0.47125	rs2	1:2	2:0.2485	0	1000	0	0.585056	-0.190481	0.348858	0.999651	32.2056	73732.2	0.590354	0.174922	0.324939	0.209675	1.54659	1.23287	0.860835	-0.0614202	0.35035	0.999652	32.1368	73732.2	0.435251	0.255938	0.328025	0.122645	2.18987	1.41853	0.999973	-28.2075	829429	0.999989	-30.1415	2.19446e+06	nan	nan	nan	nan	nan	nan	1	0	1
9	rs1	1:1	2:0.4655	rs2	1:2	2:0.2425	0	1000	0	0.199779	0.371549	0.289779	2.65067e-18	9.49012	1.08763	0.140308	-0.640637	0.434434	0.999986	-28.1271	1.55172e+06	0.101742	0.479657	0.293105	1.81836e-17	9.24492	1.08702	0.382936	-0.381966	0.437784	0.999986	-28.1138	1.55172e+06	0.999962	-28.2115	586495	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
10	rs1	1:1	2:0.4625	rs2	1:2	2:0.244	0	1000	0	0.197902	-0.489832	0.380437	4.0645e-31	7.60268	0.655337	0.832033	0.0686142	0.323507	0.999979	-28.2017	1.09723e+06	0.324156	-0.377766	0.383148	1.59221e-30	7.53048	0.655751	0.648864	0.148651	0.32646	0.999979	-28.1942	1.09723e+06	0.999969	-27.9651	731487	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
