Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Het_Pval	Red_Var1_Het_beta	Red_Var1_Het_SE	Red_Var1_Hom_Pval	Red_Var1_Hom_beta	Red_Var1_Hom_SE	Red_Var2_Het_Pval	Red_Var2_Het_beta	Red_Var2_Het_SE	Red_Var2_Hom_Pval	Red_Var2_Hom_beta	Red_Var2_Hom_SE	Full_Var1_Het_Pval	Full_Var1_Het_beta	Full_Var1_Het_SE	Full_Var1_Hom_Pval	Full_Var1_Hom_beta	Full_Var1_Hom_SE	Full_Var2_Het_Pval	Full_Var2_Het_beta	Full_Var2_Het_SE	Full_Var2_Hom_Pval	Full_Var2_Hom_beta	Full_Var2_Hom_SE	Full_Var1_Het_Var2_Het_Pval	Full_Var1_Het_Var2_Het_beta	Full_Var1_Het_Var2_Het_SE	Full_Var1_Het_Var2_Hom_Pval	Full_Var1_Het_Var2_Hom_beta	Full_Var1_Het_Var2_Hom_SE	Full_Var1_Hom_Var2_Het_Pval	Full_Var1_Hom_Var2_Het_beta	Full_Var1_Hom_Var2_Het_SE	Full_Var1_Hom_Var2_Hom_Pval	Full_Var1_Hom_Var2_Hom_beta	Full_Var1_Hom_Var2_Hom_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.2785	rs2	1:2	2:0.51925	0	1000	0	0.138743	1.22341	0.826356	0.583023	1.6128	2.93785	0.702753	0.411039	1.07713	2.55501e-25	9.63379	0.926581	0.999918	-25.4273	246901	0.999987	-25.4274	1.55172e+06	0.696998	0.418807	1.07558	0.999987	-25.4281	1.55459e+06	1	-0.418887	814198	0.999968	62.4999	1.57407e+06	nan	nan	nan	0.999969	85.8339	2.23274e+06	0	0	1
2	rs1	1:1	2:0.27975	rs2	1:2	2:0.522	0	1000	0	0.000209342	2.42727	0.654698	0.999943	27.1112	382047	0.999904	-25.3887	211638	6.57827e-36	8.36585	0.66873	0.886003	0.152918	1.06664	0.999959	60.4058	1.16184e+06	0.999911	-25.5841	230042	0.999981	-25.5841	1.09723e+06	1	-0.152918	860739	0.999956	60.2529	1.09952e+06	nan	nan	nan	nan	nan	nan	1	0	1
3	rs1	1:1	2:0.283	rs2	1:2	2:0.52175	0	1000	0	0.0466531	1.42004	0.713789	0.586562	1.53041	2.81416	0.999905	-25.678	215687	8.78841e-30	9.27722	0.818447	0.999908	-25.7155	223971	0.999987	-25.7155	1.55172e+06	0.999915	-25.7155	240873	0.999984	-25.7155	1.26697e+06	0.999968	25.7155	639658	0.999947	86.1213	1.28855e+06	nan	nan	nan	0.999967	86.1213	2.05079e+06	1	0	1
4	rs1	1:1	2:0.284	rs2	1:2	2:0.52775	0	1000	0	0.139419	1.83212	1.23963	0.000644435	4.67182	1.36916	0.235124	1.4756	1.24286	1.87807e-15	11.4961	1.44621	0.999923	-24.2114	250082	0.00114653	4.19971	1.29148	0.293502	1.29098	1.22896	0.999991	-24.2114	2.19446e+06	0.999999	-1.29098	930135	0.999969	84.6172	2.20981e+06	nan	nan	nan	0.99998	56.2061	2.21984e+06	0	0	1
5	rs1	1:1	2:0.281	rs2	1:2	2:0.5235	0	1000	0	0.0072276	2.07225	0.771451	0.432409	2.05156	2.6132	0.662006	0.480896	1.10009	2.01238e-25	9.63462	0.92464	0.518984	0.710496	1.10169	0.999991	-25.1104	2.19446e+06	0.631347	0.528174	1.10075	0.999987	-25.1104	1.55172e+06	0.999977	-26.349	895885	0.999969	59.6953	1.55335e+06	1	-0.528174	3.10344e+06	0.999975	85.5162	2.70997e+06	0	0	1
6	rs1	1:1	2:0.2865	rs2	1:2	2:0.52075	0	1000	0	0.00163797	2.37214	0.753284	0.279306	2.2188	2.05087	0.999908	-25.2035	218317	2.15205e-32	9.03293	0.762273	0.748752	0.347687	1.08556	0.999982	-25.3013	1.09723e+06	0.999917	-25.3013	242338	0.999984	-25.3013	1.26697e+06	1	-0.347687	770585	0.999962	60.0581	1.26897e+06	nan	nan	nan	0.99996	85.7071	1.71159e+06	1	0	1
7	rs1	1:1	2:0.27875	rs2	1:2	2:0.5205	0	1000	0	0.203678	1.03302	0.812667	0.594927	1.88322	3.54182	0.212678	1.01115	0.811362	2.43326e-25	9.7634	0.938627	0.999918	-25.4335	246898	0.999991	-25.4334	2.19446e+06	0.192432	1.0559	0.810101	0.999987	-25.4348	1.55309e+06	0.999999	-1.05583	736563	0.999968	62.5037	1.57259e+06	nan	nan	nan	0.999975	85.8406	2.7163e+06	0	0	1
8	rs1	1:1	2:0.27825	rs2	1:2	2:0.5215	0	1000	0	0.255007	0.912528	0.801678	0.875387	0.603134	3.84602	0.999904	-25.7157	213830	6.39405e-18	10.6171	1.23093	0.919015	0.107827	1.06051	0.999987	-25.7006	1.55172e+06	0.99991	-25.7006	227555	0.999991	-25.7006	2.19446e+06	1	-0.107827	699692	0.999978	60.298	2.1956e+06	nan	nan	nan	0.999975	86.1064	2.7219e+06	1	0	1
9	rs1	1:1	2:0.28125	rs2	1:2	2:0.521	0	1000	0	0.0468288	1.83121	0.921206	0.67685	1.4324	3.43694	0.999911	-24.8447	223715	3.28986e-18	10.6992	1.22966	0.440814	0.866221	1.12377	0.999984	-24.8823	1.26697e+06	0.999916	-24.8823	236635	0.999991	-24.8823	2.19446e+06	0.999999	-0.866221	926610	0.999978	59.5396	2.1956e+06	nan	nan	nan	0.999973	85.2881	2.56442e+06	1	0	1
10	rs1	1:1	2:0.27775	rs2	1:2	2:0.51775	0	1000	0	0.0234942	1.62132	0.715721	0.539162	1.71398	2.79112	0.710071	0.398516	1.07197	4.65092e-29	9.23938	0.825805	0.7401	0.356675	1.07523	0.999987	-25.4274	1.55172e+06	0.679265	0.444782	1.07574	0.999987	-25.4224	1.55167e+06	0.999977	-26.2288	895885	0.999981	36.7144	1.55167e+06	nan	nan	nan	0.999969	85.8282	2.23789e+06	0	0	1
