Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.543	rs2	1:2	2:0.55225	0	1000	0	2.37928e-14	4.57561	0.599822	2.66586e-15	3.62046	0.45796	0.762808	-0.438531	1.45308	0.999765	-48.8395	165960	0.99973	28.0462	82980	0	0	1
2	rs1	1:1	2:0.5485	rs2	1:2	2:0.552	0	1000	1	1.37426e-11	4.34902	0.64329	1.04686e-12	4.37285	0.613802	0.799811	-0.293137	1.15594	0.414853	-1.15563	1.41729	3.57551e-05	3.98496	0.964104	0	0	1.73181e-05
3	rs1	1:1	2:0.54975	rs2	1:2	2:0.541	0	1000	0	6.05469e-16	3.93751	0.486821	8.17463e-19	3.38933	0.382646	0.796324	0.240059	0.930074	0.999787	-50.9129	190726	0.999761	28.6001	95362.8	0	0	1
4	rs1	1:1	2:0.5445	rs2	1:2	2:0.544	0	1000	0	3.31892e-18	3.60495	0.414362	4.63532e-18	3.57921	0.413208	0.487099	-0.953617	1.37225	0.999796	-50.1301	195670	0.999765	28.8165	97834.8	0	0	1
5	rs1	1:1	2:0.546	rs2	1:2	2:0.55	0	1000	0	4.28335e-07	5.15403	1.01941	0.999403	28.3148	37849.7	0.999979	-5.52836	214186	0.999573	24.8259	46339.3	0.99996	5.34119	107093	1	0	1
6	rs1	1:1	2:0.549	rs2	1:2	2:0.55475	0	1000	0	4.64795e-11	5.38388	0.817995	4.35627e-14	4.04186	0.535353	0.940821	-0.112273	1.51233	0.999762	-48.6158	163144	0.999727	27.8948	81571.9	0	0	1
7	rs1	1:1	2:0.544	rs2	1:2	2:0.54525	0	1000	0	1.45796e-10	4.1732	0.651075	1.24826e-09	4.87349	0.802363	0.999796	-48.1707	188737	0.506688	-0.995813	1.49971	0.999763	28.0528	94368.5	0	0	1
8	rs1	1:1	2:0.548	rs2	1:2	2:0.5475	0	1000	0	3.25868e-15	4.40972	0.559568	2.22135e-16	3.82311	0.465694	0.724647	-0.504852	1.4332	0.999779	-49.197	177472	0.999746	28.2643	88735.8	0	0	1
9	rs1	1:1	2:0.54975	rs2	1:2	2:0.54475	0	1000	0	9.4859e-14	4.35429	0.584635	2.10748e-17	3.37578	0.397726	0.632253	0.463548	0.968633	0.999775	-49.5461	175949	0.999747	27.8775	87974.6	0	0	1
10	rs1	1:1	2:0.5475	rs2	1:2	2:0.5515	0	1000	0	8.50752e-21	3.79608	0.405861	3.19703e-18	3.37192	0.387388	0.943984	0.0651882	0.927772	0.999769	-51.4694	177806	0.999741	28.8944	88903.2	0	0	1
11	rs1	1:1	2:0.54825	rs2	1:2	2:0.54475	0	1000	0	7.86151e-06	4.71549	1.05517	5.40375e-09	6.16475	1.05665	0.999785	-37.7903	140307	0.999798	-37.1948	146974	0.999661	46.6256	109874	0	0	1
