Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.543	rs2	1:2	2:0.55225	0	1000	1	1.57525e-17	7.53125	0.856161	1.08655e-13	6.68926	0.865737	0.993911	0.492475	4.45588	0.820292	0.802578	1.27507	0.360052	16.0022	11.1955	0	0	1.6887e-07
2	rs1	1:1	2:0.5485	rs2	1:2	2:0.552	0	1000	1	6.38358e-12	7.45748	1.03862	4.86039e-15	7.75962	0.955756	0.0434022	3.23446	1.29126	0.988671	0.7546	4.99881	0.28844	12.5571	7.96329	0	0	4.69156e-05
3	rs1	1:1	2:0.54975	rs2	1:2	2:0.541	0	1000	1	9.85757e-14	5.86705	0.758091	2.27154e-18	6.40878	0.710981	6.70274e-09	4.49011	0.731852	8.30771e-09	4.56864	0.748935	3.06247e-13	3.6357	0.478926	0	0	0.000116816
4	rs1	1:1	2:0.5445	rs2	1:2	2:0.544	0	1000	0	4.54292e-17	5.97482	0.688716	4.35235e-17	5.96786	0.687523	0.987182	-2.50165	15.5738	0.75378	1.08082	1.43751	0.999999	293.688	168761	0	0	1
5	rs1	1:1	2:0.546	rs2	1:2	2:0.55	0	1000	0	1	30.8063	35480.9	1	53.0802	57290.8	1	1.63785e-09	91597.2	1	28.257	76334.7	1	32.1434	114830	1	0	1
6	rs1	1:1	2:0.549	rs2	1:2	2:0.55475	0	1000	1	1.11917e-14	8.66675	1.08126	8.99671e-13	7.7827	1.04493	0.924041	1.36344	3.43012	0.893134	0.662247	1.39293	0.202538	15.2088	8.51039	0	0	2.28031e-06
7	rs1	1:1	2:0.544	rs2	1:2	2:0.54525	0	1000	1	3.72961e-11	7.30206	1.0537	1.02245e-12	8.07969	1.08732	0.910414	0.749293	1.72945	0.861463	1.86004	3.40592	0.299503	14.9104	9.60209	0	0	1.99076e-05
8	rs1	1:1	2:0.548	rs2	1:2	2:0.5475	0	1000	1	2.91276e-17	7.45404	0.854196	5.08263e-15	6.94657	0.856194	0.999744	0.10998	4.85658	0.84014	0.811929	1.37561	0.515451	16.9927	14.76	0	0	9.88337e-08
9	rs1	1:1	2:0.54975	rs2	1:2	2:0.54475	0	1000	1	1.0089e-15	6.65634	0.800982	4.53441e-17	6.39022	0.736581	0.845348	1.43878	2.48208	0.811335	0.703647	1.08815	0.0629457	13.5802	5.77439	0	0	9.25848e-08
10	rs1	1:1	2:0.5475	rs2	1:2	2:0.5515	0	1000	0	7.3225e-22	6.20675	0.629124	1.82849e-16	5.45432	0.640684	0.996445	0.302218	3.58079	0.689867	0.957803	1.11154	1	79.2288	103325	0	0	1
