Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.54475	rs2	1:2	2:0.34075	0	1000	1	1.86454e-76	6.66317	0.3568	8.61094e-08	2.7314	0.478859	0.538604	1.17132	1.05292	0.937211	-0.254433	0.706504	1.18157e-09	11.1407	1.7375	0	0	3.44514e-21
2	rs1	1:1	2:0.534	rs2	1:2	2:0.338	0	1000	1	4.23119e-56	7.77422	0.486836	0.0485444	1.29646	0.527061	0.994759	-0.277954	2.71137	0.727001	-0.596229	0.746655	0.00145843	13.8642	3.83628	0	0	2.16324e-14
3	rs1	1:1	2:0.5385	rs2	1:2	2:0.337	0	1000	0	7.92867e-62	7.04694	0.420101	5.97427e-06	2.55561	0.521052	0.941236	-1.37912	3.96266	0.492345	0.76176	0.639896	0.999998	428.417	197890	0	0	1
4	rs1	1:1	2:0.53475	rs2	1:2	2:0.3405	0	1000	1	1.77677e-73	6.66791	0.364292	1.00086e-06	2.39728	0.456073	0.935409	-3.48102	9.52569	0.456406	0.66004	0.52698	0.437899	15.3105	11.9137	0	0	1.09631e-17
5	rs1	1:1	2:0.5395	rs2	1:2	2:0.3445	0	1000	1	2.58511e-53	7.98283	0.512971	0.0602827	1.3743	0.579846	0.00726034	2.64378	0.84235	0.662406	-0.843055	0.928876	5.34634e-08	11.3429	1.96009	0	0	1.22637e-13
6	rs1	1:1	2:0.54025	rs2	1:2	2:0.33825	0	1000	1	0	6.28945	0.321691	5.02903e-09	2.9057	0.470032	0.846683	-1.90967	3.31001	0.285137	-2.13512	1.34779	0.000670062	18.2093	4.76294	0	0	1.72703e-32
7	rs1	1:1	2:0.5355	rs2	1:2	2:0.33675	0	1000	1	6.74733e-54	7.68537	0.49114	0.0443671	1.1576	0.463763	0.99953	-0.0730258	2.38203	0.978416	-0.130583	0.625082	0.000341357	12.3624	3.09396	0	0	8.53946e-15
8	rs1	1:1	2:0.5365	rs2	1:2	2:0.342	0	1000	0	1.41181e-51	7.87142	0.51438	0.0191527	1.46637	0.52136	0.218838	1.87811	1.07738	0.990816	0.0943143	0.694292	0.999998	442.206	202663	0	0	1
9	rs1	1:1	2:0.53675	rs2	1:2	2:0.3265	0	1000	1	3.82093e-59	7.12992	0.434699	0.00179848	1.69128	0.475678	0.927571	-1.44882	3.73621	0.999342	0.0236152	0.650785	0.0113358	15.435	5.1566	0	0	3.39232e-18
10	rs1	1:1	2:0.53825	rs2	1:2	2:0.33175	0	1000	1	5.81443e-72	6.67715	0.368655	3.44386e-06	2.27876	0.45432	0.955927	-4.51042	15.0224	0.989287	-0.0932712	0.635475	0.616427	19.0542	19.3703	0	0	1.78997e-23
11	rs1	1:1	2:0.5405	rs2	1:2	2:0.348	0	1000	1	1.24434e-69	7.22258	0.405456	3.1294e-06	2.81435	0.558978	0.946464	-2.06574	6.22719	0.861034	0.357707	0.653906	0.315818	21.4434	14.1235	0	0	2.60801e-20
12	rs1	1:1	2:0.53775	rs2	1:2	2:0.35175	0	1000	1	6.6894e-67	7.0268	0.402522	1.83972e-06	2.85624	0.55577	0.963223	-0.911389	3.32923	0.432487	0.824318	0.636657	0.00750802	14.855	4.74923	0	0	3.12142e-17
13	rs1	1:1	2:0.533	rs2	1:2	2:0.33825	0	1000	1	1.30039e-45	8.51506	0.592256	0.85338	0.29355	0.521296	0.973542	-2.49351	10.7675	0.934879	-0.21966	0.598556	0.552107	14.3144	13.1329	0	0	1.86419e-06
14	rs1	1:1	2:0.54	rs2	1:2	2:0.34775	0	1000	1	2.38926e-76	6.78166	0.363404	1.60685e-07	2.67118	0.477547	0.967856	-5.92125	23.1639	0.552272	0.58837	0.539942	0.804282	18.2072	27.5863	0	0	4.66867e-19
