Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.27325	rs2	1:2	2:0.52625	0	1000	0	0.00416824	2.1887	0.763907	7.27702e-20	6.88369	0.754505	0.999738	-79.9022	243644	0.99987	-23.865	146537	0.999719	81.6505	231487	0	0	1
2	rs1	1:1	2:0.275	rs2	1:2	2:0.52175	0	1000	0	3.95855e-05	6.22106	1.51368	2.76598e-15	8.06445	1.02068	0.999751	-77.4031	248121	0.999926	-23.4134	251262	0.999775	80.5092	285819	0	0	1
3	rs1	1:1	2:0.27125	rs2	1:2	2:0.52175	0	1000	0	7.76652e-05	2.98186	0.754617	2.46097e-19	5.67442	0.631157	0.999761	-78.3426	261076	0.999916	-24.8389	237137	0.999764	81.7178	276566	0	0	1
4	rs1	1:1	2:0.27775	rs2	1:2	2:0.527	0	1000	0	2.61966e-07	6.79489	1.31967	2.15464e-15	7.9782	1.00581	0.999738	-76.8636	233863	0.999915	-23.4419	219526	0.999749	80.2392	254902	0	0	1
5	rs1	1:1	2:0.2715	rs2	1:2	2:0.52325	0	1000	1	3.8201e-09	2.74962	0.466685	6.38421e-36	4.59645	0.36735	0.00143601	-5.90664	1.85317	0.289329	0.797783	0.752913	4.97188e-08	7.97456	1.4626	0	0	2.81583e-15
6	rs1	1:1	2:0.27025	rs2	1:2	2:0.5195	0	1000	0	2.77479e-09	2.95527	0.497152	9.29959e-34	4.43042	0.365835	0.999757	-78.5422	258116	0.877249	0.160072	1.03635	0.99968	56.467	140966	0	0	1
7	rs1	1:1	2:0.2735	rs2	1:2	2:0.52525	0	1000	0	6.11934e-07	3.44841	0.691424	2.12965e-24	5.46937	0.536578	0.999749	-78.143	248351	0.99991	-24.8418	219137	0.999748	81.6013	258095	0	0	1
8	rs1	1:1	2:0.275	rs2	1:2	2:0.5225	0	1000	0	1.1116e-06	3.14262	0.645198	2.32056e-26	5.44904	0.51293	0.999731	-79.6558	236540	0.99986	-23.8356	136124	0.999707	81.3452	221699	0	0	1
9	rs1	1:1	2:0.276	rs2	1:2	2:0.522	0	1000	0	1.76095e-05	2.87068	0.668653	2.06832e-24	5.55086	0.544421	0.999733	-80.1796	239734	0.999856	-23.6745	131478	0.999703	81.4447	218778	0	0	1
10	rs1	1:1	2:0.2745	rs2	1:2	2:0.5245	0	1000	0	0.0101808	1.78086	0.693043	1.48951e-19	6.72155	0.74308	0.99973	-79.9989	236634	0.999866	-24.0957	143631	0.999713	81.778	227706	0	0	1
11	rs1	1:1	2:0.26975	rs2	1:2	2:0.52075	0	1000	0	7.99746e-09	2.95513	0.512287	2.64005e-31	4.84084	0.41595	0.999762	-78.3279	262569	0.684879	0.424579	1.04624	0.999686	56.2433	143038	0	0	1
12	rs1	1:1	2:0.2725	rs2	1:2	2:0.52325	0	1000	0	1.04504e-07	2.85528	0.536837	1.71519e-28	4.89058	0.441706	0.999755	-77.592	252737	0.78231	0.291126	1.05362	0.999677	55.9827	138238	0	0	1
13	rs1	1:1	2:0.27275	rs2	1:2	2:0.5225	0	1000	0	0.000137476	2.37831	0.623793	4.99721e-23	5.47805	0.554363	0.999752	-78.6202	252607	0.589505	0.569199	1.05494	0.999675	56.3199	138295	0	0	1
14	rs1	1:1	2:0.27475	rs2	1:2	2:0.52575	0	1000	0	2.24157e-09	4.46897	0.747413	6.45255e-26	5.64234	0.535962	0.999745	-77.5389	242508	0.99991	-24.5016	216648	0.999746	81.0982	254528	0	0	1
15	rs1	1:1	2:0.274	rs2	1:2	2:0.5235	0	1000	1	7.66547e-06	3.6212	0.80933	1.00816e-21	5.9339	0.619659	0.00888374	-5.44496	2.08101	0.462901	0.953344	1.2987	5.18821e-05	8.21951	2.03102	0	0	5.96647e-08
16	rs1	1:1	2:0.27425	rs2	1:2	2:0.524	0	1000	0	1.92393e-07	5.19514	0.997809	1.24538e-09	10.1467	1.67043	0.999753	-79.2421	255671	0.999866	-22.2802	132324	0.999718	80.2878	226964	0	0	1
17	rs1	1:1	2:0.272	rs2	1:2	2:0.527	0	1000	0	5.87611e-07	3.23377	0.64737	1.3644e-22	5.25176	0.536958	0.999755	-78.2773	254680	0.999904	-25.1034	209581	0.999741	81.8174	251667	0	0	1
18	rs1	1:1	2:0.27025	rs2	1:2	2:0.51875	0	1000	0	5.26329e-10	3.50342	0.564062	1.00051e-30	4.99452	0.433408	0.999764	-76.95	260606	0.401631	0.862624	1.02851	0.999689	55.3162	142083	0	0	1
19	rs1	1:1	2:0.27125	rs2	1:2	2:0.528	0	1000	0	6.3756e-06	3.56379	0.78958	2.71111e-21	5.88319	0.621028	0.999747	-79.8538	251883	0.999866	-23.8358	141664	0.999719	81.5992	231358	0	0	1
20	rs1	1:1	2:0.27425	rs2	1:2	2:0.521	0	1000	0	0.00936233	1.73956	0.669438	1.02229e-17	6.5332	0.762209	0.999738	-80.0223	243505	0.999853	-23.7107	129025	0.999708	81.4	222096	0	0	1
21	rs1	1:1	2:0.271	rs2	1:2	2:0.52025	0	1000	0	0.00292178	1.93001	0.648558	3.92427e-22	5.9371	0.613777	0.99975	-80.5564	256886	0.99988	-24.3105	161714	0.999736	82.1905	248736	0	0	1
22	rs1	1:1	2:0.27175	rs2	1:2	2:0.52	0	1000	0	4.07584e-08	2.75181	0.501466	6.202e-34	4.70551	0.387488	0.999751	-79.1344	253145	0.753384	0.320852	1.02123	0.999674	56.6667	138650	0	0	1
23	rs1	1:1	2:0.27275	rs2	1:2	2:0.5175	0	1000	0	0.000114411	2.67991	0.694673	8.80239e-19	5.54578	0.626687	0.999752	-76.7033	247049	0.0505598	1.70958	0.87438	0.999681	54.3414	135729	0	0	1
24	rs1	1:1	2:0.2765	rs2	1:2	2:0.5185	0	1000	0	0.000108584	2.58697	0.668369	2.47755e-20	5.77293	0.624812	0.999735	-76.7768	230982	0.386193	0.974315	1.12437	0.999657	55.0956	128212	0	0	1
25	rs1	1:1	2:0.27975	rs2	1:2	2:0.527	0	1000	0	3.46426e-09	4.7468	0.803461	7.87018e-28	5.82003	0.532256	0.755934	0.447445	1.43955	0.999912	-23.504	213875	0.99989	29.5462	213875	0	0	1
26	rs1	1:1	2:0.27725	rs2	1:2	2:0.5245	0	1000	0	3.89411e-12	2.81688	0.405834	1.87027e-45	4.60434	0.325397	0.00306899	-5.53623	1.86988	0.999904	-25.5322	213170	0.999873	34.0473	213170	0	0	1
