Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.527	rs2	1:2	2:0.2855	0	1000	0	0.999025	53.0598	43398.6	0.999198	52.9089	52611.2	0.999994	0.954759	127914	0.999837	-53.4376	261789	0.999761	55.858	186594	1	0	1
2	rs1	1:1	2:0.522	rs2	1:2	2:0.2845	0	1000	0	0.998587	97.7576	55198.4	0.999035	49.3098	40759.3	0.99999	1.54045	127630	0.999822	-54.3088	244133	0.999777	55.72	199677	1	0	1
3	rs1	1:1	2:0.5245	rs2	1:2	2:0.2855	0	1000	0	0.999292	30.2409	34098.6	0.999545	29.5749	51844.4	0.999994	1.13831	143654	0.99991	-29.1461	257528	0.999866	31.6609	188819	1	0	1
4	rs1	1:1	2:0.5265	rs2	1:2	2:0.2835	0	1000	0	0.999338	53.8684	64912.1	0.99997	2.89792	76323.6	0.999994	1.11599	155923	0.999841	-52.6319	263782	0.999787	55.3199	207266	1	0	1
5	rs1	1:1	2:0.52175	rs2	1:2	2:0.29025	0	1000	0	0.999189	31.072	30578.7	0.999439	30.4486	43281.1	0.999992	1.26316	131243	0.999904	-29.3468	244094	0.999854	31.9816	174832	1	0	1
6	rs1	1:1	2:0.52125	rs2	1:2	2:0.28675	0	1000	0	0.998976	52.2658	40742.4	0.999251	51.138	54467.1	0.999994	1.18243	153107	0.999833	-51.7374	246758	0.999781	54.794	199776	1	0	1
7	rs1	1:1	2:0.52575	rs2	1:2	2:0.28925	0	1000	0	0.999003	52.5645	42081.4	0.999155	52.1306	49206.9	0.999993	1.13117	128692	0.999836	-51.3955	250113	0.999761	54.656	182678	1	0	1
8	rs1	1:1	2:0.52825	rs2	1:2	2:0.28375	0	1000	0	0.999063	52.8832	45020	0.999298	52.2686	59445.3	0.999993	1.10587	134156	0.999847	-53.9007	280911	0.999774	55.9519	197576	1	0	1
9	rs1	1:1	2:0.52175	rs2	1:2	2:0.2875	0	1000	0	0.999009	52.579	42316.8	0.999162	52.6124	50092	0.999994	1.03848	129195	0.999835	-51.8281	250143	0.999761	54.9604	183382	1	0	1
10	rs1	1:1	2:0.524	rs2	1:2	2:0.28725	0	1000	0	0.998982	52.462	41114.4	0.99933	51.4551	61244.7	0.999993	1.26809	144063	0.999837	-52.7203	257607	0.999776	55.1993	196350	1	0	1
11	rs1	1:1	2:0.52175	rs2	1:2	2:0.2805	0	1000	0	0.999013	52.0806	42120.3	0.999179	51.513	50089.8	0.999994	1.0883	147601	0.999851	-51.4861	274860	0.999787	54.7698	205117	1	0	1
12	rs1	1:1	2:0.52475	rs2	1:2	2:0.28725	0	1000	0	0.999684	102.691	258986	0.998469	49.47	25776	0.999991	1.29031	115119	0.999807	-54.2888	224328	0.999757	55.9334	183473	1	0	1
13	rs1	1:1	2:0.529	rs2	1:2	2:0.2905	0	1000	0	0.999035	52.7214	43610	0.999273	51.8031	56862.7	0.999993	1.1516	137024	0.99983	-52.9199	248152	0.999765	55.4052	187835	1	0	1
14	rs1	1:1	2:0.52225	rs2	1:2	2:0.28025	0	1000	0	0.999186	30.6665	30040.4	0.999487	29.4928	45887	0.999993	1.23364	147900	0.999917	-29.4423	283812	0.999873	32.0661	201174	1	0	1
15	rs1	1:1	2:0.52225	rs2	1:2	2:0.28825	0	1000	0	0.999016	52.4018	42498.8	0.999216	51.6309	52553.4	0.999992	1.28288	135953	0.999838	-52.2017	256592	0.99977	54.9141	190173	1	0	1
16	rs1	1:1	2:0.5285	rs2	1:2	2:0.2885	0	1000	0	0.999039	52.558	43615.1	0.999253	51.7354	55292.8	0.999993	1.16265	136145	0.999836	-52.6817	256370	0.999768	55.2783	190045	1	0	1
17	rs1	1:1	2:0.52675	rs2	1:2	2:0.2825	0	1000	0	0.999537	60.1097	103566	0.998908	29.1891	21320	0.999992	1.20534	119065	0.999893	-31.4833	233833	0.999856	33.0955	183388	1	0	1
18	rs1	1:1	2:0.52575	rs2	1:2	2:0.28625	0	1000	0	0.999036	52.4111	43364.6	0.999217	52.0485	53037.7	0.999993	1.19958	129725	0.999845	-52.4536	270677	0.999769	55.1245	190749	1	0	1
19	rs1	1:1	2:0.52425	rs2	1:2	2:0.28625	0	1000	0	0.999005	51.9067	41606	0.99915	51.3532	48178.4	0.999994	1.11645	141845	0.999843	-49.6348	252438	0.999778	53.8036	193047	1	0	1
20	rs1	1:1	2:0.52675	rs2	1:2	2:0.28525	0	1000	0	0.999004	52.3626	41968.3	0.999126	52.2175	47655.9	0.999993	1.07707	125775	0.999849	-50.7213	267829	0.999768	54.3781	187090	1	0	1
