Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Het_Pval	Red_Var1_Het_beta	Red_Var1_Het_SE	Red_Var1_Hom_Pval	Red_Var1_Hom_beta	Red_Var1_Hom_SE	Red_Var2_Het_Pval	Red_Var2_Het_beta	Red_Var2_Het_SE	Red_Var2_Hom_Pval	Red_Var2_Hom_beta	Red_Var2_Hom_SE	Full_Var1_Het_Pval	Full_Var1_Het_beta	Full_Var1_Het_SE	Full_Var1_Hom_Pval	Full_Var1_Hom_beta	Full_Var1_Hom_SE	Full_Var2_Het_Pval	Full_Var2_Het_beta	Full_Var2_Het_SE	Full_Var2_Hom_Pval	Full_Var2_Hom_beta	Full_Var2_Hom_SE	Full_Var1_Het_Var2_Het_Pval	Full_Var1_Het_Var2_Het_beta	Full_Var1_Het_Var2_Het_SE	Full_Var1_Het_Var2_Hom_Pval	Full_Var1_Het_Var2_Hom_beta	Full_Var1_Het_Var2_Hom_SE	Full_Var1_Hom_Var2_Het_Pval	Full_Var1_Hom_Var2_Het_beta	Full_Var1_Hom_Var2_Het_SE	Full_Var1_Hom_Var2_Hom_Pval	Full_Var1_Hom_Var2_Hom_beta	Full_Var1_Hom_Var2_Hom_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.527	rs2	1:2	2:0.2855	0	1000	0	0.999998	-0.392294	168518	0.999315	56.271	65549.4	0.999435	54.271	76692.2	0.999771	54.5587	190293	1	2.9971e-12	254223	1	-4.05009e-12	832979	1	8.18456e-13	255645	1	-3.61027e-11	1.55362e+06	1	-2.90523e-12	724836	nan	nan	nan	0.999945	60.4058	870833	0.999973	60.4058	1.79129e+06	1	0	1
2	rs1	1:1	2:0.522	rs2	1:2	2:0.2845	0	1000	0	0.999998	-0.362226	154041	0.99923	55.6666	57707.8	0.999481	52.356	80543.6	0.999708	52.2809	142671	1	-7.51028e-12	261306	1	-5.40723e-12	2.19577e+06	1	-2.34784e-12	273011	1	9.95157e-12	1.09984e+06	1	3.08942e-12	859671	1	1.85813e-11	2.46736e+06	0.999978	60.4058	2.21253e+06	0.999981	60.4058	2.4742e+06	1	0	1
3	rs1	1:1	2:0.5245	rs2	1:2	2:0.2855	0	1000	0	1	-0.0509246	163024	0.999456	33.2254	48774.4	0.999651	30.1442	68922.6	0.999872	54.1775	337965	0.999917	27.066	259284	0.999454	33.2156	48535.2	0.999664	30.2272	71842.5	0.999893	27.3177	203464	0.999969	-30.2007	766934	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
4	rs1	1:1	2:0.5265	rs2	1:2	2:0.2835	0	1000	0	1	1.33423e-11	225472	0.999799	60.4058	239967	1	-9.73444e-13	240263	1	-2.51177e-12	414607	1	2.46847e-12	234701	0.999809	60.4058	252478	1	7.4607e-14	254309	1	6.60461e-12	1.55363e+06	1	-3.75167e-12	846032	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
5	rs1	1:1	2:0.52175	rs2	1:2	2:0.29025	0	1000	0	0.999927	15.6039	171655	0.999307	49.5241	57017.8	0.999646	31.2764	70494.7	0.999502	50.6392	81185.3	1	-3.18784e-09	271436	1	-3.36324e-09	1.26928e+06	1	7.59309e-10	242427	1	-6.46445e-09	1.26928e+06	1	-6.1509e-08	853554	nan	nan	nan	0.999977	37.0541	1.28996e+06	0.999973	60.4058	1.81765e+06	1	0	1
6	rs1	1:1	2:0.52125	rs2	1:2	2:0.28675	0	1000	0	0.999997	0.553391	137104	0.999225	55.9163	57588.7	0.999494	52.4151	82628.4	0.999731	52.3366	155153	1	2.25786e-12	261560	1	-2.56506e-12	2.1958e+06	1	1.13298e-12	242471	1	-1.14323e-11	984381	1	-4.2589e-12	961220	nan	nan	nan	0.999978	60.4058	2.20895e+06	0.99998	60.4058	2.43004e+06	1	0	1
7	rs1	1:1	2:0.52575	rs2	1:2	2:0.28925	0	1000	0	0.999995	0.871768	146395	0.9993	56.3179	64226.6	0.999474	53.8665	81636.5	0.999736	54.0166	163293	1	-3.92547e-12	243874	1	-1.06404e-11	1.09995e+06	1	1.78624e-12	243874	1	1.41961e-12	1.09995e+06	1	1.26621e-12	1.03736e+06	nan	nan	nan	0.999957	60.4058	1.12627e+06	0.99997	60.4058	1.58209e+06	1	0	1
8	rs1	1:1	2:0.52825	rs2	1:2	2:0.28375	0	1000	0	0.999997	-0.529889	152974	0.999289	55.916	62775.4	0.999462	53.4497	79205.9	0.999863	54.5467	317671	0.999838	50.3043	247622	0.999307	56.0335	64524.2	0.999498	53.6754	85277.5	1	2140.1	7.26873e+19	0.999934	-53.6523	650818	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1
9	rs1	1:1	2:0.52175	rs2	1:2	2:0.2875	0	1000	0	0.999998	0.336395	174995	0.999308	56.3844	65000.5	0.999444	54.1493	77687.3	0.999776	54.4965	194171	1	-5.75401e-12	275034	1	-1.05125e-11	899145	1	-1.94844e-12	238918	1	3.43178e-11	1.5536e+06	1	2.07059e-11	964098	nan	nan	nan	0.999948	60.4058	929915	0.999974	60.4058	1.82236e+06	1	0	1
10	rs1	1:1	2:0.524	rs2	1:2	2:0.28725	0	1000	0	1	0.0150249	140206	0.999228	55.8227	57666.1	0.999489	52.3804	81866.8	0.999738	52.5961	160217	1	-5.43074e-12	250084	1	4.94538e-12	2.1958e+06	1	-3.34155e-12	251429	1	-2.70439e-11	1.26929e+06	1	3.00557e-12	809287	nan	nan	nan	0.999978	60.4058	2.20997e+06	0.999981	60.4058	2.55404e+06	1	0	1
11	rs1	1:1	2:0.52175	rs2	1:2	2:0.2805	0	1000	0	0.999996	0.711047	152309	0.999282	55.9997	62239.3	0.999476	53.1322	80954.9	0.999774	53.3472	188218	1	-5.64968e-12	258272	1	1.08358e-12	1.55357e+06	1	8.93619e-13	264491	1	-1.10294e-11	1.55357e+06	1	6.38689e-12	1.15535e+06	nan	nan	nan	0.999969	60.4058	1.57569e+06	0.999978	60.4058	2.22372e+06	1	0	1
12	rs1	1:1	2:0.52475	rs2	1:2	2:0.28725	0	1000	0	1	0.0893902	159359	0.999296	56.3172	63832	0.999481	53.9152	82880.8	0.999753	53.9301	173923	1	-1.51876e-12	254323	1	3.54916e-12	1.09994e+06	1	-1.48037e-12	240279	1	3.15699e-11	1.26932e+06	1	-2.25842e-12	847596	1	-4.99393e-11	2.54668e+06	0.999957	60.4058	1.12546e+06	0.999972	60.4058	1.71333e+06	1	0	1
13	rs1	1:1	2:0.529	rs2	1:2	2:0.2905	0	1000	0	0.999999	0.167658	138981	0.999283	56.2429	62558.6	0.99949	53.1888	83256.5	0.999798	53.8518	212954	1	-5.93012e-13	231929	1	-1.38556e-11	1.55369e+06	1	1.39538e-12	236130	1	-2.1193e-11	2.19585e+06	1	-6.58795e-12	735680	nan	nan	nan	0.999969	60.4058	1.5712e+06	0.999982	60.4058	2.70596e+06	1	0	1
14	rs1	1:1	2:0.52225	rs2	1:2	2:0.28025	0	1000	0	0.999921	15.6902	158550	0.999284	49.1642	54792.1	0.99966	30.1989	70868.3	0.999513	49.2721	80756.5	1	4.51958e-10	258154	1	-3.8865e-09	2.19576e+06	1	3.77219e-10	286574	1	2.56513e-09	1.26921e+06	1	-1.98906e-08	972467	nan	nan	nan	0.999987	37.0646	2.21309e+06	0.999981	60.4058	2.55609e+06	1	0	1
