Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.527	rs2	1:2	2:0.2855	0	1000	0	1	56.3351	63824	1	55.5525	78181.2	1	0.113817	787287	1	1.67529e-09	242341	1	61.7081	841339	1	0	1
2	rs1	1:1	2:0.522	rs2	1:2	2:0.2845	0	1000	0	1	55.702	56451.2	1	52.0538	79798.9	1	0.115582	2.07468e+06	1	4.46724e-10	250124	1	59.948	2.07804e+06	1	0	1
3	rs1	1:1	2:0.5245	rs2	1:2	2:0.2855	0	1000	0	1	33.2105	46086.6	1	56.0228	126570	1	2.98186	355573	1	-4.03417e-09	438182	1	62.0981	781525	1	0	1
4	rs1	1:1	2:0.5265	rs2	1:2	2:0.2835	0	1000	0	1	60.4058	239143	1	-4.99867e-12	244609	1	60.4058	1.83649e+07	1	1.72739e-13	244630	1	-9.83746e-12	1.87062e+07	1	0	1
5	rs1	1:1	2:0.52175	rs2	1:2	2:0.29025	0	1000	0	0.999999	43.106	36310	0.999996	708.263	247934	0.999998	-691.096	323659	1	1.68255e-09	19198.6	0.999997	736.899	330769	1	1	1
6	rs1	1:1	2:0.52125	rs2	1:2	2:0.28675	0	1000	0	1	55.8768	56002.7	1	52.0826	81860.4	1	0.11245	2.07794e+06	1	2.08466e-10	227877	1	59.9174	2.07751e+06	1	0	1
7	rs1	1:1	2:0.52575	rs2	1:2	2:0.28925	0	1000	0	1	56.2554	62103.2	1	54.3677	82456.2	1	0.0519697	1.07194e+06	1	3.78717e-10	234491	1	60.8947	1.10652e+06	1	0	1
8	rs1	1:1	2:0.52825	rs2	1:2	2:0.28375	0	1000	0	1	55.8898	59697.8	1	98.7577	142125	1	3.01264	290164	1	-7.37593e-10	460901	1	105.971	705492	1	0	1
9	rs1	1:1	2:0.52175	rs2	1:2	2:0.2875	0	1000	0	1	56.3902	63469.3	1	55.5883	79402.7	1	0.15762	831667	1	4.83626e-10	235463	1	61.8407	885493	1	0	1
10	rs1	1:1	2:0.524	rs2	1:2	2:0.28725	0	1000	0	1	55.831	56127.3	1	53.1476	82790	1	0.369864	1.82842e+06	1	-3.19667e-09	239008	1	60.908	1.87052e+06	1	0	1
