Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.5215	rs2	1:2	2:0.28025	0	1000	0	4.42522e-34	9.11132	0.735164	0.00373297	2.60754	0.77981	0.646496	2.13347	2.2842	1	-32.0424	216771	1	64.1947	230342	0	0	1
2	rs1	1:1	2:0.5195	rs2	1:2	2:0.2805	0	1000	1	1.02425e-17	10.5541	1.19318	0.0333101	1.7871	0.685132	0.41523	3.62063	2.73082	0.37529	1.08235	0.773083	0.10507	8.88921	4.18751	0	0	0.0017564
3	rs1	1:1	2:0.52975	rs2	1:2	2:0.28175	0	1000	0	5.31976e-30	9.52211	0.820103	0.0217094	2.72571	0.984837	0.999415	0.230895	6.75131	1	-29.712	237280	1	69.0863	250700	0	0	1
4	rs1	1:1	2:0.5225	rs2	1:2	2:0.281	0	1000	0	2.58545e-36	8.51678	0.665279	0.00054094	3.05814	0.788441	0.811458	1.16021	1.79485	0.937669	0.405069	1.12905	1	34.8318	69565.2	0	0	1
5	rs1	1:1	2:0.52225	rs2	1:2	2:0.28175	0	1000	0	1.25201e-17	10.8162	1.22597	0.113769	2.03861	0.977757	0.910839	1.74073	4.02779	0.690779	0.973383	1.13163	1	32.2539	66848.9	0	0	1
6	rs1	1:1	2:0.52625	rs2	1:2	2:0.27775	0	1000	0	1.07443e-33	8.69065	0.705306	0.00500959	2.16096	0.66396	0.991464	-2.915	22.262	1	-24.5882	219786	1	60.8826	229774	0	0	1
7	rs1	1:1	2:0.5255	rs2	1:2	2:0.282	0	1000	1	1.77455e-17	11.0308	1.25593	0.32737	1.21433	0.81257	0.639574	2.9801	3.152	0.990099	0.152044	1.07782	0.144282	11.6457	5.91831	0	0	0.000462022
8	rs1	1:1	2:0.5185	rs2	1:2	2:0.27675	0	1000	0	4.41057e-22	10.2466	1.03324	0.257997	1.53075	0.929932	0.620663	2.49447	2.55399	1	-34.5278	257742	1	70.4707	271981	0	0	1
9	rs1	1:1	2:0.5215	rs2	1:2	2:0.28125	0	1000	0	5.79067e-15	11.6249	1.43567	0.77114	0.928325	1.28764	0.938142	1.89757	5.30993	1	-31.3357	255069	1	69.7935	268752	0	0	1
10	rs1	1:1	2:0.52	rs2	1:2	2:0.27775	0	1000	0	0.689281	36.7175	42.5622	0.999496	-13.1936	415.643	0.690204	36.7111	42.6315	1	-28.0577	259396	1	26.6979	270243	0	0	1
11	rs1	1:1	2:0.522	rs2	1:2	2:0.2795	0	1000	0	7.7454e-15	11.4251	1.41729	0.877217	0.533283	1.04185	0.842666	1.6978	2.90161	1	-23.2199	143948	1	54.8385	157497	0	0	1
12	rs1	1:1	2:0.5205	rs2	1:2	2:0.2765	0	1000	0	2.12312e-34	8.30457	0.666888	0.000255513	2.81068	0.69101	0.806641	1.1202	1.70877	0.915941	0.449876	1.07355	1	33.2725	66502.7	0	0	1
13	rs1	1:1	2:0.525	rs2	1:2	2:0.2785	0	1000	0	1.86639e-29	9.46285	0.822695	0.0063937	3.51659	1.10626	0.951031	1.38985	4.38594	1	-31.1268	253301	1	68.9586	266747	0	0	1
14	rs1	1:1	2:0.518	rs2	1:2	2:0.28075	0	1000	0	7.99225e-15	11.4165	1.41691	0.76614	0.789331	1.0814	0.887614	1.62875	3.33556	1	-23.3132	140592	1	55.7087	154732	0	0	1
15	rs1	1:1	2:0.523	rs2	1:2	2:0.277	0	1000	0	2.7801e-22	10.062	1.0099	0.167093	1.82051	0.962382	0.997516	0.476953	6.76312	1	-29.2947	260628	1	67.791	272586	0	0	1
