Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.51725	rs2	1:2	2:0.271	0	1000	1	5.00965e-42	6.95406	0.511945	1.78701e-41	6.91327	0.512468	0.00345265	2.41353	0.825344	0.00400417	2.37431	0.825034	2.04092e-07	5.54606	1.06746	0	0	3.33709e-06
2	rs1	1:1	2:0.5225	rs2	1:2	2:0.28	0	1000	0	1.92006e-26	8.05603	0.757073	2.96731e-16	8.47954	1.0373	0.999924	-23.5119	248484	0.145179	2.06587	1.41811	0.999896	32.3345	248484	0	0	1
3	rs1	1:1	2:0.52125	rs2	1:2	2:0.275	0	1000	0	1.56277e-17	8.95209	1.05042	4.56855e-17	8.82693	1.05116	0.999926	-23.484	251726	0.999921	-23.484	236640	0.999865	58.2912	345492	0	0	1
4	rs1	1:1	2:0.528	rs2	1:2	2:0.27675	0	1000	0	1.82901e-32	7.56823	0.637937	6.21187e-33	7.6206	0.637511	0.99991	-24.6295	218366	0.999912	-24.6295	223970	0.999849	59.1722	312804	0	0	1
5	rs1	1:1	2:0.52125	rs2	1:2	2:0.2715	0	1000	0	3.2077e-26	8.46474	0.79908	1.8262e-26	8.50346	0.798769	0.999921	-24.1687	243830	0.999922	-24.1687	248488	0.999864	59.4857	348137	0	0	1
6	rs1	1:1	2:0.524	rs2	1:2	2:0.2725	0	1000	0	1.8589e-45	6.89604	0.487342	1.81295e-47	7.03099	0.485824	0.999906	-25.4605	217271	0.999912	-25.4606	231297	0.999847	60.9548	317341	0	0	1
7	rs1	1:1	2:0.524	rs2	1:2	2:0.27575	0	1000	0	5.46991e-27	8.34796	0.776021	1.48524e-26	8.28127	0.776496	0.999917	-24.2027	232613	0.999914	-24.2027	225147	0.999854	59.1141	323728	0	0	1
8	rs1	1:1	2:0.5215	rs2	1:2	2:0.2685	0	1000	1	2.71025e-42	6.43865	0.472439	2.00228e-46	6.70652	0.468785	0.70052	0.417601	1.08575	0.540278	0.665781	1.08718	1.80304e-08	8.54758	1.51824	0	0	7.33954e-14
9	rs1	1:1	2:0.521	rs2	1:2	2:0.274	0	1000	0	4.93496e-41	7.27955	0.54264	3.71042e-40	7.20812	0.543407	0.999915	-25.1091	236635	0.999912	-25.1091	228788	0.999854	60.2689	329151	0	0	1
10	rs1	1:1	2:0.51925	rs2	1:2	2:0.273	0	1000	0	1.0358e-36	7.51874	0.594083	1.2708e-35	7.41479	0.5952	0.999921	-24.8669	250112	0.999917	-24.867	238012	0.999861	60.028	345262	0	0	1
11	rs1	1:1	2:0.5215	rs2	1:2	2:0.2745	0	1000	0	7.57764e-41	7.11516	0.531648	4.26608e-40	7.05529	0.532306	0.999915	-25.1102	236629	0.999913	-25.1105	230029	0.999855	60.0187	330010	0	0	1
12	rs1	1:1	2:0.52325	rs2	1:2	2:0.27425	0	1000	0	2.07697e-26	8.2584	0.776625	2.47777e-26	8.24657	0.776715	0.999918	-24.1889	236634	0.999918	-24.189	235287	0.999859	59.1001	333700	0	0	1
13	rs1	1:1	2:0.52675	rs2	1:2	2:0.2725	0	1000	0	9.38732e-27	8.82735	0.824409	2.7829e-19	9.73934	1.08492	0.999913	-23.5071	216226	0.108553	2.27696	1.4189	0.999877	33.2223	216226	0	0	1
14	rs1	1:1	2:0.52025	rs2	1:2	2:0.2755	0	1000	0	1.73206e-32	7.65827	0.645278	1.24697e-24	7.83964	0.76522	0.999925	-24.1819	256842	0.219425	1.51016	1.22972	0.999897	33.1126	256842	0	0	1
15	rs1	1:1	2:0.5235	rs2	1:2	2:0.27525	0	1000	0	4.01701e-49	6.48923	0.440485	6.28181e-49	6.47794	0.440624	0.999909	-25.6003	223995	0.999908	-25.6004	222807	0.999847	60.5059	315938	0	0	1
16	rs1	1:1	2:0.52125	rs2	1:2	2:0.2765	0	1000	0	4.81278e-38	7.42711	0.575975	2.11053e-39	7.00297	0.533206	0.414364	0.917525	1.12409	0.99991	-24.8913	221660	0.999878	33.8859	221660	0	0	1
17	rs1	1:1	2:0.521	rs2	1:2	2:0.2735	0	1000	0	1.53275e-40	7.02567	0.527026	1.87173e-42	6.76741	0.495581	0.537853	0.678584	1.10149	0.999914	-25.1057	232611	0.999883	34.1237	232611	0	0	1
18	rs1	1:1	2:0.5245	rs2	1:2	2:0.27625	0	1000	1	1.11772e-41	7.43009	0.549371	3.10429e-38	7.66493	0.592867	0.383781	1.01004	1.1597	0.0623087	1.71355	0.91924	4.79953e-08	7.68346	1.40759	0	0	3.05356e-08
19	rs1	1:1	2:0.5205	rs2	1:2	2:0.26975	0	1000	1	7.78781e-31	7.72664	0.66924	8.78023e-32	7.83784	0.668098	0.170033	1.6883	1.23045	0.144472	1.79651	1.23104	5.82639e-06	7.3845	1.6292	0	0	8.58433e-06
20	rs1	1:1	2:0.52475	rs2	1:2	2:0.2725	0	1000	1	2.50322e-35	7.12963	0.57481	4.92707e-26	8.01971	0.759955	0.123455	2.18507	1.41848	0.00276144	3.47474	1.16091	0.000658922	5.31073	1.55917	0	0	0.0062385
21	rs1	1:1	2:0.527	rs2	1:2	2:0.27725	0	1000	0	4.84465e-38	7.37649	0.572072	4.84465e-38	7.37649	0.572072	0.999909	-24.9184	219446	0.999909	-24.9184	219446	0.999847	59.6272	310344	0	0	1
22	rs1	1:1	2:0.52225	rs2	1:2	2:0.27125	0	1000	0	4.76117e-39	7.11817	0.544537	7.86336e-37	7.44557	0.587298	0.999916	-24.8709	236649	0.385333	0.97601	1.12429	0.999885	34.0509	236649	0	0	1
23	rs1	1:1	2:0.52075	rs2	1:2	2:0.27925	0	1000	0	4.77768e-28	8.57402	0.780888	6.16422e-32	7.86087	0.668357	0.189461	1.61443	1.23034	0.999909	-24.2062	211158	0.999874	33.4136	211158	0	0	1
24	rs1	1:1	2:0.52525	rs2	1:2	2:0.27275	0	1000	0	3.04603e-42	7.33361	0.538444	7.65458e-39	7.93705	0.608865	0.999907	-24.8997	214133	0.0799332	1.5293	0.87335	0.999873	33.9648	214133	0	0	1
25	rs1	1:1	2:0.524	rs2	1:2	2:0.2755	0	1000	1	3.89339e-33	7.84445	0.654117	4.85901e-33	7.83353	0.654208	0.234256	1.46261	1.22963	0.237677	1.45191	1.22959	2.11025e-06	7.68185	1.61977	0	0	4.37304e-06
26	rs1	1:1	2:0.51775	rs2	1:2	2:0.2715	0	1000	0	3.63641e-42	6.80333	0.499986	1.33437e-40	6.69066	0.501507	0.999922	-25.2638	256855	0.999917	-25.2641	243851	0.999864	60.2894	354172	0	0	1
27	rs1	1:1	2:0.5205	rs2	1:2	2:0.27325	0	1000	0	2.62234e-40	7.55257	0.568261	2.16203e-32	8.00564	0.675604	0.999918	-24.5907	239425	0.0482583	1.81642	0.919667	0.999888	33.4971	239425	0	0	1
28	rs1	1:1	2:0.52275	rs2	1:2	2:0.27575	0	1000	0	1.65173e-27	8.56996	0.788607	5.28507e-32	7.96635	0.676578	0.185428	1.62924	1.23034	0.999913	-24.1914	222813	0.99988	33.5323	222813	0	0	1
29	rs1	1:1	2:0.522	rs2	1:2	2:0.277	0	1000	0	9.8481e-41	6.85784	0.513167	4.71965e-39	6.72756	0.514629	0.999916	-25.119	239435	0.999911	-25.119	225147	0.999855	59.5856	328665	0	0	1
30	rs1	1:1	2:0.524	rs2	1:2	2:0.2725	0	1000	0	4.62096e-35	7.00895	0.567332	1.9865e-36	7.13406	0.565979	0.999915	-24.8811	232612	0.99992	-24.8811	246896	0.99986	59.4228	339214	0	0	1
31	rs1	1:1	2:0.52975	rs2	1:2	2:0.27225	0	1000	0	1.84754e-30	7.34091	0.63996	2.58992e-33	7.66176	0.637092	0.999908	-24.6109	214160	0.999922	-24.6104	250069	0.999857	59.1534	329241	0	0	1
32	rs1	1:1	2:0.52375	rs2	1:2	2:0.27275	0	1000	0	6.13972e-26	8.18538	0.777178	1.73543e-26	8.27027	0.776519	0.999918	-24.1843	233930	0.999921	-24.1843	243829	0.99986	59.0957	337899	0	0	1
33	rs1	1:1	2:0.524	rs2	1:2	2:0.2715	0	1000	0	9.378e-47	6.55001	0.456166	3.48571e-50	6.75742	0.453632	0.999905	-25.5929	215169	0.999914	-25.5933	236609	0.999848	60.9043	319815	0	0	1
34	rs1	1:1	2:0.5255	rs2	1:2	2:0.2795	0	1000	0	8.7425e-27	8.13974	0.759724	4.93476e-17	8.71029	1.03839	0.999918	-23.5307	228782	0.152753	2.02764	1.41806	0.999887	32.4418	228782	0	0	1
35	rs1	1:1	2:0.519	rs2	1:2	2:0.27025	0	1000	0	6.80957e-39	7.09603	0.543977	1.35132e-41	6.92558	0.512598	0.487565	0.764871	1.10182	0.99992	-25.0819	250099	0.99989	34.3945	250099	0	0	1
36	rs1	1:1	2:0.5225	rs2	1:2	2:0.27475	0	1000	0	9.32296e-27	8.37678	0.782283	2.69331e-26	8.30533	0.782823	0.99992	-24.1867	240874	0.999917	-24.1867	232612	0.999859	59.2159	334856	0	0	1
37	rs1	1:1	2:0.524	rs2	1:2	2:0.27425	0	1000	0	1.47285e-26	8.28154	0.776465	2.0842e-26	8.25829	0.776638	0.999918	-24.1924	235263	0.999917	-24.1921	232594	0.999857	59.1032	330830	0	0	1
38	rs1	1:1	2:0.52225	rs2	1:2	2:0.27075	0	1000	0	6.47699e-31	7.58756	0.656293	3.62424e-32	7.73157	0.654872	0.999918	-24.5777	238022	0.999923	-24.5778	255077	0.999864	59.4883	348882	0	0	1
39	rs1	1:1	2:0.5215	rs2	1:2	2:0.27525	0	1000	0	3.2146e-18	9.22075	1.05942	2.64892e-32	8.00373	0.676415	0.014968	2.99329	1.23021	0.999918	-23.4961	228788	0.999888	32.035	228788	0	0	1
40	rs1	1:1	2:0.52075	rs2	1:2	2:0.27725	0	1000	0	1.07521e-37	7.29367	0.568365	3.15019e-35	7.06794	0.570685	0.99992	-24.8907	246918	0.99991	-24.8903	221677	0.999857	59.5118	331827	0	0	1
41	rs1	1:1	2:0.52075	rs2	1:2	2:0.274	0	1000	0	5.65121e-44	7.20602	0.518115	7.65906e-40	7.27049	0.550368	0.999916	-25.1078	239414	0.616271	0.551682	1.10085	0.999884	34.7611	239414	0	0	1
42	rs1	1:1	2:0.52175	rs2	1:2	2:0.2775	0	1000	0	5.17762e-34	8.01482	0.659201	5.89691e-32	7.77912	0.661196	0.999919	-24.6082	242338	0.999909	-24.6082	216227	0.999853	59.6364	324779	0	0	1
