Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.51725	rs2	1:2	2:0.271	0	1000	0	0.9996	34.9104	69716.8	0.999984	-25.4954	1.26697e+06	0.9996	34.9104	69716.8	0.999984	-25.4954	1.26697e+06	nan	nan	nan	1	0	1
2	rs1	1:1	2:0.5225	rs2	1:2	2:0.28	0	1000	0	1.00165e-26	13.1153	1.22556	0.999983	-23.9933	1.09723e+06	1.00165e-26	13.1153	1.22556	0.999983	-23.9933	1.09723e+06	nan	nan	nan	1	0	1
3	rs1	1:1	2:0.52125	rs2	1:2	2:0.275	0	1000	0	2.37278e-35	12.4202	1.001	0.999981	-23.9953	981393	2.37278e-35	12.4202	1.001	0.999981	-23.9953	981393	nan	nan	nan	1	0	1
4	rs1	1:1	2:0.528	rs2	1:2	2:0.27675	0	1000	0	1.48024e-49	11.3226	0.765076	0.999991	-24.3988	2.19446e+06	1.48024e-49	11.3226	0.765076	0.999991	-24.3988	2.19446e+06	nan	nan	nan	1	0	1
5	rs1	1:1	2:0.52125	rs2	1:2	2:0.2715	0	1000	0	2.343e-35	12.4212	1.001	0.999983	-23.9943	1.09723e+06	2.343e-35	12.4212	1.001	0.999983	-23.9943	1.09723e+06	nan	nan	nan	1	0	1
6	rs1	1:1	2:0.524	rs2	1:2	2:0.2725	0	1000	0	1.39617e-54	10.759	0.691522	0.999987	-25.2461	1.55172e+06	1.39617e-54	10.759	0.691522	0.999987	-25.2461	1.55172e+06	nan	nan	nan	1	0	1
7	rs1	1:1	2:0.524	rs2	1:2	2:0.27575	0	1000	0	2.25599e-35	12.4242	1.001	0.999991	-23.9913	2.19446e+06	2.25599e-35	12.4242	1.001	0.999991	-23.9913	2.19446e+06	nan	nan	nan	1	0	1
8	rs1	1:1	2:0.5215	rs2	1:2	2:0.2685	0	1000	0	2.30358e-28	11.726	1.06161	0.999991	-25.3766	2.19446e+06	2.30358e-28	11.726	1.06161	0.999991	-25.3766	2.19446e+06	nan	nan	nan	1	0	1
9	rs1	1:1	2:0.521	rs2	1:2	2:0.274	0	1000	0	9.38062e-29	12.1981	1.09636	0.999987	-24.9076	1.55172e+06	9.38062e-29	12.1981	1.09636	0.999987	-24.9076	1.55172e+06	nan	nan	nan	1	0	1
10	rs1	1:1	2:0.51925	rs2	1:2	2:0.273	0	1000	0	1.25382e-28	12.4202	1.11893	0.999982	-24.6864	1.09723e+06	1.25382e-28	12.4202	1.11893	0.999982	-24.6864	1.09723e+06	nan	nan	nan	1	0	1
