Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.51725	rs2	1:2	2:0.271	0	1000	1	0.0619675	35.4283	15.0219	0.0644173	-5.68569	2.42776	0.0134037	49.9104	16.9951	0.0249395	-7.50031	2.76042	0.143186	120.327	61.03	0	0	0.142575
2	rs1	1:1	2:0.5225	rs2	1:2	2:0.28	0	1000	0	9.29782e-18	10.963	1.23788	0.0930113	-12.9252	5.93047	0.970364	1.74263	7.10435	0.328164	-5.53123	3.70525	1	-86.1273	174058	0	0	1
3	rs1	1:1	2:0.52125	rs2	1:2	2:0.275	0	1000	0	1.81274e-16	11.3104	1.32841	0.000210371	-17.6847	4.2976	1	-126.567	1.24709e+06	0.974372	1.33181	5.84457	1	-391.412	3.17048e+06	0	0	1
4	rs1	1:1	2:0.528	rs2	1:2	2:0.27675	0	1000	0	8.93831e-30	9.34369	0.807852	5.12222e-05	-15.4044	3.46549	0.888118	1.24955	2.5651	0.818592	2.62204	4.14406	1	-109.516	205730	0	0	1
5	rs1	1:1	2:0.52125	rs2	1:2	2:0.2715	0	1000	0	2.38445e-22	10.0766	1.00981	0.0192286	-12.2168	4.34579	1	-1.05276e+08	5.94096e+13	0.0194521	-7.13735	2.54264	1	-2.93001e+08	1.65347e+14	0	1	1
6	rs1	1:1	2:0.524	rs2	1:2	2:0.2725	0	1000	0	2.76999e-28	9.19547	0.816265	0.0422882	-6.71062	2.66797	1	-5.41728e+08	1.02562e+13	0.0297774	-5.80879	2.19114	1	-1.89869e+09	3.59469e+13	0	1	1
7	rs1	1:1	2:0.524	rs2	1:2	2:0.27575	0	1000	0	2.66531e-23	10.2776	1.00801	0.0338145	-12.2277	4.6982	0.933753	1.5071	4.07047	0.873221	2.60935	5.0112	1	-102.475	193660	0	0	1
8	rs1	1:1	2:0.5215	rs2	1:2	2:0.2685	0	1000	1	8.58155e-17	10.5973	1.23201	0.254897	-4.65836	2.81741	0.999979	-0.0767998	11.7774	0.907806	-1.60117	3.64046	0.709521	-58.2625	70.3271	0	0	0.000216319
9	rs1	1:1	2:0.521	rs2	1:2	2:0.274	0	1000	0	7.90278e-15	11.3929	1.41373	0.758964	-2.75736	3.71263	0.877987	1.6956	3.32378	0.806737	2.03293	3.10194	1	-113.828	224465	0	0	1
10	rs1	1:1	2:0.51925	rs2	1:2	2:0.273	0	1000	0	1.41952e-14	11.3033	1.41544	0.569729	-3.87294	3.65114	-nan	-2.58381e+26	0	-nan	2.97014e+11	0	-nan	-8.1542e+26	0	0	1	1
11	rs1	1:1	2:0.5215	rs2	1:2	2:0.2745	0	1000	0	8.47187e-15	11.3817	1.41386	0.754019	-2.791	3.71416	-nan	-1.68694e+17	0	-nan	-480.196	0	-nan	-5.60968e+17	0	0	1	1
12	rs1	1:1	2:0.52325	rs2	1:2	2:0.27425	0	1000	0	7.12296e-23	10.1876	1.00876	0.0266037	-12.2369	4.5436	1	-3.06707e+08	4.51266e+13	0.0165781	-7.18236	2.50829	1	-8.70563e+08	1.28088e+14	0	1	1
13	rs1	1:1	2:0.52675	rs2	1:2	2:0.2725	0	1000	0	6.1047e-17	10.5962	1.22625	7.32595e-06	-19.2117	3.95064	0.958186	1.39427	4.77037	0.257955	-5.88691	3.57608	1	-83.5376	171282	0	0	1
14	rs1	1:1	2:0.52025	rs2	1:2	2:0.2755	0	1000	0	2.30115e-25	9.84665	0.924406	0.00940075	-12.986	4.25053	1	-4.68751e+07	2.34302e+13	0.0124612	-7.48946	2.52897	1	-1.34684e+08	6.73207e+13	0	1	1
15	rs1	1:1	2:0.5235	rs2	1:2	2:0.27525	0	1000	0	1.26923e-38	8.2872	0.627315	0.000897853	-9.32848	2.49039	0.763102	1.08889	1.4808	0.771303	1.72151	2.3888	1	-124.866	242255	0	0	1
