Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.52375	rs2	1:2	2:0.294	0	1000	0	0.999501	50.9923	81455.1	0.999714	20.5476	57270.7	0.999575	37.0207	69499.3	1	2.11974e-09	1.55327e+06	0.999988	23.3851	1.5712e+06	1	0	1
2	rs1	1:1	2:0.52475	rs2	1:2	2:0.30075	0	1000	0	0.999503	50.5274	81093.6	0.999698	21.5002	56890.3	0.999583	36.301	69499.3	1	-4.93089e-09	2.19556e+06	0.999991	24.1048	2.20551e+06	1	0	1
3	rs1	1:1	2:0.5235	rs2	1:2	2:0.29625	0	1000	0	0.999496	51.4764	81462.8	0.999697	21.731	57238.3	0.999588	35.9144	69604.1	1	5.52462e-09	1.26888e+06	0.999985	24.4914	1.28913e+06	1	0	1
4	rs1	1:1	2:0.5285	rs2	1:2	2:0.29975	0	1000	0	0.999507	50.3101	81442.2	0.999704	21.2529	57255.2	0.999583	36.3265	69499.3	1	4.19811e-09	2.19556e+06	0.999991	24.0793	2.20813e+06	1	0	1
5	rs1	1:1	2:0.52375	rs2	1:2	2:0.3	0	1000	0	0.999495	51.502	81337.8	0.999711	20.6639	57136.8	0.999575	37.0097	69534.2	1	2.58911e-09	1.26888e+06	0.999986	23.3961	1.2885e+06	1	0	1
6	rs1	1:1	2:0.52475	rs2	1:2	2:0.3055	0	1000	0	0.999583	36.3088	69464.5	0.999911	24.097	216250	0.999583	36.3088	69464.5	0.999911	24.097	216250	nan	nan	nan	1	0	1
7	rs1	1:1	2:0.52925	rs2	1:2	2:0.3055	0	1000	0	0.999588	35.9033	69499.3	0.99991	24.5025	216250	0.999588	35.9033	69499.3	0.99991	24.5025	216250	nan	nan	nan	1	0	1
8	rs1	1:1	2:0.525	rs2	1:2	2:0.3	0	1000	0	0.999493	51.5671	81232.8	0.99971	20.7382	57027	0.999575	37.0019	69534.2	1	3.78932e-10	1.26888e+06	0.999986	23.4038	1.28718e+06	1	0	1
9	rs1	1:1	2:0.52175	rs2	1:2	2:0.2955	0	1000	0	0.999575	37.0196	69429.7	0.999921	23.3862	235296	0.999575	37.0196	69429.7	0.999921	23.3862	235296	nan	nan	nan	1	0	1
10	rs1	1:1	2:0.52675	rs2	1:2	2:0.3	0	1000	0	0.999487	52.3771	81485.1	0.999702	21.3832	57231.9	0.999584	36.3144	69709.4	1	-9.41682e-11	832353	0.999978	24.0914	861372	1	0	1
11	rs1	1:1	2:0.52275	rs2	1:2	2:0.30175	0	1000	0	0.9995	51.081	81451.6	0.999693	22.03	57224.1	0.999592	35.6256	69604.1	1	5.20466e-09	1.55328e+06	0.999987	24.7801	1.56969e+06	1	0	1
12	rs1	1:1	2:0.5245	rs2	1:2	2:0.29825	0	1000	0	0.999496	51.4783	81502.7	0.999693	22.0196	57265.4	0.999592	35.6267	69639.1	1	2.05342e-09	1.26889e+06	0.999985	24.779	1.28913e+06	1	0	1
13	rs1	1:1	2:0.52525	rs2	1:2	2:0.297	0	1000	0	0.999497	51.1815	81245.2	0.999694	21.8581	57022.5	0.999588	35.9011	69569.1	1	-4.01613e-10	1.55328e+06	0.999988	24.5047	1.56797e+06	1	0	1
14	rs1	1:1	2:0.5275	rs2	1:2	2:0.3015	0	1000	0	0.999492	51.6461	81135.7	0.999698	21.5211	56908.9	0.999584	36.2987	69569.1	1	1.11702e-09	1.26888e+06	0.999985	24.1071	1.28572e+06	1	0	1
15	rs1	1:1	2:0.52125	rs2	1:2	2:0.30075	0	1000	0	0.999504	50.4885	81247.5	0.99969	22.1458	57022.5	0.999592	35.6134	69569.1	1	1.67517e-09	2.19556e+06	0.999991	24.7924	2.20599e+06	1	0	1
16	rs1	1:1	2:0.52725	rs2	1:2	2:0.30675	0	1000	0	0.999496	51.265	81094.2	0.999692	21.9547	56862.1	0.999588	35.8899	69569.1	1	3.75593e-11	1.55328e+06	0.999988	24.5159	1.5667e+06	1	0	1
17	rs1	1:1	2:0.5235	rs2	1:2	2:0.2955	0	1000	0	0.999497	51.3925	81586.1	0.999699	21.6367	57366.4	0.999588	35.9232	69604.1	1	3.15566e-10	1.26888e+06	0.999985	24.4826	1.29102e+06	1	0	1
18	rs1	1:1	2:0.524	rs2	1:2	2:0.29625	0	1000	0	0.999493	51.7719	81404.2	0.999712	20.6427	57194.8	0.999575	37.0119	69569.1	1	1.1687e-10	1.09943e+06	0.999983	23.3939	1.1225e+06	1	0	1
19	rs1	1:1	2:0.52325	rs2	1:2	2:0.30425	0	1000	0	0.999495	51.2788	81025.6	0.999697	21.5667	56804.8	0.999584	36.2931	69534.2	1	9.45754e-10	1.55328e+06	0.999988	24.1127	1.56647e+06	1	0	1
20	rs1	1:1	2:0.52475	rs2	1:2	2:0.3	0	1000	0	0.99952	60.4058	100510	1	2.00195e-12	230596	0.999522	60.4058	100818	1	-1.02673e-11	1.26888e+06	1	9.66338e-12	1.29036e+06	1	0	1
21	rs1	1:1	2:0.522	rs2	1:2	2:0.297	0	1000	0	0.999575	37.0064	69429.7	0.999915	23.3994	220575	0.999575	37.0064	69429.7	0.999915	23.3994	220575	nan	nan	nan	1	0	1
22	rs1	1:1	2:0.52675	rs2	1:2	2:0.299	0	1000	0	0.999496	51.247	81084.8	0.999698	21.5297	56867.6	0.999583	36.2976	69534.2	1	-6.12791e-09	1.55328e+06	0.999988	24.1082	1.56694e+06	1	0	1
23	rs1	1:1	2:0.52075	rs2	1:2	2:0.3035	0	1000	0	0.999491	51.9868	81454.6	0.999712	20.6323	57236.3	0.999576	37.013	69604.1	1	1.58467e-09	983858	0.999982	23.3928	1.00984e+06	1	0	1
24	rs1	1:1	2:0.52675	rs2	1:2	2:0.29425	0	1000	0	0.999499	51.1102	81406.1	0.999692	22.0631	57176.7	0.999592	35.6223	69604.1	1	-6.27389e-09	1.55328e+06	0.999987	24.7835	1.56918e+06	1	0	1
25	rs1	1:1	2:0.527	rs2	1:2	2:0.30025	0	1000	0	0.999497	51.2055	81160.7	0.999699	21.4816	56948.4	0.999583	36.3032	69534.2	1	-1.14932e-09	1.55328e+06	0.999988	24.1026	1.56757e+06	1	0	1
26	rs1	1:1	2:0.5245	rs2	1:2	2:0.306	0	1000	0	0.999494	51.7229	81519.5	0.999704	21.2794	57300.1	0.999584	36.3243	69604.1	1	3.72092e-09	1.09944e+06	0.999983	24.0815	1.12378e+06	1	0	1
27	rs1	1:1	2:0.5235	rs2	1:2	2:0.29625	0	1000	0	0.9995	51.0571	81402.1	0.999703	21.3124	57201.2	0.999583	36.321	69534.2	1	1.85004e-09	1.55328e+06	0.999988	24.0848	1.57004e+06	1	0	1
28	rs1	1:1	2:0.52675	rs2	1:2	2:0.303	0	1000	0	0.999486	52.5047	81573.6	0.999697	21.7797	57299.9	0.999589	35.91	69779.8	1	-2.55321e-09	778991	0.999976	24.4958	810237	1	0	1
29	rs1	1:1	2:0.52775	rs2	1:2	2:0.29925	0	1000	0	0.999501	51.0548	81576.8	0.999688	22.4033	57325.3	0.999597	35.2235	69674.2	1	2.07798e-10	1.55328e+06	0.999987	25.1823	1.57023e+06	1	0	1
30	rs1	1:1	2:0.523	rs2	1:2	2:0.303	0	1000	0	0.999494	51.571	81310.1	0.999695	21.8387	57078	0.999588	35.9033	69604.1	1	2.01539e-09	1.26888e+06	0.999985	24.5025	1.28718e+06	1	0	1
31	rs1	1:1	2:0.5255	rs2	1:2	2:0.299	0	1000	0	0.999492	52.0162	81621.1	0.999688	22.4511	57337.1	0.999597	35.2191	69779.8	1	-4.95177e-11	983871	0.99998	25.1867	1.00931e+06	1	0	1
32	rs1	1:1	2:0.5225	rs2	1:2	2:0.30475	0	1000	0	0.999491	52.0201	81486.8	0.999697	21.7662	57240.5	0.999589	35.9111	69674.2	1	-1.05304e-09	983863	0.999981	24.4947	1.00904e+06	1	0	1
33	rs1	1:1	2:0.52525	rs2	1:2	2:0.3015	0	1000	0	0.999499	51.1403	81398.9	0.999688	22.3192	57153.8	0.999594	35.3959	69639.1	1	9.95195e-09	1.55328e+06	0.999987	25.0099	1.56871e+06	1	0	1
34	rs1	1:1	2:0.52675	rs2	1:2	2:0.3015	0	1000	0	0.999487	52.405	81439.7	0.999701	21.4151	57184.1	0.999584	36.311	69709.4	1	1.03013e-09	832353	0.999978	24.0948	860524	1	0	1
35	rs1	1:1	2:0.52275	rs2	1:2	2:0.30125	0	1000	0	0.999497	51.195	81136.3	0.999709	20.7777	56937.7	0.999575	36.9975	69499.3	1	-8.98837e-12	1.55327e+06	0.999988	23.4083	1.5677e+06	1	0	1
36	rs1	1:1	2:0.52375	rs2	1:2	2:0.297	0	1000	0	0.999494	51.7104	81495.4	0.999713	20.5735	57289.3	0.999575	37.0185	69569.1	1	-2.17476e-09	1.09943e+06	0.999983	23.3873	1.12405e+06	1	0	1
37	rs1	1:1	2:0.5215	rs2	1:2	2:0.30025	0	1000	0	0.999494	51.5887	81280	0.999694	21.859	57046.3	0.999588	35.9011	69604.1	1	-2.21269e-09	1.26888e+06	0.999985	24.5047	1.28683e+06	1	0	1
38	rs1	1:1	2:0.52525	rs2	1:2	2:0.30725	0	1000	0	0.999524	60.4058	101210	1	3.96128e-13	213095	0.999525	60.4058	101422	1	-1.72307e-12	1.55327e+06	1	1.82254e-12	1.5681e+06	1	0	1
39	rs1	1:1	2:0.52475	rs2	1:2	2:0.2985	0	1000	0	0.999494	51.7249	81559.9	0.999698	21.6858	57328	0.999588	35.9188	69639.1	1	1.69458e-09	1.09944e+06	0.999983	24.487	1.12378e+06	1	0	1
40	rs1	1:1	2:0.525	rs2	1:2	2:0.29975	0	1000	0	0.999519	60.4058	100223	1	-2.00728e-13	241741	0.999521	60.4058	100528	1	-9.64206e-12	1.26888e+06	1	8.65441e-12	1.29255e+06	1	0	1
