Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.28325	rs2	1:2	2:0.52425	0	1000	0	0.999974	2.50779	76178.4	0.99934	54.122	65429.1	0.999839	-53.0936	263636	0.999994	1.14878	160195	0.99979	55.5188	210562	1	0	1
2	rs1	1:1	2:0.27875	rs2	1:2	2:0.52425	0	1000	0	0.999264	52.2423	56616.9	0.999041	52.8191	43938.9	0.999845	-53.5721	275268	0.999996	0.868565	155463	0.999788	56.0391	211186	1	0	1
3	rs1	1:1	2:0.28175	rs2	1:2	2:0.527	0	1000	0	0.999305	52.3162	60063	0.999064	52.9062	45106.6	0.999842	-53.8075	271961	0.999995	0.951729	145701	0.999779	56.0661	202757	1	0	1
4	rs1	1:1	2:0.28725	rs2	1:2	2:0.52775	0	1000	0	0.999212	51.6801	52357.2	0.999008	52.7728	42437.1	0.999823	-52.3507	235474	0.999996	0.827968	158102	0.999779	55.4546	200191	1	0	1
5	rs1	1:1	2:0.28525	rs2	1:2	2:0.5275	0	1000	0	0.999971	2.81461	76370.6	0.999337	53.988	65000.8	0.999838	-52.777	260394	0.999994	1.16234	152695	0.999783	55.3444	203609	1	0	1
6	rs1	1:1	2:0.2845	rs2	1:2	2:0.52425	0	1000	0	0.00468976	3.46411	1.2251	4.48597e-12	7.21178	1.04202	0.999755	-75.961	247615	0.118878	1.98392	1.27215	0.999679	54.2779	134904	0	0	1
7	rs1	1:1	2:0.2885	rs2	1:2	2:0.528	0	1000	0	0.998661	49.2429	29336.7	0.99884	99.4514	68399.4	0.999807	-54.5781	225935	0.999992	1.25511	127818	0.999766	56.1292	191446	1	0	1
8	rs1	1:1	2:0.285	rs2	1:2	2:0.52725	0	1000	0	0.999229	52.4443	54251.2	0.999027	53.1602	43613.3	0.999831	-53.6157	253903	0.999995	0.916279	143791	0.999771	55.9986	195229	1	0	1
9	rs1	1:1	2:0.286	rs2	1:2	2:0.5225	0	1000	0	0.999254	51.7913	55404.7	0.999014	52.678	42648.7	0.999831	-52.8358	248759	0.999994	1.05926	151583	0.999778	55.4639	199391	1	0	1
10	rs1	1:1	2:0.28175	rs2	1:2	2:0.52175	0	1000	0	0.999222	51.7003	53023.3	0.999033	52.1389	43011.2	0.999837	-51.5619	251638	0.999996	0.845544	165913	0.999792	55.0487	211572	1	0	1
