Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.28325	rs2	1:2	2:0.52425	0	1000	0	1	1.20348e-12	353466	0.999513	60.4058	98966	1	-1.79341e-11	1.55327e+06	0.999514	60.4058	99157.8	1	2.53237e-11	1.59512e+06	1	0	1
2	rs1	1:1	2:0.27875	rs2	1:2	2:0.52425	0	1000	0	0.999719	20.4948	58202.3	0.999523	49.224	82414.2	1	-2.8863e-08	2.19556e+06	0.999587	35.9836	69534.2	0.999991	24.4222	2.2344e+06	1	0	1
3	rs1	1:1	2:0.28175	rs2	1:2	2:0.527	0	1000	0	0.999947	24.4304	365782	0.999587	35.9754	69499.3	0.999947	24.4304	365782	0.999587	35.9754	69499.3	nan	nan	nan	1	0	1
4	rs1	1:1	2:0.28725	rs2	1:2	2:0.52775	0	1000	0	0.999725	20.055	58290.4	0.999509	50.8025	82526.9	1	-2.54381e-09	983861	0.999583	36.3901	69639.1	0.999982	24.0157	1.07069e+06	1	0	1
5	rs1	1:1	2:0.28525	rs2	1:2	2:0.5275	0	1000	0	1	4.00835e-12	326964	0.999513	60.4058	99055.8	1	-1.67688e-12	1.26888e+06	0.999515	60.4058	99340.5	1	-5.14433e-12	1.31322e+06	1	0	1
6	rs1	1:1	2:0.2845	rs2	1:2	2:0.52425	0	1000	0	0.999944	23.3412	334688	1.4265e-26	13.0753	1.22558	0.999944	23.3412	334688	1.4265e-26	13.0753	1.22558	nan	nan	nan	1	0	1
7	rs1	1:1	2:0.2885	rs2	1:2	2:0.528	0	1000	0	0.999719	20.4263	58033.1	0.999513	50.2396	82232.6	1	1.28577e-06	1.55328e+06	0.999583	36.3777	69534.2	0.999988	24.0281	1.59254e+06	1	0	1
8	rs1	1:1	2:0.285	rs2	1:2	2:0.52725	0	1000	0	0.999712	21.012	58177	0.999511	50.5457	82413.8	1	-1.60843e-08	1.26889e+06	0.999591	35.6887	69639.1	0.999985	24.7171	1.322e+06	1	0	1
9	rs1	1:1	2:0.286	rs2	1:2	2:0.5225	0	1000	0	0.999721	20.3447	58079.5	0.999514	50.1619	82281.1	1	-1.52723e-09	1.55328e+06	0.999583	36.3808	69534.2	0.999988	24.025	1.59576e+06	1	0	1
10	rs1	1:1	2:0.28175	rs2	1:2	2:0.52175	0	1000	0	0.999727	19.9322	58233.5	0.999525	49.071	82438.1	1	-5.73122e-09	2.19556e+06	0.999582	36.3932	69499.3	0.999991	24.0126	2.2408e+06	1	0	1
11	rs1	1:1	2:0.2855	rs2	1:2	2:0.52775	0	1000	0	0.999709	21.1724	58059.4	0.999512	50.292	82282.2	1	-1.35147e-08	1.55328e+06	0.999591	35.6825	69604.1	0.999988	24.7233	1.59065e+06	1	0	1
12	rs1	1:1	2:0.28375	rs2	1:2	2:0.526	0	1000	0	0.99973	19.6219	58066.2	0.999514	50.1326	82256.3	1	5.77651e-09	1.55327e+06	0.999574	37.075	69499.3	0.999988	23.3308	1.59696e+06	1	0	1
13	rs1	1:1	2:0.28325	rs2	1:2	2:0.523	0	1000	0	0.999731	19.5924	58081.4	0.999514	50.1044	82272.3	1	-5.74799e-09	1.55327e+06	0.999574	37.0761	69499.3	0.999988	23.3297	1.59823e+06	1	0	1
14	rs1	1:1	2:0.28675	rs2	1:2	2:0.52875	0	1000	0	0.999705	21.5306	58198.1	0.999507	50.9441	82465.8	1	7.08741e-09	1.09945e+06	0.999596	35.2791	69744.6	0.999983	25.1267	1.15425e+06	1	0	1
15	rs1	1:1	2:0.28025	rs2	1:2	2:0.52625	0	1000	0	0.999717	20.5981	58156.9	0.999522	49.3234	82365.5	1	8.32419e-09	2.19556e+06	0.999587	35.9805	69534.2	0.999991	24.4252	2.23067e+06	1	0	1
16	rs1	1:1	2:0.2805	rs2	1:2	2:0.524	0	1000	0	0.999727	19.9331	58259.9	0.999519	49.7659	82474.4	1	-1.25976e-08	1.55328e+06	0.999582	36.3932	69534.2	0.999988	24.0126	1.61659e+06	1	0	1
17	rs1	1:1	2:0.2835	rs2	1:2	2:0.5265	0	1000	0	0.999709	21.2075	58246.4	0.999509	50.8088	82505.1	1	-1.99107e-08	1.09944e+06	0.999594	35.4666	69709.4	0.999983	24.9392	1.16209e+06	1	0	1
18	rs1	1:1	2:0.28475	rs2	1:2	2:0.525	0	1000	0	0.999717	20.6669	58278.3	0.999504	51.3401	82537	1	-1.23618e-08	832356	0.999588	35.9785	69744.6	0.999979	24.4273	915847	1	0	1
19	rs1	1:1	2:0.281	rs2	1:2	2:0.5235	0	1000	0	0.999943	24.0322	334688	0.999582	36.3736	69464.5	0.999943	24.0322	334688	0.999582	36.3736	69464.5	nan	nan	nan	1	0	1
20	rs1	1:1	2:0.28225	rs2	1:2	2:0.5255	0	1000	0	0.76894	1.44825	4.93003	4.95694e-28	12.7066	1.15762	0.999981	-23.3032	981393	5.24328e-28	12.6784	1.15558	0.999964	47.7274	1.06265e+06	0	0	1
21	rs1	1:1	2:0.284	rs2	1:2	2:0.52275	0	1000	0	0.999721	20.3447	58079.5	0.999514	50.1619	82281.1	1	-5.69645e-09	1.55328e+06	0.999583	36.3808	69534.2	0.999988	24.025	1.59576e+06	1	0	1
22	rs1	1:1	2:0.2845	rs2	1:2	2:0.5225	0	1000	0	0.999715	20.7529	58158.8	0.999507	50.8604	82391.3	1	1.08199e-08	1.09944e+06	0.999588	35.9754	69639.1	0.999983	24.4304	1.15869e+06	1	0	1
23	rs1	1:1	2:0.27675	rs2	1:2	2:0.52275	0	1000	0	0.999732	19.5298	58085.4	0.999521	49.3504	82267.9	1	-1.40443e-08	2.19556e+06	0.999574	37.0781	69464.5	0.999992	23.3277	2.22958e+06	1	0	1
24	rs1	1:1	2:0.28425	rs2	1:2	2:0.5265	0	1000	0	0.99971	21.0949	58105.3	0.999513	50.2184	82330.3	1	2.86718e-09	1.55328e+06	0.999591	35.6856	69604.1	0.999988	24.7202	1.59356e+06	1	0	1
25	rs1	1:1	2:0.28525	rs2	1:2	2:0.52175	0	1000	0	0.847631	1.19664	6.2279	1.8798e-22	13.7929	1.41494	0.999983	-23.3002	1.09723e+06	2.25847e-22	13.7665	1.41494	0.999968	46.6392	1.1483e+06	0	0	1
26	rs1	1:1	2:0.2875	rs2	1:2	2:0.52025	0	1000	0	0.999726	19.8792	57938.9	0.999507	50.7833	82132	1	-7.6944e-09	1.26888e+06	0.999575	37.0646	69534.2	0.999986	23.3412	1.31038e+06	1	0	1
27	rs1	1:1	2:0.2825	rs2	1:2	2:0.52275	0	1000	0	0.999722	20.2552	58098.5	0.999521	49.3824	82292.5	1	-9.92756e-10	2.19556e+06	0.999582	36.3839	69499.3	0.999991	24.0218	2.22855e+06	1	0	1
28	rs1	1:1	2:0.2835	rs2	1:2	2:0.5255	0	1000	0	0.999723	20.2266	58191.1	0.999509	50.7438	82414.5	1	4.28555e-09	1.09944e+06	0.999583	36.385	69604.1	0.999984	24.0208	1.16588e+06	1	0	1
29	rs1	1:1	2:0.28125	rs2	1:2	2:0.52075	0	1000	0	0.999734	19.3574	58160.5	0.999523	49.1844	82348.6	1	1.05785e-08	2.19556e+06	0.999574	37.0833	69464.5	0.999992	23.3225	2.23582e+06	1	0	1
30	rs1	1:1	2:0.28	rs2	1:2	2:0.52225	0	1000	0	0.999725	20.0533	58240.5	0.999513	50.2885	82460.5	1	-1.29089e-09	1.26888e+06	0.999583	36.3901	69569.1	0.999986	24.0157	1.33733e+06	1	0	1
31	rs1	1:1	2:0.2885	rs2	1:2	2:0.525	0	1000	0	0.999705	21.4696	58067.2	0.999508	50.7695	82310.5	1	2.09297e-08	1.26889e+06	0.999594	35.4562	69674.2	0.999985	24.9496	1.31131e+06	1	0	1
32	rs1	1:1	2:0.27975	rs2	1:2	2:0.52525	0	1000	0	0.999721	20.4232	58333.9	0.99951	50.7675	82583.8	1	-1.26769e-08	983863	0.999588	35.9857	69674.2	0.999982	24.4201	1.07389e+06	1	0	1
33	rs1	1:1	2:0.2835	rs2	1:2	2:0.52325	0	1000	0	0.999728	19.7571	57963.5	0.999519	49.5673	82139.3	1	3.8036e-09	2.19556e+06	0.999574	37.0698	69464.5	0.999992	23.336	2.22281e+06	1	0	1
34	rs1	1:1	2:0.278	rs2	1:2	2:0.5255	0	1000	0	0.999722	20.3395	58288.4	0.999519	49.7679	82515.3	1	-2.06161e-08	1.55328e+06	0.999587	35.9877	69569.1	0.999988	24.418	1.61659e+06	1	0	1
35	rs1	1:1	2:0.28025	rs2	1:2	2:0.523	0	1000	0	0.999733	19.4669	58192.2	0.999509	50.6788	82405.2	1	-8.10782e-09	1.09943e+06	0.999575	37.0802	69569.1	0.999984	23.3256	1.17018e+06	1	0	1
36	rs1	1:1	2:0.28275	rs2	1:2	2:0.5215	0	1000	0	0.999715	20.7791	58092.2	0.999513	50.1905	82305.5	1	-2.72188e-09	1.55328e+06	0.999587	35.9743	69569.1	0.999988	24.4315	1.59463e+06	1	0	1
37	rs1	1:1	2:0.282	rs2	1:2	2:0.5245	0	1000	0	1	-7.64722e-12	420271	0.999512	60.4058	98750.9	1	-1.16813e-11	2.19556e+06	0.999512	60.4058	98847.5	1	9.53548e-12	2.23692e+06	1	0	1
38	rs1	1:1	2:0.28825	rs2	1:2	2:0.52525	0	1000	0	0.999718	20.5019	57987.5	0.999512	50.3114	82184.9	1	1.07703e-08	1.55328e+06	0.999583	36.3746	69534.2	0.999988	24.0312	1.58976e+06	1	0	1
39	rs1	1:1	2:0.28375	rs2	1:2	2:0.5205	0	1000	0	0.99973	19.6515	58076.4	0.99951	50.5671	82275.3	1	-5.49891e-09	1.26888e+06	0.999575	37.074	69534.2	0.999986	23.3318	1.32055e+06	1	0	1
40	rs1	1:1	2:0.2835	rs2	1:2	2:0.5285	0	1000	0	0.999723	20.1917	58128.5	0.999522	49.3214	82324.6	1	4.03084e-09	2.19556e+06	0.999582	36.386	69499.3	0.999991	24.0198	2.23067e+06	1	0	1
41	rs1	1:1	2:0.2875	rs2	1:2	2:0.52625	0	1000	0	0.99972	20.3752	58140.6	0.999505	51.1099	82368.3	1	4.84782e-10	983861	0.999583	36.3798	69639.1	0.999982	24.026	1.04793e+06	1	0	1
42	rs1	1:1	2:0.2765	rs2	1:2	2:0.52525	0	1000	0	0.999723	20.1584	58143.6	0.999522	49.2894	82340.9	1	2.00936e-09	2.19556e+06	0.999582	36.387	69499.3	0.999991	24.0187	2.23183e+06	1	0	1
43	rs1	1:1	2:0.28175	rs2	1:2	2:0.525	0	1000	0	0.720201	1.85847	5.1885	5.40373e-28	12.6955	1.15743	0.999985	-23.3012	1.26697e+06	5.68153e-28	12.6701	1.15559	0.999971	47.7357	1.31481e+06	0	0	1
44	rs1	1:1	2:0.2865	rs2	1:2	2:0.52975	0	1000	0	0.999718	20.4773	58002.4	0.999512	50.2881	82200.5	1	6.93831e-10	1.55328e+06	0.999583	36.3756	69534.2	0.999988	24.0302	1.59064e+06	1	0	1
45	rs1	1:1	2:0.287	rs2	1:2	2:0.52525	0	1000	0	0.999719	20.5356	58337.9	0.999505	51.214	82599.9	1	-9.21951e-09	832356	0.999588	35.9826	69744.6	0.999979	24.4232	926773	1	0	1
46	rs1	1:1	2:0.28975	rs2	1:2	2:0.52275	0	1000	0	0.999712	20.955	57958.5	0.999518	49.6634	82156.7	1	-3.77493e-09	2.19556e+06	0.999587	35.967	69534.2	0.999991	24.4387	2.22035e+06	1	0	1
47	rs1	1:1	2:0.289	rs2	1:2	2:0.528	0	1000	0	0.999938	24.444	313528	0.999587	35.9618	69499.3	0.999938	24.444	313528	0.999587	35.9618	69499.3	nan	nan	nan	1	0	1
48	rs1	1:1	2:0.28175	rs2	1:2	2:0.52475	0	1000	0	0.999718	20.6282	58317	0.999519	49.7698	82556.2	1	-4.42179e-09	1.55328e+06	0.999591	35.7001	69604.1	0.999988	24.7057	1.61659e+06	1	0	1
49	rs1	1:1	2:0.28225	rs2	1:2	2:0.52675	0	1000	0	0.999714	20.7781	58065.6	0.99952	49.4956	82268.7	1	-2.12322e-09	2.19556e+06	0.999587	35.9743	69534.2	0.999991	24.4315	2.22501e+06	1	0	1
50	rs1	1:1	2:0.2835	rs2	1:2	2:0.527	0	1000	0	0.99973	19.6515	58076.4	0.99951	50.5671	82275.3	1	-5.78246e-09	1.26888e+06	0.999575	37.074	69534.2	0.999986	23.3318	1.32055e+06	1	0	1
