Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.553	rs2	1:2	2:0.5505	0	1000	0	0.999591	31.4555	61385.5	0.999589	31.4843	61145.6	1	-4.08121e-09	190809	1	2.51724e-08	193605	0.999896	33.5271	257525	1	0	1
2	rs1	1:1	2:0.54725	rs2	1:2	2:0.55025	0	1000	0	0.999589	31.263	60684.4	0.999593	31.2086	61114.6	1	6.20733e-08	203378	1	-3.37869e-09	197739	0.999901	33.4218	270656	1	0	1
3	rs1	1:1	2:0.5495	rs2	1:2	2:0.54775	0	1000	0	0.999594	31.245	61369.8	0.999589	31.3129	60823.5	1	-2.95683e-08	194444	1	-3.01334e-08	201349	0.9999	33.4218	266496	1	0	1
4	rs1	1:1	2:0.549	rs2	1:2	2:0.555	0	1000	0	0.999586	31.4535	60679.3	0.999594	31.3435	61581.4	1	-8.26518e-09	200506	1	-7.78215e-09	189574	0.999898	33.4997	262102	1	0	1
5	rs1	1:1	2:0.5465	rs2	1:2	2:0.545	0	1000	0	0.999577	31.7896	59965.5	0.999572	31.8576	59414.8	1	1.39116e-09	194387	1	2.60131e-09	201384	0.999898	34.0196	266886	1	0	1
6	rs1	1:1	2:0.5515	rs2	1:2	2:0.548	0	1000	0	0.999593	31.2571	61321	0.99959	31.3092	60901.7	1	-6.98664e-09	194972	1	3.39475e-08	200251	0.9999	33.4218	266033	1	0	1
7	rs1	1:1	2:0.55025	rs2	1:2	2:0.54975	0	1000	0	0.999588	31.4675	60969.8	0.999587	31.4875	60806	1	1.38874e-09	193666	1	2.35328e-09	195649	0.999898	33.5843	261488	1	0	1
8	rs1	1:1	2:0.54875	rs2	1:2	2:0.549	0	1000	0	0.999592	31.1884	60922.3	0.999593	31.1719	61052.1	1	6.2013e-10	202174	1	1.01692e-09	200455	0.999902	33.373	271769	1	0	1
9	rs1	1:1	2:0.54775	rs2	1:2	2:0.551	0	1000	0	0.999585	31.5105	60570.6	0.99959	31.4354	61186.4	1	3.09374e-10	198750	1	1.01925e-09	191267	0.999898	33.5843	262083	1	0	1
10	rs1	1:1	2:0.55025	rs2	1:2	2:0.55025	0	1000	0	0.999588	31.4076	60818.7	0.999587	31.4179	60735.2	1	1.8827e-07	196413	1	1.52693e-07	197458	0.999899	33.5553	265066	1	0	1
