Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Pval	Red_Var1_beta	Red_Var1_SE	Red_Var2_Pval	Red_Var2_beta	Red_Var2_SE	Full_Var1_Pval	Full_Var1_beta	Full_Var1_SE	Full_Var2_Pval	Full_Var2_beta	Full_Var2_SE	Full_Var1_Var2_Pval	Full_Var1_Var2_beta	Full_Var1_Var2_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.553	rs2	1:2	2:0.5505	0	1000	0	0.999381	53.65	69211.1	0.999354	54.1215	66809.2	1	-8.33822e-12	734818	1	-2.61124e-12	983878	0.999961	60.4058	1.22797e+06	1	0	1
2	rs1	1:1	2:0.54725	rs2	1:2	2:0.55025	0	1000	0	1.43322e-10	9.23332	1.43993	4.90646e-10	9.01047	1.44815	0.999975	-23.3153	731487	0.999972	-23.3153	661655	0.999932	83.7211	988778	0	0	1
3	rs1	1:1	2:0.5495	rs2	1:2	2:0.54775	0	1000	0	0.999946	60.4058	898570	1	2.02505e-12	898585	0.999946	60.4058	898570	1	2.02505e-12	898585	nan	nan	nan	1	0	1
4	rs1	1:1	2:0.549	rs2	1:2	2:0.555	0	1000	0	0.999358	54.6203	67892.9	0.999365	54.4966	68523.1	1	5.25802e-13	637377	1	-7.43228e-12	590695	0.999945	60.4058	868932	1	0	1
5	rs1	1:1	2:0.5465	rs2	1:2	2:0.545	0	1000	0	0.999347	54.5586	66698.4	0.99938	54.0033	69551.6	1	-7.47136e-12	832389	1	4.16911e-12	590673	0.999953	60.4058	1.02062e+06	1	0	1
6	rs1	1:1	2:0.5515	rs2	1:2	2:0.548	0	1000	0	0.999381	53.65	69211.1	0.999354	54.1215	66809.2	1	-1.69571e-11	734818	1	5.60973e-12	983878	0.999961	60.4058	1.22797e+06	1	0	1
7	rs1	1:1	2:0.55025	rs2	1:2	2:0.54975	0	1000	0	0.99936	54.1583	67524.3	0.999372	53.9565	68546.1	1	-1.79625e-11	832374	1	-6.03961e-14	734825	0.999957	60.4058	1.11029e+06	1	0	1
8	rs1	1:1	2:0.54875	rs2	1:2	2:0.549	0	1000	0	0.99937	54.0892	68516.1	0.99936	54.2683	67607.9	1	8.27072e-12	697474	1	1.47438e-12	779013	0.999954	60.4058	1.04558e+06	1	0	1
9	rs1	1:1	2:0.54775	rs2	1:2	2:0.551	0	1000	0	0.999377	53.6245	68654.6	0.999361	53.8947	67287.8	1	-4.69669e-12	832362	1	-2.34515e-11	983873	0.999963	60.4058	1.28871e+06	1	0	1
10	rs1	1:1	2:0.55025	rs2	1:2	2:0.55025	0	1000	0	0.999358	54.6203	67892.9	0.999365	54.4966	68523.1	1	2.62546e-12	637377	1	1.16529e-12	590695	0.999945	60.4058	868932	1	0	1
11	rs1	1:1	2:0.549	rs2	1:2	2:0.54775	0	1000	0	0.999372	53.9565	68546.1	0.99936	54.1583	67524.3	1	-1.19016e-12	734825	1	-8.88178e-13	832374	0.999957	60.4058	1.11029e+06	1	0	1
12	rs1	1:1	2:0.54625	rs2	1:2	2:0.5525	0	1000	0	0.999347	54.5586	66698.4	0.99938	54.0033	69551.6	1	7.92255e-13	832389	1	-3.07843e-12	590673	0.999953	60.4058	1.02062e+06	1	0	1
13	rs1	1:1	2:0.5465	rs2	1:2	2:0.55075	0	1000	0	0.999356	54.6104	67698.8	0.999368	54.417	68684.9	1	-6.59384e-12	665377	1	8.61178e-12	590690	0.999946	60.4058	889674	1	0	1
14	rs1	1:1	2:0.54925	rs2	1:2	2:0.54975	0	1000	0	0.999345	54.3801	66251.1	0.999387	53.6793	69867.1	1	1.40901e-11	983886	1	4.02345e-12	637342	0.999959	60.4058	1.17224e+06	1	0	1
15	rs1	1:1	2:0.5515	rs2	1:2	2:0.5525	0	1000	0	0.99935	54.5741	66995.5	0.999377	54.1255	69292.1	1	1.21183e-11	779026	1	2.83151e-12	590678	0.999951	60.4058	977586	1	0	1
16	rs1	1:1	2:0.5545	rs2	1:2	2:0.54825	0	1000	0	0.999366	54.0656	68031.4	0.999366	54.0656	68031.4	1	-3.53495e-12	779007	1	1.69464e-12	779007	0.999956	60.4058	1.10165e+06	1	0	1
17	rs1	1:1	2:0.54625	rs2	1:2	2:0.5515	0	1000	0	0.999351	54.3228	66814.9	0.99938	53.8368	69297.1	1	-3.93996e-12	898615	1	5.88507e-12	665347	0.999957	60.4058	1.11808e+06	1	0	1
18	rs1	1:1	2:0.5495	rs2	1:2	2:0.54775	0	1000	0	0.999377	54.1255	69292.1	0.99935	54.5741	66995.5	1	-1.72307e-12	590678	1	1.71951e-12	779026	0.999951	60.4058	977586	1	0	1
19	rs1	1:1	2:0.55	rs2	1:2	2:0.548	0	1000	0	0.999369	54.2069	68505.4	0.999359	54.3679	67687.9	1	1.07931e-11	665358	1	5.57421e-12	734838	0.999951	60.4058	991258	1	0	1
20	rs1	1:1	2:0.554	rs2	1:2	2:0.55125	0	1000	0	0.999372	53.9565	68546.1	0.99936	54.1583	67524.3	1	1.08997e-11	734825	1	7.45359e-12	832374	0.999957	60.4058	1.11029e+06	1	0	1
21	rs1	1:1	2:0.55825	rs2	1:2	2:0.55	0	1000	0	0.999363	54.6457	68405.1	0.999359	54.701	68122.7	1	4.79616e-12	570967	1	5.33973e-12	590708	0.999941	60.4058	821460	1	0	1
22	rs1	1:1	2:0.54875	rs2	1:2	2:0.543	0	1000	0	0.999395	53.4835	70531.2	0.999338	54.4246	65599.2	1	8.89067e-13	612646	1	4.47997e-12	1.09946e+06	0.999962	60.4058	1.2586e+06	1	0	1
23	rs1	1:1	2:0.55225	rs2	1:2	2:0.54575	0	1000	0	0.999376	53.8161	68845.5	0.999357	54.1416	67194.3	1	-6.86384e-12	734822	1	2.84217e-13	898610	0.999958	60.4058	1.16077e+06	1	0	1
24	rs1	1:1	2:0.549	rs2	1:2	2:0.551	0	1000	0	0.999365	54.6601	68699.6	0.999356	54.8158	67903.4	1	3.201e-12	536884	1	1.8936e-12	590716	0.99994	60.4058	798146	1	0	1
25	rs1	1:1	2:0.54825	rs2	1:2	2:0.545	0	1000	0	0.999377	53.6245	68654.6	0.999361	53.8947	67287.8	1	1.95843e-11	832362	1	-1.09246e-11	983873	0.999963	60.4058	1.28871e+06	1	0	1
26	rs1	1:1	2:0.54925	rs2	1:2	2:0.5455	0	1000	0	0.999366	54.0656	68031.4	0.999366	54.0656	68031.4	1	1.14788e-11	779007	1	8.92086e-12	779007	0.999956	60.4058	1.10165e+06	1	0	1
27	rs1	1:1	2:0.54625	rs2	1:2	2:0.547	0	1000	0	0.999372	53.9565	68546.1	0.99936	54.1583	67524.3	1	9.20508e-12	734825	1	-2.26663e-12	832374	0.999957	60.4058	1.11029e+06	1	0	1
28	rs1	1:1	2:0.548	rs2	1:2	2:0.55775	0	1000	0	0.999352	54.5067	67126.9	0.999375	54.1174	69114.7	1	3.52074e-12	779023	1	2.94875e-13	612662	0.999951	60.4058	991024	1	0	1
29	rs1	1:1	2:0.545	rs2	1:2	2:0.54625	0	1000	0	0.99936	54.2683	67607.9	0.99937	54.0892	68516.1	1	-5.80158e-12	779013	1	-1.17595e-12	697474	0.999954	60.4058	1.04558e+06	1	0	1
30	rs1	1:1	2:0.54775	rs2	1:2	2:0.5425	0	1000	0	0.999383	53.8543	69686.2	0.999346	54.4736	66500	1	-1.56319e-12	612654	1	3.00915e-12	898621	0.999956	60.4058	1.08755e+06	1	0	1
31	rs1	1:1	2:0.55125	rs2	1:2	2:0.5535	0	1000	0	0.999347	53.9564	65930	0.999394	53.1716	69985.3	1	1.03029e-13	1.26889e+06	1	3.7188e-12	778991	0.999968	60.4058	1.48891e+06	1	0	1
