Outcome	Var1_ID	Var1_Pos	Var1_MAF	Var2_ID	Var2_Pos	Var2_MAF	Num_Missing	Num_Cases	Converged	Red_Var1_Het_Pval	Red_Var1_Het_beta	Red_Var1_Het_SE	Red_Var1_Hom_Pval	Red_Var1_Hom_beta	Red_Var1_Hom_SE	Red_Var2_Het_Pval	Red_Var2_Het_beta	Red_Var2_Het_SE	Red_Var2_Hom_Pval	Red_Var2_Hom_beta	Red_Var2_Hom_SE	Full_Var1_Het_Pval	Full_Var1_Het_beta	Full_Var1_Het_SE	Full_Var1_Hom_Pval	Full_Var1_Hom_beta	Full_Var1_Hom_SE	Full_Var2_Het_Pval	Full_Var2_Het_beta	Full_Var2_Het_SE	Full_Var2_Hom_Pval	Full_Var2_Hom_beta	Full_Var2_Hom_SE	Full_Var1_Het_Var2_Het_Pval	Full_Var1_Het_Var2_Het_beta	Full_Var1_Het_Var2_Het_SE	Full_Var1_Het_Var2_Hom_Pval	Full_Var1_Het_Var2_Hom_beta	Full_Var1_Het_Var2_Hom_SE	Full_Var1_Hom_Var2_Het_Pval	Full_Var1_Hom_Var2_Het_beta	Full_Var1_Hom_Var2_Het_SE	Full_Var1_Hom_Var2_Hom_Pval	Full_Var1_Hom_Var2_Hom_beta	Full_Var1_Hom_Var2_Hom_SE	Red_Model_Pval	Full_Model_Pval	Overall_Pval_(LRT)
1	rs1	1:1	2:0.54125	rs2	1:2	2:0.343	0	1000	0	0.999999	0.0856878	130016	0.99932	56.9496	66823.2	0.999475	54.2696	82509.5	0.999622	54.5455	115253	1	7.69407e-12	212011	1	9.45022e-13	899800	1	-4.09128e-12	201177	1	2.29633e-11	639011	1	-1.21728e-11	554714	1	-3.45306e-11	1.18718e+06	0.999948	60.4058	921362	0.999957	60.4058	1.11301e+06	1	0	1
2	rs1	1:1	2:0.55	rs2	1:2	2:0.3505	0	1000	0	0.999994	-0.949167	116904	0.999347	51.8492	63395.2	0.999628	31.913	68361.9	0.99947	53.4426	80475.1	1	-5.50396e-09	209584	1	1.513e-09	592806	1	1.96789e-10	192320	1	1.05984e-09	900030	1	5.50463e-08	468400	1	2.44868e-07	1.56581e+06	0.999953	36.2117	617222	0.999956	60.4058	1.08624e+06	1	0	1
3	rs1	1:1	2:0.54725	rs2	1:2	2:0.345	0	1000	0	0.999889	17.8777	127977	0.999342	52.2724	63361.5	0.999641	31.852	70885.5	0.999498	52.6641	83675.9	1	1.07589e-09	202144	1	1.49456e-09	900017	1	-3.87978e-09	194184	1	1.64465e-09	699276	1	1.94537e-08	475913	nan	nan	nan	0.999968	36.9255	916688	0.999958	60.4058	1.14896e+06	1	0	1
4	rs1	1:1	2:0.544	rs2	1:2	2:0.34075	0	1000	0	0.999863	-23.3441	135714	9.23833e-30	9.84059	0.868484	0.00011624	4.8071	1.24733	0.00116924	5.90552	1.81917	0.999892	-24.3813	180384	0.999985	-24.3807	1.26693e+06	0.999894	-24.3813	184155	0.999975	-24.3813	775859	0.999964	24.3813	534177	nan	nan	nan	0.999962	60.5936	1.28024e+06	0.999955	84.7865	1.49445e+06	1	0	1
5	rs1	1:1	2:0.553	rs2	1:2	2:0.34775	0	1000	0	0.999997	0.424976	109918	0.999344	52.6716	64075.2	0.999626	31.8247	67960.1	0.999469	53.3681	80141.8	1	3.33086e-09	199320	1	1.51854e-09	614690	1	-2.56162e-09	204466	1	-6.8984e-09	614690	1	-3.90308e-08	479030	1	-1.57109e-07	1.67869e+06	0.999955	36.2092	642061	0.999945	60.4058	879716	1	0	1
6	rs1	1:1	2:0.55	rs2	1:2	2:0.35425	0	1000	0	0.999997	0.464995	113848	0.999341	52.828	63914.1	0.999656	30.9779	71936.1	0.999492	53.2468	83608	1	5.3079e-09	208873	1	-2.11777e-10	699276	1	2.95037e-09	198808	1	2.7711e-09	573118	1	-6.72916e-09	453746	1	-2.8713e-07	1.66508e+06	0.999961	35.5112	721866	0.999947	60.4058	913848	1	0	1
7	rs1	1:1	2:0.547	rs2	1:2	2:0.3445	0	1000	0	0.999996	-0.696041	129391	0.999315	56.673	65995.6	0.999534	54.1124	92632.6	0.99967	54.7601	132338	1	-2.78361e-13	207913	1	1.15037e-11	1.10043e+06	1	-7.2381e-12	213413	1	-1.12647e-11	984963	1	-6.0969e-12	434474	1	-7.10232e-12	1.84775e+06	0.999957	60.4058	1.12046e+06	0.999968	60.4058	1.48287e+06	1	0	1
8	rs1	1:1	2:0.55025	rs2	1:2	2:0.34175	0	1000	0	0.99985	-24.1112	128030	1.05666e-28	9.43237	0.848592	1.59153e-13	6.65752	0.902192	1.01002e-06	8.05955	1.64828	0.999897	-24.3784	188869	0.999971	-24.3788	661709	0.9999	-24.3784	194726	0.99998	-24.3784	981393	0.999956	24.3784	440433	0.999989	24.3784	1.84571e+06	0.99993	60.1838	689766	0.999943	84.7846	1.19458e+06	1	0	1
9	rs1	1:1	2:0.5465	rs2	1:2	2:0.34775	0	1000	0	0.999853	-23.0764	125351	1.29809e-19	11.2095	1.23718	1.96704e-10	8.1711	1.28398	1.84047e-05	9.11458	2.12788	0.999902	-23.6941	192467	0.999974	-23.6941	731487	0.999898	-23.6941	185466	0.999971	-23.6941	661655	0.999958	23.6941	453001	0.999989	23.6941	1.69784e+06	0.999936	60.594	754633	0.999933	84.0999	999172	1	0	1
10	rs1	1:1	2:0.549	rs2	1:2	2:0.34525	0	1000	0	0.999991	1.18071	110255	0.999346	52.5886	64121.7	0.999631	31.8883	68978.1	0.999476	53.2439	81089.3	1	-1.26212e-09	204720	1	5.2993e-10	614775	1	-2.28662e-09	192033	1	-5.45544e-09	592865	1	3.06291e-09	513713	1	-5.49758e-07	2.28069e+06	0.999955	36.2431	638210	0.999944	60.4058	867196	1	0	1
