SNR Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.01 ADD_+_ADD Additive 0.495285 0.287192 0.047047 999 0.495224 0.287055 0.047 1000
0.01 ADD_+_ADD Codominant 0.492679 0.292016 0.0630631 999 0.492905 0.291957 0.063 1000
0.01 ADD_+_ADD Dominant 0.500302 0.28615 0.0590591 999 0.500257 0.286011 0.059 1000
0.01 ADD_+_ADD Recessive 0.490815 0.286023 0.0500501 999 0.490815 0.286023 0.0500501 999
0.01 ADD_+_ADD Weighted 0.484909 0.284933 0.0500501 999 0.48496 0.284796 0.05 1000
0.01 ADD Additive 0.510383 0.282684 0.0440882 998 0.509703 0.282854 0.044 1000
0.01 ADD Codominant 0.497592 0.283796 0.0541082 998 0.497592 0.283796 0.0541082 998
0.01 ADD Dominant 0.51181 0.281664 0.0290581 998 0.511879 0.281396 0.029 1000
0.01 ADD Recessive 0.480162 0.291292 0.0641283 998 0.480162 0.291292 0.0641283 998
0.01 ADD Weighted 0.511218 0.283786 0.0440882 998 0.511689 0.283737 0.044 1000
0.01 ADD_+_DOM Additive 0.500353 0.295684 0.0511022 998 0.500049 0.29556 0.051 1000
0.01 ADD_+_DOM Codominant 0.487083 0.287677 0.0551102 998 0.487114 0.287535 0.0550551 999
0.01 ADD_+_DOM Dominant 0.493457 0.286962 0.0480962 998 0.493646 0.286728 0.048 1000
0.01 ADD_+_DOM Recessive 0.499574 0.294413 0.0651303 998 0.499574 0.294413 0.0651303 998
0.01 ADD_+_DOM Weighted 0.491426 0.292419 0.0591182 998 0.491605 0.292479 0.059 1000
0.01 ADD_+_HET Additive 0.502326 0.289174 0.039 1000 0.502326 0.289174 0.039 1000
0.01 ADD_+_HET Codominant 0.497093 0.281461 0.053 1000 0.497093 0.281461 0.053 1000
0.01 ADD_+_HET Dominant 0.500043 0.286254 0.052 1000 0.500043 0.286254 0.052 1000
0.01 ADD_+_HET Recessive 0.508645 0.283555 0.04 1000 0.508645 0.283555 0.04 1000
0.01 ADD_+_HET Weighted 0.491007 0.286049 0.053 1000 0.491007 0.286049 0.053 1000
0.01 ADD_+_SUB Additive 0.51194 0.287496 0.0280561 998 0.51166 0.287543 0.028 1000
0.01 ADD_+_SUB Codominant 0.496509 0.291995 0.0551102 998 0.496532 0.29185 0.0550551 999
0.01 ADD_+_SUB Dominant 0.512963 0.289473 0.0390782 998 0.512942 0.289329 0.039039 999
0.01 ADD_+_SUB Recessive 0.492633 0.288887 0.0460922 998 0.492421 0.28882 0.046046 999
0.01 ADD_+_SUB Weighted 0.494222 0.285528 0.0501002 998 0.493531 0.285724 0.051 1000
0.01 ADD_x_ADD Additive 0.359337 0.285006 0.156627 996 0.35976 0.285598 0.157 1000
0.01 ADD_x_ADD Codominant 0.411539 0.284403 0.100402 996 0.411868 0.284234 0.1002 998
0.01 ADD_x_ADD Dominant 0.411981 0.300596 0.120482 996 0.411871 0.300485 0.121121 999
0.01 ADD_x_ADD Recessive 0.472861 0.289978 0.0692771 996 0.47339 0.290312 0.0692076 997
0.01 ADD_x_ADD Weighted 0.448485 0.299452 0.0853414 996 0.44873 0.299633 0.086 1000
0.01 ADD_x_DOM Additive 0.387094 0.293614 0.125 1000 0.387094 0.293614 0.125 1000
0.01 ADD_x_DOM Codominant 0.420763 0.292623 0.113 1000 0.420763 0.292623 0.113 1000
0.01 ADD_x_DOM Dominant 0.387233 0.295057 0.125 1000 0.387233 0.295057 0.125 1000
0.01 ADD_x_DOM Recessive 0.486031 0.290798 0.05 1000 0.486031 0.290798 0.05 1000
0.01 ADD_x_DOM Weighted 0.450622 0.299247 0.087 1000 0.450622 0.299247 0.087 1000
0.01 ADD_x_HET Additive 0.463286 0.299809 0.0990991 999 0.463406 0.299683 0.099 1000
