SNR Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.01 HET-HA Additive 0.481827 0.293623 0.055 1000 0.481827 0.293623 0.055 1000
0.01 HET-HA Codominant 0.425534 0.289879 0.099 1000 0.425534 0.289879 0.099 1000
0.01 HET-HA Dominant 0.484923 0.28656 0.046 1000 0.484923 0.28656 0.046 1000
0.01 HET-HA Recessive 0.478134 0.292188 0.069 1000 0.478134 0.292188 0.069 1000
0.01 HET-HA Weighted 0.463136 0.292525 0.068 1000 0.463136 0.292525 0.068 1000
0.01 HET-HET Additive 0.476736 0.291613 0.0691383 998 0.476876 0.291988 0.069 1000
0.01 HET-HET Codominant 0.418205 0.290451 0.101202 998 0.417791 0.290601 0.102102 999
0.01 HET-HET Dominant 0.428056 0.301418 0.109218 998 0.427648 0.301379 0.11 1000
0.01 HET-HET Recessive 0.499924 0.285543 0.0541082 998 0.499924 0.285543 0.0541082 998
0.01 HET-HET Weighted 0.451722 0.296593 0.0971944 998 0.451683 0.296917 0.098 1000
0.01 HR-HA Additive 0.460444 0.294788 0.0831663 998 0.460863 0.294879 0.083 1000
0.01 HR-HA Codominant 0.428723 0.287503 0.103206 998 0.428975 0.287625 0.103 1000
0.01 HR-HA Dominant 0.485798 0.290748 0.0621242 998 0.485702 0.290495 0.062 1000
0.01 HR-HA Recessive 0.49097 0.290447 0.0541082 998 0.49097 0.290447 0.0541082 998
0.01 HR-HA Weighted 0.450122 0.294411 0.0791583 998 0.449992 0.294138 0.079 1000
0.01 HR-HET Additive 0.476453 0.297018 0.0751503 998 0.475981 0.297081 0.076 1000
0.01 HR-HET Codominant 0.411533 0.293001 0.0901804 998 0.411164 0.293086 0.0910911 999
0.01 HR-HET Dominant 0.410933 0.305735 0.125251 998 0.411105 0.30624 0.126 1000
0.01 HR-HET Recessive 0.491632 0.29717 0.0631263 998 0.491632 0.29717 0.0631263 998
0.01 HR-HET Weighted 0.458799 0.29739 0.0901804 998 0.458303 0.297436 0.091 1000
0.01 HR-HR Additive 0.386367 0.302334 0.14257 996 0.386323 0.302517 0.143 1000
0.01 HR-HR Codominant 0.408364 0.295613 0.106426 996 0.408351 0.295541 0.107107 999
0.01 HR-HR Dominant 0.34998 0.295571 0.180723 996 0.349976 0.295584 0.181 1000
0.01 HR-HR Recessive 0.503322 0.287035 0.0532129 996 0.503322 0.287035 0.0532129 996
0.01 HR-HR Weighted 0.463677 0.298554 0.0883534 996 0.46361 0.298876 0.089 1000
0.025 HET-HA Additive 0.3853 0.299044 0.146146 999 0.3853 0.299044 0.146146 999
0.025 HET-HA Codominant 0.17916 0.223288 0.404404 999 0.179052 0.223203 0.404 1000
0.025 HET-HA Dominant 0.430638 0.297669 0.0890891 999 0.430233 0.297796 0.09 1000
0.025 HET-HA Recessive 0.416597 0.291014 0.104104 999 0.417044 0.291211 0.104 1000
0.025 HET-HA Weighted 0.275846 0.291239 0.321321 999 0.275735 0.291114 0.321 1000
0.025 HET-HET Additive 0.428617 0.302836 0.108108 999 0.428632 0.302685 0.108 1000
0.025 HET-HET Codominant 0.147532 0.199537 0.471471 999 0.147411 0.199473 0.472 1000
0.025 HET-HET Dominant 0.2075 0.251331 0.388388 999 0.207317 0.251272 0.389 1000
0.025 HET-HET Recessive 0.498862 0.28589 0.0570571 999 0.498862 0.28589 0.0570571 999
0.025 HET-HET Weighted 0.179491 0.248355 0.492492 999 0.179316 0.248293 0.493 1000
0.025 HR-HA Additive 0.259711 0.275419 0.296 1000 0.259711 0.275419 0.296 1000
0.025 HR-HA Codominant 0.175886 0.216466 0.407 1000 0.175886 0.216466 0.407 1000
0.025 HR-HA Dominant 0.427464 0.30288 0.114 1000 0.427464 0.30288 0.114 1000
0.025 HR-HA Recessive 0.423613 0.305454 0.118 1000 0.423613 0.305454 0.118 1000
0.025 HR-HA Weighted 0.26744 0.300099 0.343 1000 0.26744 0.300099 0.343 1000
0.025 HR-HET Additive 0.310354 0.294711 0.234 1000 0.310354 0.294711 0.234 1000
0.025 HR-HET Codominant 0.145398 0.195678 0.47 1000 0.145398 0.195678 0.47 1000
0.025 HR-HET Dominant 0.13048 0.204363 0.564 1000 0.13048 0.204363 0.564 1000
0.025 HR-HET Recessive 0.489233 0.283587 0.052 1000 0.489233 0.283587 0.052 1000
0.025 HR-HET Weighted 0.165615 0.238628 0.508 1000 0.165615 0.238628 0.508 1000
0.025 HR-HR Additive 0.13024 0.195854 0.534137 996 0.129843 0.195576 0.535 1000
0.025 HR-HR Codominant 0.135663 0.19315 0.493976 996 0.13557 0.193076 0.494483 997
0.025 HR-HR Dominant 0.0676044 0.138152 0.707831 996 0.0673788 0.137923 0.709 1000
0.025 HR-HR Recessive 0.484121 0.294737 0.0702811 996 0.484121 0.294737 0.0702811 996
0.025 HR-HR Weighted 0.139669 0.218281 0.545181 996 0.13921 0.217965 0.547 1000
0.05 HET-HA Additive 0.201623 0.254328 0.404404 999 0.202226 0.254914 0.404 1000
0.05 HET-HA Codominant 0.0088671 0.0438957 0.95996 999 0.0088671 0.0438957 0.95996 999
0.05 HET-HA Dominant 0.311052 0.289323 0.238238 999 0.311188 0.28921 0.238 1000
0.05 HET-HA Recessive 0.318156 0.294417 0.235235 999 0.318156 0.294417 0.235235 999
0.05 HET-HA Weighted 0.057138 0.165735 0.843844 999 0.0570808 0.165662 0.844 1000
0.05 HET-HET Additive 0.270968 0.284567 0.295295 999 0.270702 0.284549 0.296 1000
0.05 HET-HET Codominant 0.00354012 0.0199243 0.981982 999 0.00354012 0.0199243 0.981982 999
0.05 HET-HET Dominant 0.0154092 0.0515772 0.915916 999 0.0153938 0.0515537 0.916 1000
0.05 HET-HET Recessive 0.472975 0.290322 0.0710711 999 0.472975 0.290322 0.0710711 999
0.05 HET-HET Weighted 0.00143333 0.0071612 0.992993 999 0.00143189 0.00715776 0.993 1000
0.05 HR-HA Additive 0.040679 0.102681 0.818 1000 0.040679 0.102681 0.818 1000
0.05 HR-HA Codominant 0.00827097 0.0380592 0.967 1000 0.00827097 0.0380592 0.967 1000
0.05 HR-HA Dominant 0.255419 0.274538 0.305 1000 0.255419 0.274538 0.305 1000
0.05 HR-HA Recessive 0.274673 0.293938 0.315 1000 0.274673 0.293938 0.315 1000
0.05 HR-HA Weighted 0.0576766 0.165399 0.847 1000 0.0576766 0.165399 0.847 1000
0.05 HR-HET Additive 0.0963877 0.175058 0.642643 999 0.0963192 0.174984 0.643 1000
0.05 HR-HET Codominant 0.00420294 0.0208632 0.982983 999 0.00420294 0.0208632 0.982983 999
0.05 HR-HET Dominant 0.00463511 0.0253271 0.977978 999 0.0046308 0.0253148 0.978 1000
0.05 HR-HET Recessive 0.480356 0.294941 0.0730731 999 0.480356 0.294941 0.0730731 999
0.05 HR-HET Weighted 0.00202649 0.0168876 0.993994 999 0.00202537 0.0168792 0.994 1000
0.05 HR-HR Additive 0.00374429 0.0166422 0.985986 999 0.00374156 0.0166341 0.986 1000
0.05 HR-HR Codominant 0.00238608 0.0113701 0.986987 999 0.00238608 0.0113701 0.986987 999
0.05 HR-HR Dominant 0.000318138 0.00198435 1 999 0.00031782 0.00198338 1 1000
0.05 HR-HR Recessive 0.450831 0.291629 0.0760761 999 0.450831 0.291629 0.0760761 999
