SNR Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.01 ADD_x_ADD Additive 0.359337 0.285006 0.156627 996 0.35976 0.285598 0.157 1000
0.01 ADD_x_ADD Codominant 0.411539 0.284403 0.100402 996 0.411868 0.284234 0.1002 998
0.01 ADD_x_ADD Dominant 0.411981 0.300596 0.120482 996 0.411871 0.300485 0.121121 999
0.01 ADD_x_ADD Recessive 0.472861 0.289978 0.0692771 996 0.47339 0.290312 0.0692076 997
0.01 ADD_x_ADD Weighted 0.448485 0.299452 0.0853414 996 0.44873 0.299633 0.086 1000
0.01 ADD_x_DOM Additive 0.387094 0.293614 0.125 1000 0.387094 0.293614 0.125 1000
0.01 ADD_x_DOM Codominant 0.420763 0.292623 0.113 1000 0.420763 0.292623 0.113 1000
0.01 ADD_x_DOM Dominant 0.387233 0.295057 0.125 1000 0.387233 0.295057 0.125 1000
0.01 ADD_x_DOM Recessive 0.486031 0.290798 0.05 1000 0.486031 0.290798 0.05 1000
0.01 ADD_x_DOM Weighted 0.450622 0.299247 0.087 1000 0.450622 0.299247 0.087 1000
0.01 ADD_x_HET Additive 0.463286 0.299809 0.0990991 999 0.463406 0.299683 0.099 1000
0.01 ADD_x_HET Codominant 0.41786 0.293055 0.0860861 999 0.417818 0.292911 0.086 1000
0.01 ADD_x_HET Dominant 0.415772 0.297142 0.115115 999 0.415908 0.297024 0.115 1000
0.01 ADD_x_HET Recessive 0.496925 0.287453 0.0540541 999 0.496925 0.287453 0.0540541 999
0.01 ADD_x_HET Weighted 0.466629 0.29878 0.0820821 999 0.466381 0.298734 0.082 1000
0.01 ADD_x_SUB Additive 0.385383 0.300113 0.151 1000 0.385383 0.300113 0.151 1000
0.01 ADD_x_SUB Codominant 0.41804 0.298798 0.11 1000 0.41804 0.298798 0.11 1000
0.01 ADD_x_SUB Dominant 0.452641 0.298021 0.1 1000 0.452641 0.298021 0.1 1000
0.01 ADD_x_SUB Recessive 0.44119 0.306404 0.104 1000 0.44119 0.306404 0.104 1000
