SNR Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.01 ADD_+_ADD Additive 0.495285 0.287192 0.047047 999 0.495224 0.287055 0.047 1000
0.01 ADD_+_ADD Codominant 0.492679 0.292016 0.0630631 999 0.492905 0.291957 0.063 1000
0.01 ADD_+_ADD Dominant 0.500302 0.28615 0.0590591 999 0.500257 0.286011 0.059 1000
0.01 ADD Additive 0.510383 0.282684 0.0440882 998 0.509703 0.282854 0.044 1000
0.01 ADD_+_ADD Recessive 0.490815 0.286023 0.0500501 999 0.490815 0.286023 0.0500501 999
0.01 ADD_+_ADD Weighted 0.484909 0.284933 0.0500501 999 0.48496 0.284796 0.05 1000
0.01 ADD Codominant 0.497592 0.283796 0.0541082 998 0.497592 0.283796 0.0541082 998
0.01 ADD_+_DOM Additive 0.500353 0.295684 0.0511022 998 0.500049 0.29556 0.051 1000
0.01 ADD_+_DOM Codominant 0.487083 0.287677 0.0551102 998 0.487114 0.287535 0.0550551 999
0.01 ADD_+_DOM Dominant 0.493457 0.286962 0.0480962 998 0.493646 0.286728 0.048 1000
0.01 ADD Dominant 0.51181 0.281664 0.0290581 998 0.511879 0.281396 0.029 1000
0.01 ADD_+_DOM Recessive 0.499574 0.294413 0.0651303 998 0.499574 0.294413 0.0651303 998
0.01 ADD_+_DOM Weighted 0.491426 0.292419 0.0591182 998 0.491605 0.292479 0.059 1000
0.01 ADD_+_HET Additive 0.502326 0.289174 0.039 1000 0.502326 0.289174 0.039 1000
0.01 ADD_+_HET Codominant 0.497093 0.281461 0.053 1000 0.497093 0.281461 0.053 1000
0.01 ADD_+_HET Dominant 0.500043 0.286254 0.052 1000 0.500043 0.286254 0.052 1000
0.01 ADD_+_HET Recessive 0.508645 0.283555 0.04 1000 0.508645 0.283555 0.04 1000
0.01 ADD_+_HET Weighted 0.491007 0.286049 0.053 1000 0.491007 0.286049 0.053 1000
0.01 ADD Recessive 0.480162 0.291292 0.0641283 998 0.480162 0.291292 0.0641283 998
0.01 ADD_+_SUB Additive 0.51194 0.287496 0.0280561 998 0.51166 0.287543 0.028 1000
0.01 ADD_+_SUB Codominant 0.496509 0.291995 0.0551102 998 0.496532 0.29185 0.0550551 999
0.01 ADD_+_SUB Dominant 0.512963 0.289473 0.0390782 998 0.512942 0.289329 0.039039 999
0.01 ADD_+_SUB Recessive 0.492633 0.288887 0.0460922 998 0.492421 0.28882 0.046046 999
0.01 ADD_+_SUB Weighted 0.494222 0.285528 0.0501002 998 0.493531 0.285724 0.051 1000
0.01 ADD Weighted 0.511218 0.283786 0.0440882 998 0.511689 0.283737 0.044 1000
0.01 DOM Additive 0.506548 0.285435 0.037037 999 0.506704 0.285334 0.037 1000
0.01 DOM Codominant 0.508148 0.28923 0.049049 999 0.508443 0.289236 0.049 1000
0.01 DOM_+_DOM Additive 0.500995 0.286731 0.0510511 999 0.501481 0.287 0.051 1000
0.01 DOM_+_DOM Codominant 0.487162 0.289657 0.0600601 999 0.487074 0.289525 0.06 1000
0.01 DOM_+_DOM Dominant 0.496969 0.29188 0.038038 999 0.497171 0.291803 0.038 1000
0.01 DOM Dominant 0.502442 0.281461 0.042042 999 0.502822 0.281576 0.042 1000
0.01 DOM_+_DOM Recessive 0.494654 0.291033 0.0670671 999 0.494654 0.291033 0.0670671 999
0.01 DOM_+_DOM Weighted 0.494018 0.290744 0.0570571 999 0.493872 0.290635 0.057 1000
0.01 DOM Recessive 0.494602 0.294762 0.0570571 999 0.494602 0.294762 0.0570571 999
0.01 DOM_+_SUB Additive 0.491889 0.28518 0.048 1000 0.491889 0.28518 0.048 1000
0.01 DOM_+_SUB Codominant 0.498328 0.292485 0.055 1000 0.498328 0.292485 0.055 1000
0.01 DOM_+_SUB Dominant 0.493746 0.285489 0.045 1000 0.493746 0.285489 0.045 1000
