SNR Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.05 ADD_+_ADD Additive 0.500584 0.283982 0.0384226 989 0.501096 0.283394 0.038 1000
0.05 ADD_+_ADD Codominant 0.499338 0.29159 0.0586451 989 0.499338 0.29159 0.0586451 989
0.05 ADD_+_ADD Dominant 0.498215 0.284124 0.0515672 989 0.498762 0.283352 0.051 1000
0.05 ADD_+_ADD Recessive 0.500667 0.292032 0.0515672 989 0.500667 0.292032 0.0515672 989
0.05 ADD_+_ADD Weighted 0.506815 0.285381 0.0364004 989 0.506837 0.285353 0.036 1000
0.05 ADD Additive 0.478281 0.289671 0.0590591 999 0.477933 0.289736 0.059 1000
0.05 ADD Codominant 0.482633 0.288 0.046046 999 0.482633 0.288 0.046046 999
0.05 ADD Dominant 0.472591 0.290327 0.0770771 999 0.472309 0.290318 0.077 1000
0.05 ADD Recessive 0.501943 0.278562 0.047047 999 0.501943 0.278562 0.047047 999
0.05 ADD Weighted 0.49323 0.287842 0.047047 999 0.493012 0.28778 0.047 1000
0.05 ADD_+_DOM Additive 0.493954 0.289789 0.0461384 997 0.4938 0.289898 0.046 1000
0.05 ADD_+_DOM Codominant 0.490188 0.284848 0.0501505 997 0.490235 0.284709 0.0501002 998
0.05 ADD_+_DOM Dominant 0.507168 0.287883 0.0481444 997 0.50759 0.288012 0.048 1000
0.05 ADD_+_DOM Recessive 0.497966 0.293772 0.0611836 997 0.497966 0.293772 0.0611836 997
0.05 ADD_+_DOM Weighted 0.500766 0.286733 0.0431294 997 0.500973 0.286859 0.043 1000
0.05 ADD_+_HET Additive 0.488472 0.29101 0.0590591 999 0.488359 0.290886 0.059 1000
0.05 ADD_+_HET Codominant 0.501684 0.286781 0.0560561 999 0.501684 0.286781 0.0560561 999
0.05 ADD_+_HET Dominant 0.510958 0.297187 0.0520521 999 0.511102 0.297073 0.052 1000
0.05 ADD_+_HET Recessive 0.500764 0.286631 0.04004 999 0.500764 0.286631 0.04004 999
0.05 ADD_+_HET Weighted 0.506535 0.284436 0.045045 999 0.506571 0.284296 0.045 1000
0.05 ADD_+_SUB Additive 0.489287 0.282758 0.0453172 993 0.490335 0.282759 0.045 1000
0.05 ADD_+_SUB Codominant 0.485051 0.288455 0.0463243 993 0.485051 0.288455 0.0463243 993
0.05 ADD_+_SUB Dominant 0.494181 0.289815 0.0594159 993 0.493779 0.28983 0.059 1000
0.05 ADD_+_SUB Recessive 0.488978 0.283434 0.0443102 993 0.488978 0.283434 0.0443102 993
