MAF Samp_Size CC_Ratio Baseline Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.05 20000 2 0.25 ADD_+_ADD Additive 0.488479 0.299974 0.0630324 587 0.491679 0.295322 0.059 1000
0.05 20000 2 0.25 ADD_+_ADD Codominant 0.549167 0.283462 0.0408859 587 0.549167 0.283462 0.0408859 587
0.05 20000 2 0.25 ADD_+_ADD Dominant 0.481949 0.296151 0.0562181 587 0.489986 0.293543 0.054 1000
0.05 20000 2 0.25 ADD_+_ADD Recessive 0.997221 0.0369013 0 587 0.996742 0.0395782 0 848
0.05 20000 2 0.25 ADD_+_ADD Weighted 0.491748 0.295149 0.0545145 587 0.49643 0.291653 0.053 1000
0.05 20000 2 0.25 ADD Additive 0.49768 0.280191 0.0443262 564 0.498426 0.287093 0.048 1000
0.05 20000 2 0.25 ADD Codominant 0.557208 0.281682 0.0425532 564 0.557208 0.281682 0.0425532 564
0.05 20000 2 0.25 ADD Dominant 0.497348 0.283392 0.0425532 564 0.498094 0.28607 0.046 1000
0.05 20000 2 0.25 ADD Recessive 1 0 0 564 0.997226 0.0372279 0 861
0.05 20000 2 0.25 ADD Weighted 0.515754 0.280187 0.0390071 564 0.506474 0.289199 0.053 1000
0.05 20000 2 0.25 ADD_+_DOM Additive 0.472258 0.286533 0.0849558 565 0.479211 0.287424 0.078 1000
0.05 20000 2 0.25 ADD_+_DOM Codominant 0.552199 0.291138 0.0424779 565 0.552199 0.291138 0.0424779 565
0.05 20000 2 0.25 ADD_+_DOM Dominant 0.477612 0.289093 0.0778761 565 0.482417 0.291929 0.072 1000
0.05 20000 2 0.25 ADD_+_DOM Recessive 0.996895 0.0394775 0 565 0.995327 0.0472704 0 855
0.05 20000 2 0.25 ADD_+_DOM Weighted 0.473478 0.287766 0.079646 565 0.481148 0.290308 0.068 1000
0.05 20000 2 0.25 ADD_+_HET Additive 0.465239 0.297097 0.0848586 601 0.476563 0.295456 0.072 1000
0.05 20000 2 0.25 ADD_+_HET Codominant 0.528775 0.279307 0.0366057 601 0.528775 0.279307 0.0366057 601
0.05 20000 2 0.25 ADD_+_HET Dominant 0.470034 0.296456 0.0665557 601 0.480206 0.293441 0.062 1000
0.05 20000 2 0.25 ADD_+_HET Recessive 0.999672 0.00804594 0 601 0.999775 0.00665857 0 878
0.05 20000 2 0.25 ADD_+_HET Weighted 0.47171 0.297017 0.0715474 601 0.481717 0.296079 0.064 1000
0.05 20000 2 0.25 ADD_+_SUB Additive 0.504738 0.280549 0.0490998 611 0.50839 0.282125 0.05 1000
0.05 20000 2 0.25 ADD_+_SUB Codominant 0.552146 0.27565 0.0278232 611 0.552146 0.27565 0.0278232 611
0.05 20000 2 0.25 ADD_+_SUB Dominant 0.496768 0.28333 0.0360065 611 0.504561 0.283874 0.037 1000
0.05 20000 2 0.25 ADD_+_SUB Recessive 0.995381 0.0485131 0 611 0.995938 0.0470929 0 866
0.05 20000 2 0.25 ADD_+_SUB Weighted 0.517842 0.282519 0.0392799 611 0.509449 0.278868 0.043 1000
0.05 20000 2 0.25 ADD_x_ADD Additive 0.136163 0.208519 0.524288 597 0.125685 0.203494 0.568 1000
0.05 20000 2 0.25 ADD_x_ADD Codominant 0.220087 0.243043 0.318258 597 0.220087 0.243043 0.318258 597
0.05 20000 2 0.25 ADD_x_ADD Dominant 0.136235 0.203612 0.529313 597 0.133027 0.206746 0.545 1000
0.05 20000 2 0.25 ADD_x_ADD Recessive 0.99744 0.0375505 0 597 0.996727 0.0387399 0 858
0.05 20000 2 0.25 ADD_x_ADD Weighted 0.35728 0.307423 0.19598 597 0.330387 0.30767 0.254254 999
0.05 20000 2 0.25 ADD_x_DOM Additive 0.00650386 0.0346525 0.975 560 0.0051612 0.0276884 0.979 1000
0.05 20000 2 0.25 ADD_x_DOM Codominant 0.0153008 0.0459828 0.926786 560 0.0152466 0.0459099 0.927046 562
0.05 20000 2 0.25 ADD_x_DOM Dominant 0.00566837 0.0366346 0.980357 560 0.00483007 0.0290631 0.981 1000
0.05 20000 2 0.25 ADD_x_DOM Recessive 0.998397 0.0228765 0 560 0.998894 0.0185829 0 857
0.05 20000 2 0.25 ADD_x_DOM Weighted 0.126396 0.231149 0.666071 560 0.126061 0.232784 0.667 1000
0.05 20000 2 0.25 ADD_x_HET Additive 0.00914476 0.0505859 0.961938 578 0.00813306 0.0434623 0.964 1000
0.05 20000 2 0.25 ADD_x_HET Codominant 0.0164965 0.0531004 0.923875 578 0.0164965 0.0531004 0.923875 578
0.05 20000 2 0.25 ADD_x_HET Dominant 0.007533 0.0431963 0.975779 578 0.00625579 0.0350998 0.976 1000
0.05 20000 2 0.25 ADD_x_HET Recessive 0.999286 0.0115423 0 578 0.998941 0.0137937 0 883
0.05 20000 2 0.25 ADD_x_HET Weighted 0.121869 0.225422 0.67474 578 0.118581 0.2287 0.688 1000
0.05 20000 2 0.25 ADD_x_SUB Additive 0.333746 0.295729 0.185374 588 0.305029 0.290576 0.232 1000
0.05 20000 2 0.25 ADD_x_SUB Codominant 0.419491 0.283833 0.0918367 588 0.419943 0.283689 0.0915254 590
0.05 20000 2 0.25 ADD_x_SUB Dominant 0.337187 0.2933 0.180272 588 0.318025 0.289435 0.213 1000
0.05 20000 2 0.25 ADD_x_SUB Recessive 1 0 0 588 0.999367 0.0146066 0 839
0.05 20000 2 0.25 ADD_x_SUB Weighted 0.43589 0.292871 0.0918367 588 0.396868 0.297457 0.134134 999
