MAF Samp_Size CC_Ratio Baseline Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.1 20000 1 0.25 ADD_x_ADD Additive 0.0157696 0.0563303 0.919765 511 0.0137861 0.0488458 0.931 1000
0.1 20000 1 0.25 ADD_x_ADD Codominant 0.0484619 0.11851 0.818004 511 0.0484619 0.11851 0.818004 511
0.1 20000 1 0.25 ADD_x_ADD Dominant 0.0212903 0.0713185 0.90998 511 0.0199124 0.064906 0.912 1000
0.1 20000 1 0.25 ADD_x_ADD Recessive 0.656086 0.320668 0.0234834 511 0.656086 0.320668 0.0234834 511
0.1 20000 1 0.25 ADD_x_ADD Weighted 0.138117 0.246432 0.645793 511 0.128038 0.230589 0.649 1000
0.1 20000 1 0.25 ADD_x_DOM Additive 9.69949e-06 0.000127789 1 546 1.06002e-05 0.000115811 1 1000
0.1 20000 1 0.25 ADD_x_DOM Codominant 7.5892e-05 0.000876223 1 546 7.5892e-05 0.000876223 1 546
0.1 20000 1 0.25 ADD_x_DOM Dominant 5.74324e-06 4.75828e-05 1 546 5.46545e-06 5.09991e-05 1 1000
0.1 20000 1 0.25 ADD_x_DOM Recessive 0.676292 0.301696 0.010989 546 0.676292 0.301696 0.010989 546
0.1 20000 1 0.25 ADD_x_DOM Weighted 0.00487892 0.0459348 0.981685 546 0.00343644 0.038601 0.989 1000
0.1 20000 1 0.25 ADD_x_HET Additive 4.59615e-05 0.000258686 1 447 9.14188e-05 0.00109229 1 1000
0.1 20000 1 0.25 ADD_x_HET Codominant 7.19866e-05 0.000379443 1 447 7.19866e-05 0.000379443 1 447
0.1 20000 1 0.25 ADD_x_HET Dominant 1.70281e-05 9.6038e-05 1 447 2.20934e-05 0.000234043 1 1000
0.1 20000 1 0.25 ADD_x_HET Recessive 0.709819 0.287618 0.0111857 447 0.709819 0.287618 0.0111857 447
0.1 20000 1 0.25 ADD_x_HET Weighted 0.00345953 0.0478549 0.993289 447 0.00289412 0.0369233 0.992 1000
0.1 20000 1 0.25 ADD_x_SUB Additive 0.115678 0.186407 0.584416 539 0.121653 0.203963 0.582 1000
0.1 20000 1 0.25 ADD_x_SUB Codominant 0.202163 0.246869 0.397032 539 0.202163 0.246869 0.397032 539
0.1 20000 1 0.25 ADD_x_SUB Dominant 0.159864 0.22 0.478664 539 0.160465 0.226262 0.477 1000
0.1 20000 1 0.25 ADD_x_SUB Recessive 0.63663 0.32709 0.0204082 539 0.63663 0.32709 0.0204082 539
0.1 20000 1 0.25 ADD_x_SUB Weighted 0.317802 0.306531 0.265306 539 0.303585 0.30464 0.294 1000
0.1 20000 1 0.25 DOM_x_DOM Additive 1.11771e-17 1.65593e-16 1 503 4.83132e-14 1.4629e-12 1 1000
0.1 20000 1 0.25 DOM_x_DOM Codominant 5.27527e-18 5.57445e-17 1 503 5.27527e-18 5.57445e-17 1 503
0.1 20000 1 0.25 DOM_x_DOM Dominant 6.51459e-20 7.34569e-19 1 503 3.00588e-16 8.36123e-15 1 1000
0.1 20000 1 0.25 DOM_x_DOM Recessive 0.667638 0.306735 0.0198807 503 0.667638 0.306735 0.0198807 503
0.1 20000 1 0.25 DOM_x_DOM Weighted 6.52146e-17 1.21094e-15 1 503 2.40784e-15 6.12134e-14 1 1000
