MAF Samp_Size CC_Ratio Baseline Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.5 20000 2 0.25 ADD_+_ADD Additive 0.438949 0.299919 0.092 1000 0.438949 0.299919 0.092 1000
0.5 20000 2 0.25 ADD_+_ADD Codominant 0.448925 0.29348 0.085 1000 0.448925 0.29348 0.085 1000
0.5 20000 2 0.25 ADD_+_ADD Dominant 0.435849 0.300257 0.094 1000 0.435849 0.300257 0.094 1000
0.5 20000 2 0.25 ADD_+_ADD Recessive 0.483334 0.288906 0.07 1000 0.483334 0.288906 0.07 1000
0.5 20000 2 0.25 ADD_+_ADD Weighted 0.433613 0.29779 0.092 1000 0.433613 0.29779 0.092 1000
0.5 20000 2 0.25 ADD Additive 0.492128 0.287884 0.053 1000 0.492128 0.287884 0.053 1000
0.5 20000 2 0.25 ADD Codominant 0.501992 0.289608 0.048 1000 0.501992 0.289608 0.048 1000
0.5 20000 2 0.25 ADD Dominant 0.498065 0.287965 0.057 1000 0.498065 0.287965 0.057 1000
0.5 20000 2 0.25 ADD Recessive 0.495333 0.283504 0.047 1000 0.495333 0.283504 0.047 1000
0.5 20000 2 0.25 ADD Weighted 0.488359 0.285151 0.051 1000 0.488359 0.285151 0.051 1000
0.5 20000 2 0.25 ADD_+_DOM Additive 0.458237 0.297493 0.077 1000 0.458237 0.297493 0.077 1000
0.5 20000 2 0.25 ADD_+_DOM Codominant 0.435683 0.292601 0.085 1000 0.435683 0.292601 0.085 1000
0.5 20000 2 0.25 ADD_+_DOM Dominant 0.413582 0.305923 0.124 1000 0.413582 0.305923 0.124 1000
0.5 20000 2 0.25 ADD_+_DOM Recessive 0.490744 0.287869 0.054 1000 0.490744 0.287869 0.054 1000
0.5 20000 2 0.25 ADD_+_DOM Weighted 0.401629 0.300763 0.113 1000 0.401629 0.300763 0.113 1000
0.5 20000 2 0.25 ADD_+_HET Additive 0.530066 0.28698 0.048 1000 0.530066 0.28698 0.048 1000
0.5 20000 2 0.25 ADD_+_HET Codominant 0.423838 0.296646 0.101 1000 0.423838 0.296646 0.101 1000
0.5 20000 2 0.25 ADD_+_HET Dominant 0.449842 0.302374 0.085 1000 0.449842 0.302374 0.085 1000
0.5 20000 2 0.25 ADD_+_HET Recessive 0.481993 0.292978 0.067 1000 0.481993 0.292978 0.067 1000
0.5 20000 2 0.25 ADD_+_HET Weighted 0.381662 0.307213 0.159 1000 0.381662 0.307213 0.159 1000
0.5 20000 2 0.25 ADD_+_SUB Additive 0.420414 0.305873 0.118 1000 0.420414 0.305873 0.118 1000
0.5 20000 2 0.25 ADD_+_SUB Codominant 0.448863 0.29883 0.07 1000 0.448863 0.29883 0.07 1000
0.5 20000 2 0.25 ADD_+_SUB Dominant 0.45709 0.301977 0.078 1000 0.45709 0.301977 0.078 1000
0.5 20000 2 0.25 ADD_+_SUB Recessive 0.474422 0.292539 0.063 1000 0.474422 0.292539 0.063 1000
0.5 20000 2 0.25 ADD_+_SUB Weighted 0.432003 0.298838 0.108 1000 0.432003 0.298838 0.108 1000
0.5 20000 2 0.25 ADD_x_ADD Additive 1.92055e-12 5.31152e-11 1 1000 1.92055e-12 5.31152e-11 1 1000
0.5 20000 2 0.25 ADD_x_ADD Codominant 1.52407e-10 4.69106e-09 1 1000 1.52407e-10 4.69106e-09 1 1000
0.5 20000 2 0.25 ADD_x_ADD Dominant 3.97105e-06 6.10415e-05 1 1000 3.97105e-06 6.10415e-05 1 1000
0.5 20000 2 0.25 ADD_x_ADD Recessive 9.78352e-05 0.00136649 1 1000 9.78352e-05 0.00136649 1 1000
0.5 20000 2 0.25 ADD_x_ADD Weighted 6.48376e-12 1.99302e-10 1 1000 6.48376e-12 1.99302e-10 1 1000
0.5 20000 2 0.25 ADD_x_DOM Additive 2.62988e-12 6.45889e-11 1 1000 2.62988e-12 6.45889e-11 1 1000
0.5 20000 2 0.25 ADD_x_DOM Codominant 7.08924e-15 2.01369e-13 1 1000 7.08924e-15 2.01369e-13 1 1000
0.5 20000 2 0.25 ADD_x_DOM Dominant 2.87802e-12 8.08517e-11 1 1000 2.87802e-12 8.08517e-11 1 1000
0.5 20000 2 0.25 ADD_x_DOM Recessive 0.0478365 0.116208 0.798 1000 0.0478365 0.116208 0.798 1000
0.5 20000 2 0.25 ADD_x_DOM Weighted 4.97296e-17 1.4812e-15 1 1000 4.97296e-17 1.4812e-15 1 1000
0.5 20000 2 0.25 ADD_x_HET Additive 0.485158 0.285767 0.056 1000 0.485158 0.285767 0.056 1000
0.5 20000 2 0.25 ADD_x_HET Codominant 2.90519e-24 9.09112e-23 1 1000 2.90519e-24 9.09112e-23 1 1000
0.5 20000 2 0.25 ADD_x_HET Dominant 2.12421e-06 5.63935e-05 1 1000 2.12421e-06 5.63935e-05 1 1000
0.5 20000 2 0.25 ADD_x_HET Recessive 6.443e-06 0.000117233 1 1000 6.443e-06 0.000117233 1 1000
0.5 20000 2 0.25 ADD_x_HET Weighted 6.98746e-27 2.17786e-25 1 1000 6.98746e-27 2.17786e-25 1 1000
0.5 20000 2 0.25 ADD_x_SUB Additive 3.36177e-12 1.05366e-10 1 1000 3.36177e-12 1.05366e-10 1 1000
0.5 20000 2 0.25 ADD_x_SUB Codominant 7.38877e-11 2.32808e-09 1 1000 7.38877e-11 2.32808e-09 1 1000
0.5 20000 2 0.25 ADD_x_SUB Dominant 9.85275e-05 0.000760786 1 1000 9.85275e-05 0.000760786 1 1000
0.5 20000 2 0.25 ADD_x_SUB Recessive 8.97127e-08 1.5668e-06 1 1000 8.97127e-08 1.5668e-06 1 1000
0.5 20000 2 0.25 ADD_x_SUB Weighted 4.81654e-13 1.50889e-11 1 1000 4.81654e-13 1.50889e-11 1 1000
0.5 20000 2 0.25 DOM Additive 0.502536 0.288015 0.054 1000 0.502536 0.288015 0.054 1000
0.5 20000 2 0.25 DOM Codominant 0.491728 0.28742 0.057 1000 0.491728 0.28742 0.057 1000
0.5 20000 2 0.25 DOM Dominant 0.498334 0.292807 0.056 1000 0.498334 0.292807 0.056 1000
0.5 20000 2 0.25 DOM Recessive 0.49243 0.290774 0.047 1000 0.49243 0.290774 0.047 1000
0.5 20000 2 0.25 DOM Weighted 0.494414 0.29039 0.053 1000 0.494414 0.29039 0.053 1000
0.5 20000 2 0.25 DOM_+_DOM Additive 0.48582 0.290806 0.062 1000 0.48582 0.290806 0.062 1000
0.5 20000 2 0.25 DOM_+_DOM Codominant 0.421971 0.298146 0.106 1000 0.421971 0.298146 0.106 1000
