MAF Samp_Size CC_Ratio Baseline Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.5 20000 2 0.25 ADD_x_ADD Additive 1.92055e-12 5.31152e-11 1 1000 1.92055e-12 5.31152e-11 1 1000
0.5 20000 2 0.25 ADD_x_ADD Codominant 1.52407e-10 4.69106e-09 1 1000 1.52407e-10 4.69106e-09 1 1000
0.5 20000 2 0.25 ADD_x_ADD Dominant 3.97105e-06 6.10415e-05 1 1000 3.97105e-06 6.10415e-05 1 1000
0.5 20000 2 0.25 ADD_x_ADD Recessive 9.78352e-05 0.00136649 1 1000 9.78352e-05 0.00136649 1 1000
0.5 20000 2 0.25 ADD_x_ADD Weighted 6.48376e-12 1.99302e-10 1 1000 6.48376e-12 1.99302e-10 1 1000
0.5 20000 2 0.25 ADD_x_DOM Additive 2.62988e-12 6.45889e-11 1 1000 2.62988e-12 6.45889e-11 1 1000
0.5 20000 2 0.25 ADD_x_DOM Codominant 7.08924e-15 2.01369e-13 1 1000 7.08924e-15 2.01369e-13 1 1000
0.5 20000 2 0.25 ADD_x_DOM Dominant 2.87802e-12 8.08517e-11 1 1000 2.87802e-12 8.08517e-11 1 1000
0.5 20000 2 0.25 ADD_x_DOM Recessive 0.0478365 0.116208 0.798 1000 0.0478365 0.116208 0.798 1000
0.5 20000 2 0.25 ADD_x_DOM Weighted 4.97296e-17 1.4812e-15 1 1000 4.97296e-17 1.4812e-15 1 1000
0.5 20000 2 0.25 ADD_x_HET Additive 0.485158 0.285767 0.056 1000 0.485158 0.285767 0.056 1000
0.5 20000 2 0.25 ADD_x_HET Codominant 2.90519e-24 9.09112e-23 1 1000 2.90519e-24 9.09112e-23 1 1000
0.5 20000 2 0.25 ADD_x_HET Dominant 2.12421e-06 5.63935e-05 1 1000 2.12421e-06 5.63935e-05 1 1000
0.5 20000 2 0.25 ADD_x_HET Recessive 6.443e-06 0.000117233 1 1000 6.443e-06 0.000117233 1 1000
0.5 20000 2 0.25 ADD_x_HET Weighted 6.98746e-27 2.17786e-25 1 1000 6.98746e-27 2.17786e-25 1 1000
0.5 20000 2 0.25 ADD_x_SUB Additive 3.36177e-12 1.05366e-10 1 1000 3.36177e-12 1.05366e-10 1 1000
0.5 20000 2 0.25 ADD_x_SUB Codominant 7.38877e-11 2.32808e-09 1 1000 7.38877e-11 2.32808e-09 1 1000
0.5 20000 2 0.25 ADD_x_SUB Dominant 9.85275e-05 0.000760786 1 1000 9.85275e-05 0.000760786 1 1000
0.5 20000 2 0.25 ADD_x_SUB Recessive 8.97127e-08 1.5668e-06 1 1000 8.97127e-08 1.5668e-06 1 1000
0.5 20000 2 0.25 ADD_x_SUB Weighted 4.81654e-13 1.50889e-11 1 1000 4.81654e-13 1.50889e-11 1 1000
0.5 20000 2 0.25 DOM_x_DOM Additive 8.28965e-11 2.49845e-09 1 1000 8.28965e-11 2.49845e-09 1 1000
0.5 20000 2 0.25 DOM_x_DOM Codominant 4.62497e-22 1.38382e-20 1 1000 4.62497e-22 1.38382e-20 1 1000
0.5 20000 2 0.25 DOM_x_DOM Dominant 1.09381e-24 2.70796e-23 1 1000 1.09381e-24 2.70796e-23 1 1000
0.5 20000 2 0.25 DOM_x_DOM Recessive 0.272511 0.280005 0.291 1000 0.272511 0.280005 0.291 1000
0.5 20000 2 0.25 DOM_x_DOM Weighted 2.49589e-24 5.7636e-23 1 1000 2.49589e-24 5.7636e-23 1 1000
0.5 20000 2 0.25 DOM_x_SUB Additive 7.31851e-11 1.72026e-09 1 1000 7.31851e-11 1.72026e-09 1 1000
0.5 20000 2 0.25 DOM_x_SUB Codominant 3.09934e-19 8.38832e-18 1 1000 3.09934e-19 8.38832e-18 1 1000
0.5 20000 2 0.25 DOM_x_SUB Dominant 2.02829e-08 3.73713e-07 1 1000 2.02829e-08 3.73713e-07 1 1000
0.5 20000 2 0.25 DOM_x_SUB Recessive 0.0125426 0.054044 0.949 1000 0.0125426 0.054044 0.949 1000
0.5 20000 2 0.25 DOM_x_SUB Weighted 5.51257e-21 1.39291e-19 1 1000 5.51257e-21 1.39291e-19 1 1000
0.5 20000 2 0.25 HET-HA Additive 0.506164 0.293589 0.057 1000 0.506164 0.293589 0.057 1000
0.5 20000 2 0.25 HET-HA Codominant 1.65026e-43 5.11787e-42 1 1000 1.65026e-43 5.11787e-42 1 1000
0.5 20000 2 0.25 HET-HA Dominant 0.0137962 0.0607051 0.947 1000 0.0137962 0.0607051 0.947 1000
0.5 20000 2 0.25 HET-HA Recessive 1.4838e-15 2.37496e-14 1 1000 1.4838e-15 2.37496e-14 1 1000
0.5 20000 2 0.25 HET-HA Weighted 1.07182e-45 3.34817e-44 1 1000 1.07182e-45 3.34817e-44 1 1000
0.5 20000 2 0.25 HET-HET Additive 0.507608 0.287104 0.039 1000 0.507608 0.287104 0.039 1000
0.5 20000 2 0.25 HET-HET Codominant 1.52378e-56 4.52065e-55 1 1000 1.52378e-56 4.52065e-55 1 1000
0.5 20000 2 0.25 HET-HET Dominant 1.20569e-06 1.88298e-05 1 1000 1.20569e-06 1.88298e-05 1 1000
0.5 20000 2 0.25 HET-HET Recessive 8.14611e-07 8.89422e-06 1 1000 8.14611e-07 8.89422e-06 1 1000
0.5 20000 2 0.25 HET-HET Weighted 6.1944e-59 1.54416e-57 1 1000 6.1944e-59 1.54416e-57 1 1000
0.5 20000 2 0.25 HET_x_DOM Additive 0.499867 0.297173 0.064 1000 0.499867 0.297173 0.064 1000
0.5 20000 2 0.25 HET_x_DOM Codominant 3.20419e-35 1.00624e-33 1 1000 3.20419e-35 1.00624e-33 1 1000
0.5 20000 2 0.25 HET_x_DOM Dominant 2.88094e-13 4.88214e-12 1 1000 2.88094e-13 4.88214e-12 1 1000
0.5 20000 2 0.25 HET_x_DOM Recessive 0.0350627 0.0947038 0.839 1000 0.0350627 0.0947038 0.839 1000
0.5 20000 2 0.25 HET_x_DOM Weighted 2.20567e-36 6.97063e-35 1 1000 2.20567e-36 6.97063e-35 1 1000
0.5 20000 2 0.25 HET_x_HET Additive 0.501414 0.285582 0.046 1000 0.501414 0.285582 0.046 1000
0.5 20000 2 0.25 HET_x_HET Codominant 1.53995e-59 3.62367e-58 1 1000 1.53995e-59 3.62367e-58 1 1000
0.5 20000 2 0.25 HET_x_HET Dominant 7.2303e-07 8.80464e-06 1 1000 7.2303e-07 8.80464e-06 1 1000
0.5 20000 2 0.25 HET_x_HET Recessive 9.80471e-07 1.32727e-05 1 1000 9.80471e-07 1.32727e-05 1 1000
0.5 20000 2 0.25 HET_x_HET Weighted 0.000157705 0.00498458 0.999 1000 0.000157705 0.00498458 0.999 1000
0.5 20000 2 0.25 HET_x_SUB Additive 0.486906 0.293079 0.054 1000 0.486906 0.293079 0.054 1000
0.5 20000 2 0.25 HET_x_SUB Codominant 3.49855e-29 1.05793e-27 1 1000 3.49855e-29 1.05793e-27 1 1000
0.5 20000 2 0.25 HET_x_SUB Dominant 0.000235558 0.00245009 0.999 1000 0.000235558 0.00245009 0.999 1000
0.5 20000 2 0.25 HET_x_SUB Recessive 2.59436e-09 4.54968e-08 1 1000 2.59436e-09 4.54968e-08 1 1000
0.5 20000 2 0.25 HET_x_SUB Weighted 5.82563e-32 1.50226e-30 1 1000 5.82563e-32 1.50226e-30 1 1000
0.5 20000 2 0.25 HR-HA Additive 6.84245e-17 1.16269e-15 1 1000 6.84245e-17 1.16269e-15 1 1000
0.5 20000 2 0.25 HR-HA Codominant 8.7487e-32 2.29463e-30 1 1000 8.7487e-32 2.29463e-30 1 1000
