MAF Samp_Size CC_Ratio Baseline Model Encoding Avg_pval SE_pval Power num_conv Avg_pval_indiv SE_pval_indiv Power_indiv num_conv_indiv
0.05 20000 2 0.25 ADD_+_ADD Additive 0.488479 0.299974 0.0630324 587 0.491679 0.295322 0.059 1000
0.05 20000 2 0.25 ADD_+_ADD Codominant 0.549167 0.283462 0.0408859 587 0.549167 0.283462 0.0408859 587
0.05 20000 2 0.25 ADD_+_ADD Dominant 0.481949 0.296151 0.0562181 587 0.489986 0.293543 0.054 1000
0.05 20000 2 0.25 ADD_+_ADD Recessive 0.997221 0.0369013 0 587 0.996742 0.0395782 0 848
0.05 20000 2 0.25 ADD_+_ADD Weighted 0.491748 0.295149 0.0545145 587 0.49643 0.291653 0.053 1000
0.05 20000 2 0.25 ADD Additive 0.49768 0.280191 0.0443262 564 0.498426 0.287093 0.048 1000
0.05 20000 2 0.25 ADD Codominant 0.557208 0.281682 0.0425532 564 0.557208 0.281682 0.0425532 564
0.05 20000 2 0.25 ADD Dominant 0.497348 0.283392 0.0425532 564 0.498094 0.28607 0.046 1000
0.05 20000 2 0.25 ADD Recessive 1 0 0 564 0.997226 0.0372279 0 861
0.05 20000 2 0.25 ADD Weighted 0.515754 0.280187 0.0390071 564 0.506474 0.289199 0.053 1000
0.05 20000 2 0.25 ADD_+_DOM Additive 0.472258 0.286533 0.0849558 565 0.479211 0.287424 0.078 1000
0.05 20000 2 0.25 ADD_+_DOM Codominant 0.552199 0.291138 0.0424779 565 0.552199 0.291138 0.0424779 565
0.05 20000 2 0.25 ADD_+_DOM Dominant 0.477612 0.289093 0.0778761 565 0.482417 0.291929 0.072 1000
0.05 20000 2 0.25 ADD_+_DOM Recessive 0.996895 0.0394775 0 565 0.995327 0.0472704 0 855
0.05 20000 2 0.25 ADD_+_DOM Weighted 0.473478 0.287766 0.079646 565 0.481148 0.290308 0.068 1000
0.05 20000 2 0.25 ADD_+_HET Additive 0.465239 0.297097 0.0848586 601 0.476563 0.295456 0.072 1000
0.05 20000 2 0.25 ADD_+_HET Codominant 0.528775 0.279307 0.0366057 601 0.528775 0.279307 0.0366057 601
0.05 20000 2 0.25 ADD_+_HET Dominant 0.470034 0.296456 0.0665557 601 0.480206 0.293441 0.062 1000
0.05 20000 2 0.25 ADD_+_HET Recessive 0.999672 0.00804594 0 601 0.999775 0.00665857 0 878
0.05 20000 2 0.25 ADD_+_HET Weighted 0.47171 0.297017 0.0715474 601 0.481717 0.296079 0.064 1000
0.05 20000 2 0.25 ADD_+_SUB Additive 0.504738 0.280549 0.0490998 611 0.50839 0.282125 0.05 1000
0.05 20000 2 0.25 ADD_+_SUB Codominant 0.552146 0.27565 0.0278232 611 0.552146 0.27565 0.0278232 611
0.05 20000 2 0.25 ADD_+_SUB Dominant 0.496768 0.28333 0.0360065 611 0.504561 0.283874 0.037 1000
0.05 20000 2 0.25 ADD_+_SUB Recessive 0.995381 0.0485131 0 611 0.995938 0.0470929 0 866
0.05 20000 2 0.25 ADD_+_SUB Weighted 0.517842 0.282519 0.0392799 611 0.509449 0.278868 0.043 1000
0.05 20000 2 0.25 DOM Additive 0.475739 0.288609 0.0441696 566 0.489664 0.286781 0.041 1000
0.05 20000 2 0.25 DOM Codominant 0.55703 0.280938 0.0194346 566 0.55703 0.280938 0.0194346 566
0.05 20000 2 0.25 DOM Dominant 0.484008 0.288209 0.0441696 566 0.500682 0.282916 0.035 1000
0.05 20000 2 0.25 DOM Recessive 0.998095 0.0325806 0 566 0.998009 0.0329317 0 869
0.05 20000 2 0.25 DOM Weighted 0.514178 0.280747 0.024735 566 0.494386 0.285139 0.033 1000
0.05 20000 2 0.25 DOM_+_DOM Additive 0.446314 0.287705 0.090573 541 0.471788 0.285736 0.066 1000
0.05 20000 2 0.25 DOM_+_DOM Codominant 0.536234 0.285435 0.0499076 541 0.536234 0.285435 0.0499076 541
0.05 20000 2 0.25 DOM_+_DOM Dominant 0.452277 0.28939 0.0794824 541 0.476082 0.290378 0.067 1000
0.05 20000 2 0.25 DOM_+_DOM Recessive 0.997447 0.0359424 0 541 0.996119 0.0477432 0 854
0.05 20000 2 0.25 DOM_+_DOM Weighted 0.453878 0.288907 0.0794824 541 0.477995 0.289979 0.067 1000
0.05 20000 2 0.25 DOM_+_SUB Additive 0.482164 0.280314 0.0448833 557 0.495684 0.282927 0.041 1000
0.05 20000 2 0.25 DOM_+_SUB Codominant 0.564035 0.274618 0.0287253 557 0.563716 0.274475 0.0286738 558
0.05 20000 2 0.25 DOM_+_SUB Dominant 0.48351 0.277161 0.0394973 557 0.501818 0.28124 0.042 1000
0.05 20000 2 0.25 DOM_+_SUB Recessive 0.997988 0.0339268 0 557 0.996946 0.0452501 0 844
0.05 20000 2 0.25 DOM_+_SUB Weighted 0.484319 0.283294 0.0520646 557 0.487989 0.288638 0.05 1000
0.05 20000 2 0.25 HET Additive 0.485971 0.291893 0.0591304 575 0.482118 0.293509 0.065 1000
0.05 20000 2 0.25 HET Codominant 0.537472 0.283184 0.0313043 575 0.537907 0.28313 0.03125 576
0.05 20000 2 0.25 HET Dominant 0.49291 0.29114 0.053913 575 0.491637 0.28987 0.052 1000
0.05 20000 2 0.25 HET Recessive 0.999939 0.00146875 0 575 0.999628 0.00827304 0 899
0.05 20000 2 0.25 HET Weighted 0.509162 0.287882 0.0713043 575 0.478302 0.289413 0.075 1000
0.05 20000 2 0.25 HET_+_DOM Additive 0.425444 0.300024 0.0945946 592 0.441795 0.301883 0.08 1000
