unique.x.Model.	unique.x.Encoding.	MAF	Samp_Size	Baseline	CC_Ratio
ADD	Additive	0.990562593802613	0.570055189007907	0.0112368281755624	0.0276716912331462
ADD_+_ADD	Additive	0.370651896683949	4.52486442495499e-10	0.0019172495121501	0.000898206381464001
ADD_+_DOM	Additive	0.000105830055724478	5.28148469004613e-09	0.410050996804738	1.672657749304e-07
ADD_+_HET	Additive	3.41588356117591e-07	5.01975376381556e-08	0.00136079505196406	1.32148466536885e-13
ADD_+_SUB	Additive	7.92171253203321e-06	9.48424324640896e-08	0.000260848861144126	0.109579372744657
ADD_x_ADD	Additive	5.64657062370666e-15	2.16502484731697e-11	0.0105082971260349	0.240747727832249
ADD_x_DOM	Additive	3.39712528182778e-06	6.40747031773703e-09	0.0145641066556627	0.500931593615356
ADD_x_HET	Additive	8.97983670323106e-20	0.00138378959009091	0.236428467710884	0.899743906204231
ADD_x_SUB	Additive	4.66969329003344e-26	4.00253016799681e-10	0.00648083104782513	0.237663582252481
DOM	Additive	0.0332398145835484	0.780938522218777	0.0207538028964845	5.989098226482e-09
DOM_+_DOM	Additive	0.316948846065285	7.34310778018365e-07	0.0492640920082687	1.2075300990155e-05
DOM_+_SUB	Additive	0.306362719046597	6.69504990089085e-07	0.195926151293493	1.2781457575969e-05
DOM_x_DOM	Additive	0.28437057446765	7.77829745578113e-06	0.00639968235423118	0.623060808749698
DOM_x_SUB	Additive	1.92031396010464e-13	2.13841075762731e-10	0.00891136022444303	0.282524685055597
HET	Additive	0.0136665255939857	0.722999629023074	0.162974984588578	6.8009757875568e-11
HET_+_DOM	Additive	1.89861947485936e-12	6.69487039515516e-06	0.390472447738142	1.17466053588405e-20
HET-HA	Additive	0.572767733787919	0.00866965800516988	0.44233747145819	0.885613470324484
HET_+_HET	Additive	2.09039170195124e-09	2.87218479205019e-05	0.383040373515785	2.41193030168025e-21
HET-HET	Additive	6.54784936841015e-31	0.0307287412761085	0.511903742382905	0.715054568940195
HET_+_SUB	Additive	0.00222932407268235	0.0014031744208912	0.00173325000963613	7.0228463755102e-08
HET_x_DOM	Additive	4.07531871131212e-27	0.291071727003281	0.724965954903083	0.762892310361448
HET_x_HET	Additive	4.26895167239243e-31	0.0239532062323243	0.525136862922301	0.754819181922399
HET_x_SUB	Additive	2.82483510570465e-09	5.72243336868395e-06	0.166752086789077	0.845042589535911
HR-HA	Additive	2.97293396896152e-35	0.000361218201139775	0.0851795156408746	0.767782912110292
HR-HET	Additive	6.65493499776977e-26	0.188101422336689	0.704493394918466	0.972992084181821
HR-HR	Additive	0.00137254200009376	3.19240563481185e-05	0.317247826469531	0.526727807115251
Hyp	Additive	8.44118365909975e-06	3.28033077256129e-06	0.25480404913654	0.841881404613646
NULL	Additive	0.105906064400383	0.860780955118513	0.00110211079827331	0.0551579889609856
REC	Additive	0.141117725984589	0.511305212569095	0.452387284148318	1.1835890499364e-10
REC_+_ADD	Additive	1.81647955407751e-16	6.43536878539534e-09	0.00383309701604902	0.157981985589969
REC_+_DOM	Additive	0.000173664879617808	5.95185901443552e-06	0.0454700060896969	0.107198704748475
REC_+_HET	Additive	0.825354956734473	0.0216471581999019	0.0195498929645983	0.000128965008919754
REC_+_REC	Additive	2.04080910263001e-17	2.27744538415997e-05	0.000982103688363079	0.0891652252814646
REC_+_SUB	Additive	1.06850004976158e-18	3.97520860271245e-09	0.000105353678472114	0.287482884574213
REC_x_ADD	Additive	3.57108951645769e-45	0.00101385738127216	0.15452755517071	0.490743347547279
REC_x_DOM	Additive	4.5080236675333e-35	0.000157747049802162	0.0636288687601853	0.439811862551438
REC_x_HET	Additive	0.708859779235761	0.00691224642138065	0.427383196188842	0.830420284741502
REC_x_REC	Additive	2.02559941556807e-47	0.000350693829026242	0.47464923482343	0.932042074095251
REC_x_SUB	Additive	6.00713643375008e-47	0.000808094664451468	0.492239886256646	0.698926289000591
RHyp	Additive	6.89944393845506e-07	1.21629136166713e-06	0.0737104612779465	0.838342696269466
SUB	Additive	0.249760426927727	0.454167413236965	0.498988172815598	0.621243059767243
SUB_+_SUB	Additive	3.18387506122715e-14	8.96218727399222e-12	1.09850928099951e-06	0.235994601080693
SUB_x_SUB	Additive	2.54605886595529e-38	3.92281836004187e-07	0.0208581837556244	0.238316965511688
SUP	Additive	0.0150470263524208	0.660008651900377	0.0581720317688645	2.39649841566666e-10
SUP_+_ADD	Additive	0.00299303568209936	1.38313185134055e-09	0.00310930063414192	0.000274464289426334
SUP_+_DOM	Additive	8.59070222858984e-06	8.8207504812717e-12	0.487270685892533	2.50680312177031e-11
SUP_+_HET	Additive	1.07107859837109e-08	2.54838999951984e-08	0.057308228526422	2.84678738562359e-15
SUP_+_REC	Additive	9.83581765828747e-10	1.62940580254881e-08	0.000695603219265387	0.282685950217604
SUP_+_SUB	Additive	0.0783540448022523	4.92664225878358e-09	0.0101209027079705	0.0201630861885018
SUP_+_SUP	Additive	1.60528323764878e-06	2.09620360694829e-09	0.12107586555266	5.37290702399381e-08
SUP_x_ADD	Additive	2.77590987509414e-09	4.09681229613197e-10	0.0165654889669641	0.307851519622545
SUP_x_DOM	Additive	0.00403373165480876	6.76373997796033e-07	0.0106733124508729	0.559024395244824
SUP_x_HET	Additive	1.8034941498968e-25	0.0683573179555999	0.559316205706848	0.796226947973961
SUP_x_REC	Additive	3.24702004667174e-41	0.000608008810701218	0.141790822519614	0.397838574179098
SUP_x_SUB	Additive	3.83591551707823e-18	1.52615449203663e-10	0.0148899839878904	0.168056861538949
SUP_x_SUP	Additive	3.07378948934411e-05	2.80684947704782e-08	0.0159643048725644	0.524679285693494
XOR	Additive	1.07799883300873e-29	0.707837960808435	0.971239729909343	0.659143313114384
ADD	Codominant	3.58160074397371e-12	0.00100678559972534	0.655047839920467	0.0240221028631526
ADD_+_ADD	Codominant	3.76623389877113e-11	2.13401911436637e-08	0.00422831399140929	0.000641379727169189
ADD_+_DOM	Codominant	1.33040695258245e-09	2.83519934699624e-10	0.250470166136679	0.00345599878948539
ADD_+_HET	Codominant	2.8648330982698e-20	2.16901324711379e-12	0.143232817032524	0.193732112329388
ADD_+_SUB	Codominant	1.52434545710939e-11	3.41440318009238e-06	0.0321897530642814	0.00177909979771866
ADD_x_ADD	Codominant	1.60075730951109e-17	1.21148414537091e-12	0.002662764660882	0.325903760615319
ADD_x_DOM	Codominant	1.10492432979761e-07	1.93468218042379e-09	0.0202022300591799	0.526033556387328
ADD_x_HET	Codominant	5.34710354206125e-08	7.60776492205814e-09	0.0246247373866097	0.613672943970626
ADD_x_SUB	Codominant	9.89029565101853e-29	3.50748656166592e-10	0.00687989021634533	0.318956022718641
DOM	Codominant	4.02151035599399e-09	0.0114996503619888	0.747973782171612	0.00551905034344429
DOM_+_DOM	Codominant	2.4046479546993e-08	1.68645769228885e-09	0.0879490366116169	0.00287914331584433
DOM_+_SUB	Codominant	5.90794123412512e-13	9.82741684032124e-07	0.23641177665495	0.000747385317781632
DOM_x_DOM	Codominant	0.00499500109098214	4.28707180587032e-05	0.0647760896351412	0.702232802811809
DOM_x_SUB	Codominant	9.35786698120467e-16	5.81472945648465e-10	0.0229642608389167	0.368106471167573
HET	Codominant	5.02244290116332e-13	0.0768995283232253	0.6932873895698	0.217566867937811
HET_+_DOM	Codominant	2.58414123976135e-16	1.2303250602924e-11	0.00226294620838917	0.0649392018151461
HET-HA	Codominant	2.74253832959491e-22	1.25892063693688e-05	0.347718818877575	0.581724303810795
HET_+_HET	Codominant	1.80916220924606e-22	4.69476135385417e-13	0.00109065663938953	0.869228551075549
HET-HET	Codominant	0.00103433155763878	0.000172253631617085	0.0829160972922852	0.703337055569317
HET_+_SUB	Codominant	2.46943853266612e-18	5.11062283942019e-07	0.586789264359224	0.00814590383801315
HET_x_DOM	Codominant	0.00103033788650273	9.3929480401117e-05	0.0787442759275301	0.715462969099692
HET_x_HET	Codominant	0.000791831826852227	0.000108849540072483	0.104440478432119	0.679804985404852
HET_x_SUB	Codominant	5.62101950542771e-16	7.1735870749427e-10	0.025313741906186	0.587378844146396
HR-HA	Codominant	3.06038064845087e-23	3.59502644617295e-06	0.133428869432977	0.722434410194119
HR-HET	Codominant	0.000660215548905629	9.07309426775252e-05	0.173593530085936	0.471995965322569
HR-HR	Codominant	0.000156038192835827	1.92060368594254e-05	0.262639372523558	0.584532514733896
Hyp	Codominant	4.85376675231161e-07	3.42029009122986e-07	0.172373021039981	0.825735973084857
NULL	Codominant	3.87832004119493e-20	0.023796325323057	0.432497930614315	0.166241154069187
REC	Codominant	9.37195034565706e-12	0.0003992980561081	0.887694048036239	0.0522884572194759
REC_+_ADD	Codominant	2.55913135143345e-19	9.72623666385603e-09	0.637197279658241	0.00531666646959184
REC_+_DOM	Codominant	1.67537647180677e-16	1.9933827305722e-08	0.310430539783616	0.00189793793735809
REC_+_HET	Codominant	5.29828131906555e-31	2.04478290101555e-09	0.101210910722469	0.527513096425031
REC_+_REC	Codominant	3.03384290145126e-16	5.03033534307645e-06	0.851229949349481	0.00397313259819622
REC_+_SUB	Codominant	6.97290366121201e-14	3.75661039601718e-07	0.54891312030077	0.00240208535384661
REC_x_ADD	Codominant	4.31033071842169e-36	4.52119061133434e-06	0.154527138777132	0.287837677205651
REC_x_DOM	Codominant	7.500606438694e-22	1.22770344576381e-05	0.377727733893237	0.389057560795148
REC_x_HET	Codominant	5.35079167382649e-22	9.81158274895523e-06	0.471734021255976	0.429904976405272
REC_x_REC	Codominant	5.81184266936806e-46	0.0130612067616199	0.787033171905705	0.875063935225829
REC_x_SUB	Codominant	2.60108615657537e-45	6.68128323301161e-05	0.423255563425503	0.417742476673948
RHyp	Codominant	1.56271841950847e-08	1.49479401600428e-07	0.0432119263372358	0.760449452952883
SUB	Codominant	6.40371154496664e-11	0.00114062425088493	0.21707212277663	0.0379397841477471
SUB_+_SUB	Codominant	1.86830046473047e-12	3.44460319095338e-06	0.149139284927941	0.00125313087817381
SUB_x_SUB	Codominant	2.36455944372404e-40	1.49150512075706e-07	0.0430855299204309	0.270671050508884
SUP	Codominant	4.97959885080319e-09	0.00565323880794542	0.2902091214684	0.00465270380783478
SUP_+_ADD	Codominant	9.65954147722863e-11	3.88316022969531e-10	0.0022399924051097	0.00198524639625425
SUP_+_DOM	Codominant	8.67981739257161e-09	2.65113420758512e-10	0.526353575889797	0.0071386192055125
SUP_+_HET	Codominant	3.38805729885065e-20	2.88838076506798e-14	0.174535865541688	0.266010799278163
SUP_+_REC	Codominant	2.91000593103992e-16	4.81209080078664e-08	0.519001609599453	0.00326287124110068
SUP_+_SUB	Codominant	1.17124443158992e-12	7.42063600592976e-09	0.0589348362791933	0.00374034382309514
SUP_+_SUP	Codominant	3.32624218035837e-09	3.67803142329791e-09	0.0611123951133094	0.0120073702812427
SUP_x_ADD	Codominant	5.66658387927230e-11	1.95911876826167e-11	0.0069507135772654	0.368346259123901
SUP_x_DOM	Codominant	0.000196686198236645	5.19354681569622e-07	0.0285397687530796	0.539184627799767
SUP_x_HET	Codominant	4.80627776121662e-05	1.46707174250849e-06	0.0524458033472828	0.617867880112333
SUP_x_REC	Codominant	1.01595766215212e-27	8.89684447041173e-06	0.166400695909141	0.399711663467356
SUP_x_SUB	Codominant	1.41215708257654e-20	1.31440400873841e-10	0.0148402615186139	0.349089410673474
SUP_x_SUP	Codominant	4.25148844089235e-06	3.77983011449058e-09	0.0141871675587076	0.536065982588439
XOR	Codominant	0.00471397473624958	0.00165292209524593	0.747268238174371	0.383010946540197
ADD	Dominant	0.801631526694776	0.800894785218413	0.374075844367516	0.969832203409576
ADD_+_ADD	Dominant	2.20447135049388e-06	1.17132038904881e-11	1.00773702580972e-07	0.156686668327112
ADD_+_DOM	Dominant	9.37285640522052e-06	3.92449831604122e-17	0.000337612735063256	0.135341319555517
ADD_+_HET	Dominant	0.000163367986557836	4.27399624488386e-14	1.08170837503643e-05	0.200694778354315
ADD_+_SUB	Dominant	5.1292558196853e-06	1.2251927732293e-07	7.58246023904643e-09	0.360802844388015
ADD_x_ADD	Dominant	2.2303541507059e-13	7.31744089674048e-15	0.00105244954530168	0.335269237015086
ADD_x_DOM	Dominant	6.16618502196197e-06	1.28446013437435e-08	0.0210100234066205	0.661483156187135
ADD_x_HET	Dominant	0.00115564748803045	5.3727025197555e-11	0.00334651789085399	0.542951196104439
ADD_x_SUB	Dominant	3.9561736544185e-25	4.19695719390089e-17	6.60484743430577e-05	0.316992454028737
