unique.x.Model.	unique.x.Encoding.	MAF	Samp_Size	Baseline	CC_Ratio
ADD_x_ADD	Additive	5.64657062370666e-15	2.16502484731697e-11	0.0105082971260349	0.240747727832249
ADD_x_DOM	Additive	3.39712528182778e-06	6.40747031773703e-09	0.0145641066556627	0.500931593615356
ADD_x_HET	Additive	8.97983670323106e-20	0.00138378959009091	0.236428467710884	0.899743906204231
ADD_x_SUB	Additive	4.66969329003344e-26	4.00253016799681e-10	0.00648083104782513	0.237663582252481
DOM_x_DOM	Additive	0.28437057446765	7.77829745578113e-06	0.00639968235423118	0.623060808749698
DOM_x_SUB	Additive	1.92031396010464e-13	2.13841075762731e-10	0.00891136022444303	0.282524685055597
HET-HA	Additive	0.572767733787919	0.00866965800516988	0.44233747145819	0.885613470324484
HET-HET	Additive	6.54784936841015e-31	0.0307287412761085	0.511903742382905	0.715054568940195
HET_x_DOM	Additive	4.07531871131212e-27	0.291071727003281	0.724965954903083	0.762892310361448
HET_x_HET	Additive	4.26895167239243e-31	0.0239532062323243	0.525136862922301	0.754819181922399
HET_x_SUB	Additive	2.82483510570465e-09	5.72243336868395e-06	0.166752086789077	0.845042589535911
HR-HA	Additive	2.97293396896152e-35	0.000361218201139775	0.0851795156408746	0.767782912110292
HR-HET	Additive	6.65493499776977e-26	0.188101422336689	0.704493394918466	0.972992084181821
HR-HR	Additive	0.00137254200009376	3.19240563481185e-05	0.317247826469531	0.526727807115251
Hyp	Additive	8.44118365909975e-06	3.28033077256129e-06	0.25480404913654	0.841881404613646
REC_x_ADD	Additive	3.57108951645769e-45	0.00101385738127216	0.15452755517071	0.490743347547279
REC_x_DOM	Additive	4.5080236675333e-35	0.000157747049802162	0.0636288687601853	0.439811862551438
REC_x_HET	Additive	0.708859779235761	0.00691224642138065	0.427383196188842	0.830420284741502
REC_x_REC	Additive	2.02559941556807e-47	0.000350693829026242	0.47464923482343	0.932042074095251
REC_x_SUB	Additive	6.00713643375008e-47	0.000808094664451468	0.492239886256646	0.698926289000591
RHyp	Additive	6.89944393845506e-07	1.21629136166713e-06	0.0737104612779465	0.838342696269466
SUB_x_SUB	Additive	2.54605886595529e-38	3.92281836004187e-07	0.0208581837556244	0.238316965511688
SUP_x_ADD	Additive	2.77590987509414e-09	4.09681229613197e-10	0.0165654889669641	0.307851519622545
SUP_x_DOM	Additive	0.00403373165480876	6.76373997796033e-07	0.0106733124508729	0.559024395244824
SUP_x_HET	Additive	1.8034941498968e-25	0.0683573179555999	0.559316205706848	0.796226947973961
SUP_x_REC	Additive	3.24702004667174e-41	0.000608008810701218	0.141790822519614	0.397838574179098
SUP_x_SUB	Additive	3.83591551707823e-18	1.52615449203663e-10	0.0148899839878904	0.168056861538949
SUP_x_SUP	Additive	3.07378948934411e-05	2.80684947704782e-08	0.0159643048725644	0.524679285693494
XOR	Additive	1.07799883300873e-29	0.707837960808435	0.971239729909343	0.659143313114384
ADD_x_ADD	Codominant	1.60075730951109e-17	1.21148414537091e-12	0.002662764660882	0.325903760615319
ADD_x_DOM	Codominant	1.10492432979761e-07	1.93468218042379e-09	0.0202022300591799	0.526033556387328
ADD_x_HET	Codominant	5.34710354206125e-08	7.60776492205814e-09	0.0246247373866097	0.613672943970626
ADD_x_SUB	Codominant	9.89029565101853e-29	3.50748656166592e-10	0.00687989021634533	0.318956022718641
DOM_x_DOM	Codominant	0.00499500109098214	4.28707180587032e-05	0.0647760896351412	0.702232802811809
DOM_x_SUB	Codominant	9.35786698120467e-16	5.81472945648465e-10	0.0229642608389167	0.368106471167573
HET-HA	Codominant	2.74253832959491e-22	1.25892063693688e-05	0.347718818877575	0.581724303810795
HET-HET	Codominant	0.00103433155763878	0.000172253631617085	0.0829160972922852	0.703337055569317
HET_x_DOM	Codominant	0.00103033788650273	9.3929480401117e-05	0.0787442759275301	0.715462969099692
HET_x_HET	Codominant	0.000791831826852227	0.000108849540072483	0.104440478432119	0.679804985404852
HET_x_SUB	Codominant	5.62101950542771e-16	7.1735870749427e-10	0.025313741906186	0.587378844146396
HR-HA	Codominant	3.06038064845087e-23	3.59502644617295e-06	0.133428869432977	0.722434410194119
HR-HET	Codominant	0.000660215548905629	9.07309426775252e-05	0.173593530085936	0.471995965322569
HR-HR	Codominant	0.000156038192835827	1.92060368594254e-05	0.262639372523558	0.584532514733896
Hyp	Codominant	4.85376675231161e-07	3.42029009122986e-07	0.172373021039981	0.825735973084857
REC_x_ADD	Codominant	4.31033071842169e-36	4.52119061133434e-06	0.154527138777132	0.287837677205651
REC_x_DOM	Codominant	7.500606438694e-22	1.22770344576381e-05	0.377727733893237	0.389057560795148
REC_x_HET	Codominant	5.35079167382649e-22	9.81158274895523e-06	0.471734021255976	0.429904976405272
REC_x_REC	Codominant	5.81184266936806e-46	0.0130612067616199	0.787033171905705	0.875063935225829
REC_x_SUB	Codominant	2.60108615657537e-45	6.68128323301161e-05	0.423255563425503	0.417742476673948
RHyp	Codominant	1.56271841950847e-08	1.49479401600428e-07	0.0432119263372358	0.760449452952883
SUB_x_SUB	Codominant	2.36455944372404e-40	1.49150512075706e-07	0.0430855299204309	0.270671050508884
SUP_x_ADD	Codominant	5.66658387927230e-11	1.95911876826167e-11	0.0069507135772654	0.368346259123901
SUP_x_DOM	Codominant	0.000196686198236645	5.19354681569622e-07	0.0285397687530796	0.539184627799767
SUP_x_HET	Codominant	4.80627776121662e-05	1.46707174250849e-06	0.0524458033472828	0.617867880112333
SUP_x_REC	Codominant	1.01595766215212e-27	8.89684447041173e-06	0.166400695909141	0.399711663467356
SUP_x_SUB	Codominant	1.41215708257654e-20	1.31440400873841e-10	0.0148402615186139	0.349089410673474
SUP_x_SUP	Codominant	4.25148844089235e-06	3.77983011449058e-09	0.0141871675587076	0.536065982588439
XOR	Codominant	0.00471397473624958	0.00165292209524593	0.747268238174371	0.383010946540197
ADD_x_ADD	Dominant	2.2303541507059e-13	7.31744089674048e-15	0.00105244954530168	0.335269237015086
ADD_x_DOM	Dominant	6.16618502196197e-06	1.28446013437435e-08	0.0210100234066205	0.661483156187135
ADD_x_HET	Dominant	0.00115564748803045	5.3727025197555e-11	0.00334651789085399	0.542951196104439
ADD_x_SUB	Dominant	3.9561736544185e-25	4.19695719390089e-17	6.60484743430577e-05	0.316992454028737
DOM_x_DOM	Dominant	0.00793339563055327	0.000427479766778815	0.0754992893261793	0.741513592831099
DOM_x_SUB	Dominant	2.85891627759403e-13	8.1569545380469e-13	0.00147689806576021	0.412962789441398
HET-HA	Dominant	3.02993804601296e-32	1.3751468178243e-10	0.0239029059350263	0.694345920663199
HET-HET	Dominant	0.222921038463895	4.80448940181417e-07	0.010188671041325	0.540839981268792
HET_x_DOM	Dominant	0.0983271086032856	1.44668261539889e-05	0.0169409212486176	0.669135894025073
HET_x_HET	Dominant	0.198125092817339	4.41351636709563e-07	0.0106982337930463	0.625822235386334
HET_x_SUB	Dominant	2.36395928545057e-10	2.41067197122827e-17	0.000388217024452416	0.428619518505679
HR-HA	Dominant	2.39629563094929e-40	5.8351538502584e-08	0.0294344047454651	0.818490142425276
HR-HET	Dominant	0.0173747815315678	7.64067317719573e-05	0.0782190158349859	0.424645562110786
