unique.x.Model.	unique.x.Encoding.	MAF	Samp_Size	Baseline	CC_Ratio
ADD_x_ADD	Additive	2.46391421818627e-18	1.19424926393651e-12	0.00208952588876827	0.276177406533228
ADD_x_DOM	Additive	3.35312578226178e-07	4.61569377364819e-11	0.00845031594610126	0.432208950668028
ADD_x_HET	Additive	2.98874364021801e-15	6.64171617756523e-06	0.114961188195045	0.824001383708466
ADD_x_SUB	Additive	8.46058502948282e-32	2.1658635847329e-10	0.00169642871693094	0.318171576068324
DOM_x_DOM	Additive	0.280278979345611	2.40299480244798e-06	0.00821348514568478	0.612074499973396
DOM_x_SUB	Additive	1.28472286941098e-16	8.59222415650959e-12	0.00395516206991259	0.265758222978561
HET-HA	Additive	0.275299988865615	0.00553602564024407	0.450708085311766	0.920353060834892
HET-HET	Additive	9.87433146759263e-29	0.000233786818193055	0.198952855123678	0.790492932484583
HET_x_DOM	Additive	9.29055932537474e-25	0.0425825915667639	0.469121174618743	0.924454911612779
HET_x_HET	Additive	4.94335132481105e-29	0.000166979172548376	0.196354948315652	0.81147630331165
HET_x_SUB	Additive	6.69930818787569e-06	2.59682877907862e-07	0.106362778518205	0.748157969808531
HR-HA	Additive	3.08203454579389e-41	9.67526798084125e-05	0.0532571390764203	0.854387897245661
HR-HET	Additive	8.64427712412523e-23	0.0249322879805088	0.496362321258512	0.934896938538176
HR-HR	Additive	0.00100027641767326	2.67860095771942e-06	0.259466631004739	0.663009209743812
Hyp	Additive	3.23679791328157e-07	2.17949391351037e-07	0.201777388401602	0.840468163781411
REC_x_ADD	Additive	1.21626801139034e-44	0.000166589405483156	0.187449358309334	0.680478845466504
REC_x_DOM	Additive	9.66136623817965e-41	4.79173767869223e-05	0.0493516343759766	0.504461373087657
REC_x_HET	Additive	0.358298646162253	0.00362720230818407	0.436530769782907	0.882599849215345
REC_x_REC	Additive	1.95917101203702e-46	2.39144900156896e-06	0.17046397363297	0.807583014609825
REC_x_SUB	Additive	2.18967145397211e-45	2.48304495276611e-05	0.23505028912128	0.747704015700903
RHyp	Additive	9.52924140291875e-09	1.41042351791184e-07	0.0363048943495865	0.804298207623206
SUB_x_SUB	Additive	4.35335974262512e-43	3.79004151723532e-08	0.011652580914864	0.311610951516955
SUP_x_ADD	Additive	2.74082671654201e-11	3.39011080739154e-12	0.00487290142254683	0.290091089394429
SUP_x_DOM	Additive	0.00184510235026176	9.39812424140043e-09	0.00984694217756731	0.494920153568203
SUP_x_HET	Additive	1.76354494555449e-21	0.00173137886816896	0.277005782096403	0.890574827311297
SUP_x_REC	Additive	4.82677124544348e-44	0.000147104355078792	0.112494970639845	0.48214564157537
SUP_x_SUB	Additive	9.43563207235384e-23	2.00536585703608e-11	0.00245922082686258	0.25808582714332
SUP_x_SUP	Additive	6.32765026318881e-06	2.61228463158833e-10	0.0070522986324285	0.456934127345155
XOR	Additive	1.5507365290243e-30	0.459458227780056	0.870666888825662	0.956703106887462
ADD_x_ADD	Codominant	5.45456667568379e-21	3.46749613191658e-14	0.000203544796725747	0.343163636801632
ADD_x_DOM	Codominant	1.26598507146058e-09	2.86615327635893e-12	0.00544094950142183	0.437874928544111
ADD_x_HET	Codominant	2.4040664220173e-10	2.81694739233917e-11	0.00557662555460965	0.548460372627665
ADD_x_SUB	Codominant	5.05247846553493e-34	1.16804292768859e-10	0.000680663078058041	0.395739640771075
DOM_x_DOM	Codominant	0.00454016946350329	4.73186853052009e-06	0.0314585335571255	0.640935110343807
DOM_x_SUB	Codominant	1.08108230053299e-19	2.13798951899994e-10	0.00663959873914853	0.427284004730934
HET-HA	Codominant	7.35991969210342e-28	5.4773195666607e-05	0.154096575127874	0.657283460503006
HET-HET	Codominant	0.000346760938524856	3.30549744643265e-05	0.0582533923684039	0.67254068748308
HET_x_DOM	Codominant	0.00049289656072997	1.92744297734264e-05	0.049650206622621	0.611790512513595
HET_x_HET	Codominant	0.000302725013076017	2.5076338571362e-05	0.0582935636438454	0.646458770332327
HET_x_SUB	Codominant	3.9082769636148e-20	8.22154116042639e-10	0.0138115956624964	0.538174901883785
HR-HA	Codominant	1.16336258915303e-29	1.38348598366505e-05	0.0712041202587923	0.790248628579168
HR-HET	Codominant	0.000131129340690481	8.71436862034667e-06	0.0747244567376188	0.627169614228361
HR-HR	Codominant	2.23621719284218e-05	1.15096856618499e-06	0.161017126969335	0.467085569134056
Hyp	Codominant	1.12994415430008e-09	8.38242941571893e-09	0.0704887636170934	0.828770188732912
REC_x_ADD	Codominant	1.79321778103089e-42	4.59240964467252e-06	0.053383693961267	0.496828019266581
REC_x_DOM	Codominant	1.11255405391193e-27	3.96016217772045e-05	0.148085658711309	0.564388253671713
REC_x_HET	Codominant	5.52793626024904e-28	4.59711157653696e-05	0.170240794111649	0.63923046280387
REC_x_REC	Codominant	3.48111219190819e-44	0.00360624054919577	0.572298039518717	0.831349480275427
REC_x_SUB	Codominant	1.64193345552241e-44	9.15493080107039e-05	0.27707248138702	0.780167004441064
RHyp	Codominant	2.21412041648654e-11	1.18362439511431e-08	0.0107303368332438	0.753010995203485
SUB_x_SUB	Codominant	1.07907949310129e-42	1.37403725621192e-07	0.0340926179122054	0.412049358694613
SUP_x_ADD	Codominant	1.07308294168501e-13	2.49354618366688e-14	0.000469172384520828	0.315773364139203
SUP_x_DOM	Codominant	5.2708131301414e-05	2.84560561492992e-09	0.0113646899373245	0.450645665352226
SUP_x_HET	Codominant	5.68209124059046e-06	3.03669793617506e-08	0.0232955851885618	0.577964224887566
SUP_x_REC	Codominant	4.17161636640157e-35	7.46596878097539e-06	0.0286234303926825	0.468002687830705
SUP_x_SUB	Codominant	1.11461010684077e-25	5.93254856508724e-11	0.00151899506100886	0.362503549436713
SUP_x_SUP	Codominant	3.85288789268421e-07	2.84457574309183e-12	0.00241412792432639	0.460570771548461
XOR	Codominant	0.0117323839356003	0.00490907673706586	0.526246505908233	0.258736279179573
