unique.x.Model.	unique.x.Encoding.	MAF	Samp_Size	Baseline	CC_Ratio
ADD	Additive	0.990562593802613	0.570055189007907	0.0112368281755624	0.0276716912331462
DOM	Additive	0.0332398145835484	0.780938522218777	0.0207538028964845	5.989098226482e-09
HET	Additive	0.0136665255939857	0.722999629023074	0.162974984588578	6.8009757875568e-11
REC	Additive	0.141117725984589	0.511305212569095	0.452387284148318	1.1835890499364e-10
SUB	Additive	0.249760426927727	0.454167413236965	0.498988172815598	0.621243059767243
SUP	Additive	0.0150470263524208	0.660008651900377	0.0581720317688645	2.39649841566666e-10
ADD	Codominant	3.58160074397371e-12	0.00100678559972534	0.655047839920467	0.0240221028631526
DOM	Codominant	4.02151035599399e-09	0.0114996503619888	0.747973782171612	0.00551905034344429
HET	Codominant	5.02244290116332e-13	0.0768995283232253	0.6932873895698	0.217566867937811
REC	Codominant	9.37195034565706e-12	0.0003992980561081	0.887694048036239	0.0522884572194759
SUB	Codominant	6.40371154496664e-11	0.00114062425088493	0.21707212277663	0.0379397841477471
SUP	Codominant	4.97959885080319e-09	0.00565323880794542	0.2902091214684	0.00465270380783478
ADD	Dominant	0.801631526694776	0.800894785218413	0.374075844367516	0.969832203409576
DOM	Dominant	0.362934407005939	0.861125776418589	0.451147154673255	0.70606868848753
HET	Dominant	0.203783309139365	0.741743973853227	0.585998499012876	0.5001516666836
REC	Dominant	0.203835752244972	0.6921547521376	0.375324234538859	0.0117218833922477
SUB	Dominant	0.787718202563936	0.478899805473788	0.975756000681143	0.352381926217272
SUP	Dominant	0.714229504413514	0.321248092387165	0.358437934515826	0.373629166620966
ADD	Recessive	6.31311687008745e-27	0.00121881944446354	0.977139913496795	0.338534080053097
DOM	Recessive	1.78246141144412e-29	0.00163430261764149	0.976519164544795	0.440520161642654
HET	Recessive	4.94642054179408e-36	0.00641836420385403	0.990594501475364	0.865010449805177
REC	Recessive	7.09712869781958e-25	0.000847976348703981	0.89101633244106	0.308097050464282
SUB	Recessive	1.19458569558906e-25	0.00115743835334204	0.909621398596337	0.303242178643116
SUP	Recessive	9.31010976059645e-28	0.00184249955833028	0.937008974263221	0.35010531271064
ADD	Weighted	4.06693578242823e-05	0.607398911072628	0.110831855673906	0.101733931746991
DOM	Weighted	0.240059827993426	0.377778361496357	0.490907355225218	0.143283877798843
HET	Weighted	0.0476131084994961	0.994688352607404	0.160829881435624	0.226113511139328
REC	Weighted	0.750045704892159	0.738244058949703	0.434263827282868	0.000232613386529865
SUB	Weighted	0.00341126478731692	0.374463450725134	0.468698710332553	0.171921136016023
SUP	Weighted	0.00499193222179769	0.609212484439722	0.256623521308119	0.0155701759892688
