unique.x.Model.	unique.x.Encoding.	MAF	Samp_Size	Baseline	CC_Ratio
ADD	Additive	0.721286322450676	0.707181392289575	0.326462160729684	0.0131655567417115
DOM	Additive	0.226280830814455	0.938972014611741	0.0441107946424965	1.41722989277584e-08
HET	Additive	0.328860128011479	0.859925324568195	0.0059067800088629	1.50036859194654e-10
REC	Additive	0.0505627511832542	0.557051631544794	0.645063934676613	2.74552943062573e-07
SUB	Additive	0.215648513022363	0.172682797823053	0.830005689345765	0.745331090993189
SUP	Additive	0.816371907528312	0.710396661527873	0.29769429786545	0.000124594203476754
ADD	Codominant	1.03748429821921e-10	0.0825873011549416	0.276204545693221	0.16892234850152
DOM	Codominant	1.35561722843408e-06	0.216537540556521	0.31147761625346	0.0321177305483281
HET	Codominant	1.27905011088539e-12	0.0761773338971738	0.855440255848795	0.106576888844128
REC	Codominant	4.93065287123907e-11	0.0113904701590677	0.328095417964213	0.667835777344594
SUB	Codominant	6.73774443712582e-07	0.475189244221712	0.142989622269727	0.423740879580978
SUP	Codominant	1.5067220012078e-08	0.00136395521219399	0.685660137428229	0.0179551365187201
ADD	Dominant	0.289868314974998	0.655549341676404	0.356378842821488	0.629197411159188
DOM	Dominant	0.468173060417086	0.175468033300871	0.992123901229859	0.831317868510211
HET	Dominant	0.0763716527102527	0.916972245154037	0.358002578438734	0.578252442025788
REC	Dominant	0.147348620364007	0.691029692264524	0.788369804737757	0.499282675869509
SUB	Dominant	0.660741191789663	0.0768032291426158	0.292209888049905	0.77870251824815
SUP	Dominant	0.331545882739806	0.555290615069532	0.580767476713861	0.394733875540797
ADD	Recessive	1.59017068713285e-27	0.0243209093050327	0.837862196640344	0.244500898637931
DOM	Recessive	1.8608441032418e-31	0.0629943191459414	0.648335914107346	0.540570184341136
HET	Recessive	4.50209237362977e-39	0.166539585665719	0.985387544108331	0.93582199292539
REC	Recessive	7.94768980324933e-25	0.002207796470941	0.759081856992358	0.225737103825867
SUB	Recessive	3.61625800170455e-23	0.00880311966838007	0.845485318836983	0.234649183974837
SUP	Recessive	7.21263276826848e-32	0.0116034495636682	0.652077194835405	0.176474647819415
ADD	Weighted	6.11848243394177e-05	0.757778076348435	0.731819716427691	0.160804318778569
DOM	Weighted	0.280306251940577	0.999221090715863	0.730482462118944	0.0148972941281196
HET	Weighted	0.00234502635714357	0.0961219741589234	0.924371982414818	0.208780222786532
REC	Weighted	0.00956128802098491	0.52866873043663	0.699774087680144	0.0211198995112619
SUB	Weighted	0.000436471428727686	0.872333272387463	0.371508650792718	0.0930996804667899
SUP	Weighted	0.00414265628985944	0.647417295580249	0.377343005781582	0.86528011943519
