unique.x.Model.	unique.x.Encoding.	MAF	Samp_Size	Baseline	CC_Ratio
ADD_+_ADD	Additive	0.370651896683949	4.52486442495499e-10	0.0019172495121501	0.000898206381464001
ADD_+_DOM	Additive	0.000105830055724478	5.28148469004613e-09	0.410050996804738	1.672657749304e-07
ADD_+_HET	Additive	3.41588356117591e-07	5.01975376381556e-08	0.00136079505196406	1.32148466536885e-13
ADD_+_SUB	Additive	7.92171253203321e-06	9.48424324640896e-08	0.000260848861144126	0.109579372744657
DOM_+_DOM	Additive	0.316948846065285	7.34310778018365e-07	0.0492640920082687	1.2075300990155e-05
DOM_+_SUB	Additive	0.306362719046597	6.69504990089085e-07	0.195926151293493	1.2781457575969e-05
HET_+_DOM	Additive	1.89861947485936e-12	6.69487039515516e-06	0.390472447738142	1.17466053588405e-20
HET_+_HET	Additive	2.09039170195124e-09	2.87218479205019e-05	0.383040373515785	2.41193030168025e-21
HET_+_SUB	Additive	0.00222932407268235	0.0014031744208912	0.00173325000963613	7.0228463755102e-08
REC_+_ADD	Additive	1.81647955407751e-16	6.43536878539534e-09	0.00383309701604902	0.157981985589969
REC_+_DOM	Additive	0.000173664879617808	5.95185901443552e-06	0.0454700060896969	0.107198704748475
REC_+_HET	Additive	0.825354956734473	0.0216471581999019	0.0195498929645983	0.000128965008919754
REC_+_REC	Additive	2.04080910263001e-17	2.27744538415997e-05	0.000982103688363079	0.0891652252814646
REC_+_SUB	Additive	1.06850004976158e-18	3.97520860271245e-09	0.000105353678472114	0.287482884574213
SUB_+_SUB	Additive	3.18387506122715e-14	8.96218727399222e-12	1.09850928099951e-06	0.235994601080693
SUP_+_ADD	Additive	0.00299303568209936	1.38313185134055e-09	0.00310930063414192	0.000274464289426334
SUP_+_DOM	Additive	8.59070222858984e-06	8.8207504812717e-12	0.487270685892533	2.50680312177031e-11
SUP_+_HET	Additive	1.07107859837109e-08	2.54838999951984e-08	0.057308228526422	2.84678738562359e-15
SUP_+_REC	Additive	9.83581765828747e-10	1.62940580254881e-08	0.000695603219265387	0.282685950217604
SUP_+_SUB	Additive	0.0783540448022523	4.92664225878358e-09	0.0101209027079705	0.0201630861885018
SUP_+_SUP	Additive	1.60528323764878e-06	2.09620360694829e-09	0.12107586555266	5.37290702399381e-08
ADD_+_ADD	Codominant	3.76623389877113e-11	2.13401911436637e-08	0.00422831399140929	0.000641379727169189
ADD_+_DOM	Codominant	1.33040695258245e-09	2.83519934699624e-10	0.250470166136679	0.00345599878948539
ADD_+_HET	Codominant	2.8648330982698e-20	2.16901324711379e-12	0.143232817032524	0.193732112329388
ADD_+_SUB	Codominant	1.52434545710939e-11	3.41440318009238e-06	0.0321897530642814	0.00177909979771866
DOM_+_DOM	Codominant	2.4046479546993e-08	1.68645769228885e-09	0.0879490366116169	0.00287914331584433
DOM_+_SUB	Codominant	5.90794123412512e-13	9.82741684032124e-07	0.23641177665495	0.000747385317781632
HET_+_DOM	Codominant	2.58414123976135e-16	1.2303250602924e-11	0.00226294620838917	0.0649392018151461
HET_+_HET	Codominant	1.80916220924606e-22	4.69476135385417e-13	0.00109065663938953	0.869228551075549
