unique.x.Model.	unique.x.Encoding.	MAF	Samp_Size	Baseline	CC_Ratio
ADD_+_ADD	Additive	0.861695101580085	1.84187636488126e-09	0.00901706048639198	0.0162263320815564
ADD_+_DOM	Additive	0.000877842245749558	1.71891064285825e-12	0.182610476410023	1.71021235620795e-08
ADD_+_HET	Additive	1.63144146320193e-05	1.89619365034252e-08	0.00797793740584236	8.1696870427578e-13
ADD_+_SUB	Additive	3.81604944203819e-06	9.60521409137875e-12	0.000544072219961812	0.194040816157233
DOM_+_DOM	Additive	0.882786364323325	7.01222259495902e-07	0.0450127026077634	3.00457577050092e-05
DOM_+_SUB	Additive	0.389632161925094	1.07121356019929e-08	0.0778565215303232	0.000517051186439769
HET_+_DOM	Additive	1.60599614797368e-08	2.92936249512398e-06	0.51038247069051	5.06459890508806e-15
HET_+_HET	Additive	3.58530676084426e-06	9.15702951321117e-08	0.0798533169449962	5.28186335524508e-22
HET_+_SUB	Additive	0.0009175501331519	0.000323493337823201	0.00350051803081549	1.14353555267072e-07
REC_+_ADD	Additive	1.41651938722651e-14	1.03915780600755e-07	0.00548227182468516	0.199846683013654
REC_+_DOM	Additive	0.000162249340705601	1.67515725835421e-07	0.199266554390221	0.391782786523148
REC_+_HET	Additive	0.408891053486201	0.0269630755188755	0.0244499985193005	6.87430578111335e-06
REC_+_REC	Additive	4.44425303498249e-13	5.71545508712701e-05	0.00159644952893865	0.0798870110303395
REC_+_SUB	Additive	1.25519800189334e-14	6.41709628712555e-07	0.000498444781197184	0.138711284591472
SUB_+_SUB	Additive	6.0564555566093e-13	1.48951416623111e-10	0.000181953245344061	0.212983157884491
SUP_+_ADD	Additive	0.0124557257498307	9.55467732801646e-07	0.00538753169677249	0.000744124794381532
SUP_+_DOM	Additive	0.000294323770931108	1.04499648679642e-09	0.523671056896253	1.36428515390131e-09
SUP_+_HET	Additive	2.77887967479556e-08	6.24261823604505e-09	0.0671101436675095	8.79692994368235e-15
SUP_+_REC	Additive	8.31304564032198e-10	5.22162659664018e-09	0.00245160505208644	0.284154797938006
SUP_+_SUB	Additive	0.417843152658835	9.21857253679588e-09	0.0246801777136555	0.0140734336388501
SUP_+_SUP	Additive	1.30585082959628e-05	5.84688594943846e-08	0.10268456130135	1.52226310941355e-06
ADD_+_ADD	Codominant	3.36031932577139e-11	5.00736537622532e-09	0.00108967927468659	0.0128698638754621
ADD_+_DOM	Codominant	1.40271745284347e-09	2.50853370492735e-13	0.0399514172922104	0.00388424365844069
ADD_+_HET	Codominant	9.18906203264012e-16	3.24126698812361e-12	0.0602124686090075	0.300612919576833
ADD_+_SUB	Codominant	1.46290510365891e-09	2.24186598815283e-06	0.0348867897035564	0.111450581413413
DOM_+_DOM	Codominant	9.98114293529632e-06	9.29149957689829e-10	0.00683384053791625	0.0542017683428311
